"","Geography","Geographic_Area_Name","Estimate_Total","Estimate_Total_Male","Estimate_Total_Male_Under_5_years","Estimate_Total_Male_5_to_9_years","Estimate_Total_Male_10_to_14_years","Estimate_Total_Male_15_to_19_years","Estimate_Total_Male_20_to_24_years","Estimate_Total_Male_25_to_29_years","Estimate_Total_Male_30_to_34_years","Estimate_Total_Male_35_to_39_years","Estimate_Total_Male_40_to_44_years","Estimate_Total_Male_45_to_49_years","Estimate_Total_Male_50_to_54_years","Estimate_Total_Male_55_to_59_years","Estimate_Total_Male_60_to_64_years","Estimate_Total_Male_65_to_69_years","Estimate_Total_Male_70_to_74_years","Estimate_Total_Male_75_to_79_years","Estimate_Total_Male_80_to_84_years","Estimate_Total_Male_85_years_and_over","Estimate_Total_Female","Estimate_Total_Female_Under_5_years","Estimate_Total_Female_5_to_9_years","Estimate_Total_Female_10_to_14_years","Estimate_Total_Female_15_to_19_years","Estimate_Total_Female_20_to_24_years","Estimate_Total_Female_25_to_29_years","Estimate_Total_Female_30_to_34_years","Estimate_Total_Female_35_to_39_years","Estimate_Total_Female_40_to_44_years","Estimate_Total_Female_45_to_49_years","Estimate_Total_Female_50_to_54_years","Estimate_Total_Female_55_to_59_years","Estimate_Total_Female_60_to_64_years","Estimate_Total_Female_65_to_69_years","Estimate_Total_Female_70_to_74_years","Estimate_Total_Female_75_to_79_years","Estimate_Total_Female_80_to_84_years","Estimate_Total_Female_85_years_and_over","NA"
"41","1400000US12001001908","Census Tract 19.08; Alachua County; Florida","151","101","0","0","0","0","0","63","0","34","0","0","0","0","0","0","0","4","0","0","50","0","0","0","0","0","2","18","0","0","0","0","0","0","18","0","12","0","0",NA
"42","1400000US12001002001","Census Tract 20.01; Alachua County; Florida","74","55","0","0","0","7","34","0","0","0","7","0","0","0","0","0","0","7","0","0","19","0","0","0","0","0","0","0","8","0","0","0","0","0","0","11","0","0","0",NA
"43","1400000US12001002002","Census Tract 20.02; Alachua County; Florida","134","44","0","0","5","0","0","4","0","0","0","0","0","4","6","22","0","3","0","0","90","0","0","0","0","4","38","0","0","0","3","4","0","19","0","8","14","0","0",NA
"44","1400000US12001002101","Census Tract 21.01; Alachua County; Florida","56","34","0","0","0","0","0","0","22","0","0","0","0","0","6","0","0","6","0","0","22","0","0","0","5","0","0","3","0","0","7","0","0","7","0","0","0","0","0",NA
"45","1400000US12001002102","Census Tract 21.02; Alachua County; Florida","76","50","0","0","0","20","0","0","3","14","0","0","6","2","0","5","0","0","0","0","26","0","0","0","0","0","0","0","18","0","0","5","3","0","0","0","0","0","0",NA
"46","1400000US12001002201","Census Tract 22.01; Alachua County; Florida","716","339","0","0","0","25","0","0","0","0","34","57","33","48","81","0","20","41","0","0","377","0","0","36","12","0","18","13","48","19","53","71","0","10","0","35","24","18","20",NA
"47","1400000US12001002202","Census Tract 22.02; Alachua County; Florida","178","78","0","0","0","0","0","0","0","0","0","0","4","19","0","0","16","32","7","0","100","0","0","0","9","0","0","0","26","0","18","0","0","32","0","15","0","0","0",NA
"48","1400000US12001002204","Census Tract 22.04; Alachua County; Florida","2204","1147","22","0","47","0","0","25","63","301","109","50","33","202","96","107","92","0","0","0","1057","0","0","0","0","0","36","76","317","53","69","83","229","0","137","35","22","0","0",NA
"49","1400000US12001002207","Census Tract 22.07; Alachua County; Florida","757","425","0","0","0","0","0","37","172","30","6","88","17","10","10","27","9","19","0","0","332","0","0","10","10","0","0","13","8","64","55","28","12","28","46","12","28","1","17",NA
"50","1400000US12001002208","Census Tract 22.08; Alachua County; Florida","287","173","0","0","20","0","0","0","0","32","9","32","40","0","0","15","25","0","0","0","114","0","0","0","6","0","0","0","26","33","27","0","13","9","0","0","0","0","0",NA
"51","1400000US12001002209","Census Tract 22.09; Alachua County; Florida","849","305","0","0","0","0","0","48","54","55","0","34","14","38","0","34","16","0","0","12","544","0","0","0","0","72","21","10","44","52","24","82","155","30","9","0","0","45","0",NA
"52","1400000US12001002210","Census Tract 22.10; Alachua County; Florida","424","141","0","0","0","0","43","3","0","0","0","26","51","0","18","0","0","0","0","0","283","0","0","0","0","0","0","35","0","40","11","102","49","11","22","13","0","0","0",NA
"53","1400000US12001002217","Census Tract 22.17; Alachua County; Florida","285","82","0","0","0","0","0","0","12","0","0","55","0","0","0","0","0","15","0","0","203","0","0","0","0","0","25","0","0","0","99","0","0","0","0","0","79","0","0",NA
"54","1400000US12001002218","Census Tract 22.18; Alachua County; Florida","699","335","10","0","13","47","30","59","0","27","11","26","41","0","21","8","40","0","2","0","364","0","0","0","0","0","63","30","114","43","43","6","5","19","0","28","0","13","0",NA
"55","1400000US12001002219","Census Tract 22.19; Alachua County; Florida","1098","477","0","0","0","0","0","0","28","44","93","10","158","92","25","0","27","0","0","0","621","0","107","0","6","17","15","13","67","39","115","126","24","29","63","0","0","0","0",NA
"56","1400000US12001002220","Census Tract 22.20; Alachua County; Florida","590","291","0","0","0","0","35","0","43","0","13","67","23","9","44","10","0","30","0","17","299","0","0","0","0","0","30","21","0","27","57","10","84","0","13","0","0","57","0",NA
"57","1400000US12001002221","Census Tract 22.21; Alachua County; Florida","1113","570","0","13","0","23","162","42","39","11","27","144","25","0","19","36","0","0","28","1","543","0","0","15","38","0","0","161","26","150","63","0","0","34","24","32","0","0","0",NA
"58","1400000US12001002222","Census Tract 22.22; Alachua County; Florida","1244","545","0","0","40","0","0","0","36","64","47","59","65","59","101","0","47","27","0","0","699","0","0","0","0","0","27","32","86","96","56","68","40","54","222","18","0","0","0",NA
"59","1400000US12001110800","Census Tract 1108; Alachua County; Florida","322","133","0","0","0","0","17","13","13","0","0","24","11","6","15","4","0","0","10","20","189","0","0","0","8","38","31","0","0","0","12","14","24","11","0","0","10","18","23",NA
