"","Geography","Geographic_Area_Name","Estimate_Total","Estimate_Total_Native","Estimate_Total_Native_Born_in_state_of_residence","Estimate_Total_Native_Born_in_other_state_in_the_United_States","Estimate_Total_Native_Born_in_other_state_in_the_United_States_Northeast","Estimate_Total_Native_Born_in_other_state_in_the_United_States_Midwest","Estimate_Total_Native_Born_in_other_state_in_the_United_States_South","Estimate_Total_Native_Born_in_other_state_in_the_United_States_West","Estimate_Total_Native_Born_outside_the_United_States","Estimate_Total_Native_Born_outside_the_United_States_Puerto_Rico","Estimate_Total_Native_Born_outside_the_United_States_U.S._Island_Areas","Estimate_Total_Native_Born_outside_the_United_States_Born_abroad_of_American_parent(s)","Estimate_Total_Foreign_born","Estimate_Total_Foreign_born_Naturalized_U.S._citizen","Estimate_Total_Foreign_born_Not_a_U.S._citizen","NA","Year","Estimate_Total_Foreign_born_Naturalized_U.S._citizen_Europe","Estimate_Total_Foreign_born_Naturalized_U.S._citizen_Asia","Estimate_Total_Foreign_born_Naturalized_U.S._citizen_Africa","Estimate_Total_Foreign_born_Naturalized_U.S._citizen_Oceania","Estimate_Total_Foreign_born_Naturalized_U.S._citizen_Latin_America","Estimate_Total_Foreign_born_Naturalized_U.S._citizen_Northern_America","Estimate_Total_Foreign_born_Not_a_U.S._citizen_Europe","Estimate_Total_Foreign_born_Not_a_U.S._citizen_Asia","Estimate_Total_Foreign_born_Not_a_U.S._citizen_Africa","Estimate_Total_Foreign_born_Not_a_U.S._citizen_Oceania","Estimate_Total_Foreign_born_Not_a_U.S._citizen_Latin_America","Estimate_Total_Foreign_born_Not_a_U.S._citizen_Northern_America"
"81","1400000US12001001521","Census Tract 15.21, Alachua County, Florida","4221","3505","2122","1311","581","117","326","287","72","40","0","32","716","279","437",NA,"2019","0","42","0","0","237","0","34","180","0","0","223","0"
"82","1400000US12001001603","Census Tract 16.03, Alachua County, Florida","1716","1454","732","681","152","229","196","104","41","27","0","14","262","120","142",NA,"2019","24","50","19","0","27","0","19","26","10","0","83","4"
"83","1400000US12001001604","Census Tract 16.04, Alachua County, Florida","7469","6192","3897","2228","427","478","1088","235","67","26","0","41","1277","484","793",NA,"2019","111","116","0","0","257","0","101","367","0","0","311","14"
"84","1400000US12001001701","Census Tract 17.01, Alachua County, Florida","5161","4566","1955","2556","847","817","745","147","55","17","0","38","595","373","222",NA,"2019","81","114","79","0","99","0","15","0","0","0","207","0"
"85","1400000US12001001702","Census Tract 17.02, Alachua County, Florida","5804","5435","2888","2367","762","820","571","214","180","90","0","90","369","220","149",NA,"2019","63","60","23","0","74","0","40","24","0","21","64","0"
"86","1400000US12001001801","Census Tract 18.01, Alachua County, Florida","7612","7161","4496","2555","772","762","824","197","110","82","0","28","451","363","88",NA,"2019","18","96","9","0","227","13","51","14","17","0","6","0"
"87","1400000US12001001802","Census Tract 18.02, Alachua County, Florida","2668","2462","1604","823","338","116","325","44","35","24","0","11","206","162","44",NA,"2019","12","30","66","0","54","0","19","0","0","0","25","0"
"88","1400000US12001001803","Census Tract 18.03, Alachua County, Florida","6254","5406","3138","2189","551","578","796","264","79","65","0","14","848","532","316",NA,"2019","35","184","0","0","294","19","12","116","0","0","188","0"
"89","1400000US12001001805","Census Tract 18.05, Alachua County, Florida","1562","1466","920","538","172","106","207","53","8","0","6","2","96","59","37",NA,"2019","0","11","0","0","48","0","0","14","0","0","23","0"
"90","1400000US12001001806","Census Tract 18.06, Alachua County, Florida","9267","8657","5455","2952","736","1000","1052","164","250","85","0","165","610","270","340",NA,"2019","13","0","0","0","257","0","32","106","0","0","185","17"
"91","1400000US12001001811","Census Tract 18.11, Alachua County, Florida","6975","5931","2488","3132","1159","651","963","359","311","164","0","147","1044","513","531",NA,"2019","69","209","27","34","160","14","36","199","122","0","174","0"
"92","1400000US12001001813","Census Tract 18.13, Alachua County, Florida","3826","3316","1587","1533","539","483","329","182","196","64","4","128","510","267","243",NA,"2019","70","124","34","0","39","0","24","150","0","7","62","0"
"93","1400000US12001001814","Census Tract 18.14, Alachua County, Florida","2650","2386","1605","743","207","343","174","19","38","19","19","0","264","127","137",NA,"2019","4","0","0","0","123","0","12","0","0","0","125","0"
"94","1400000US12001001902","Census Tract 19.02, Alachua County, Florida","3259","3093","1987","956","415","341","178","22","150","51","0","99","166","91","75",NA,"2019","9","0","0","0","82","0","10","0","0","0","65","0"
"95","1400000US12001001907","Census Tract 19.07, Alachua County, Florida","2779","2584","1522","1019","340","285","370","24","43","0","0","43","195","139","56",NA,"2019","14","40","0","0","85","0","16","0","0","0","33","7"
"96","1400000US12001001908","Census Tract 19.08, Alachua County, Florida","4922","4732","2825","1782","504","447","670","161","125","0","0","125","190","113","77",NA,"2019","21","55","0","0","21","16","0","77","0","0","0","0"
"97","1400000US12001002000","Census Tract 20, Alachua County, Florida","6210","6125","4269","1744","481","485","729","49","112","35","0","77","85","25","60",NA,"2019","3","0","0","0","19","3","0","34","11","0","10","5"
"98","1400000US12001002101","Census Tract 21.01, Alachua County, Florida","2152","2033","1339","673","153","250","236","34","21","0","0","21","119","89","30",NA,"2019","11","0","5","0","58","15","0","5","9","0","6","10"
"99","1400000US12001002102","Census Tract 21.02, Alachua County, Florida","792","769","427","340","149","73","78","40","2","0","0","2","23","23","0",NA,"2019","0","0","0","0","23","0","0","0","0","0","0","0"
"100","1400000US12001002201","Census Tract 22.01, Alachua County, Florida","5717","5517","3461","1995","594","799","486","116","61","0","0","61","200","143","57",NA,"2019","48","31","10","0","43","11","9","12","0","0","20","16"
"101","1400000US12001002202","Census Tract 22.02, Alachua County, Florida","6508","6307","3854","2243","452","597","1048","146","210","53","0","157","201","188","13",NA,"2019","47","23","0","0","32","86","13","0","0","0","0","0"
"102","1400000US12001002204","Census Tract 22.04, Alachua County, Florida","11379","9226","4468","4705","1626","1192","1640","247","53","53","0","0","2153","1128","1025",NA,"2019","158","648","157","5","126","34","0","687","0","0","338","0"
"103","1400000US12001002205","Census Tract 22.05, Alachua County, Florida","12036","10086","4538","5217","1185","1765","1762","505","331","126","15","190","1950","825","1125",NA,"2019","215","336","43","0","205","26","68","862","1","0","194","0"
"104","1400000US12001002207","Census Tract 22.07, Alachua County, Florida","3702","3029","1339","1603","423","491","545","144","87","21","0","66","673","476","197",NA,"2019","77","286","0","9","86","18","55","130","0","3","9","0"
"105","1400000US12001002208","Census Tract 22.08, Alachua County, Florida","2804","2392","1059","1234","385","378","341","130","99","28","0","71","412","365","47",NA,"2019","74","146","6","4","128","7","6","34","0","0","0","7"
"106","1400000US12001002209","Census Tract 22.09, Alachua County, Florida","9069","7812","4246","3480","897","808","1451","324","86","0","23","63","1257","665","592",NA,"2019","66","371","0","0","134","94","20","473","0","0","52","47"
"107","1400000US12001002210","Census Tract 22.10, Alachua County, Florida","4646","4370","2677","1588","497","368","569","154","105","38","0","67","276","180","96",NA,"2019","53","0","0","0","127","0","56","0","0","0","40","0"
"108","1400000US12001002217","Census Tract 22.17, Alachua County, Florida","5660","5368","3025","2239","556","453","982","248","104","0","0","104","292","268","24",NA,"2019","22","58","0","0","188","0","9","15","0","0","0","0"
"109","1400000US12001002218","Census Tract 22.18, Alachua County, Florida","1733","1610","1143","424","121","122","158","23","43","36","0","7","123","48","75",NA,"2019","5","9","25","0","9","0","0","0","32","0","43","0"
"110","1400000US12001002219","Census Tract 22.19, Alachua County, Florida","6438","5674","3542","1868","668","462","493","245","264","192","0","72","764","297","467",NA,"2019","7","110","32","0","148","0","63","213","16","13","162","0"
"111","1400000US12001002220","Census Tract 22.20, Alachua County, Florida","2292","2087","1223","797","241","190","304","62","67","36","5","26","205","133","72",NA,"2019","37","51","0","0","41","4","12","14","0","0","41","5"
"112","1400000US12001110800","Census Tract 1108, Alachua County, Florida","1972","1793","672","1060","340","333","299","88","61","22","1","38","179","117","62",NA,"2019","53","37","27","0","0","0","0","0","0","7","55","0"
"113","1400000US12001000201","Census Tract 2.01; Alachua County; Florida","5284","4638","3182","1399","480","137","403","379","57","0","0","57","646","383","263",NA,"2024","0","27","0","0","356","0","22","9","0","0","232","0"
"114","1400000US12001000202","Census Tract 2.02; Alachua County; Florida","5751","5539","3768","1665","432","281","735","217","106","38","0","68","212","62","150",NA,"2024","0","38","0","0","24","0","40","32","17","0","61","0"
"115","1400000US12001000301","Census Tract 3.01; Alachua County; Florida","4210","3979","2803","1101","298","254","261","288","75","50","0","25","231","218","13",NA,"2024","7","29","0","0","182","0","0","0","0","0","13","0"
"116","1400000US12001000302","Census Tract 3.02; Alachua County; Florida","2515","2359","1625","673","216","279","112","66","61","0","0","61","156","122","34",NA,"2024","21","5","0","0","96","0","0","32","0","0","2","0"
"117","1400000US12001000400","Census Tract 4; Alachua County; Florida","5563","5473","3626","1813","453","618","563","179","34","34","0","0","90","75","15",NA,"2024","0","29","0","0","46","0","0","0","15","0","0","0"
"118","1400000US12001000500","Census Tract 5; Alachua County; Florida","4982","4577","2644","1664","423","421","469","351","269","49","0","220","405","225","180",NA,"2024","77","53","74","0","21","0","24","15","17","21","67","36"
"119","1400000US12001000600","Census Tract 6; Alachua County; Florida","4391","4325","3896","428","68","73","287","0","1","0","0","1","66","55","11",NA,"2024","0","3","23","0","29","0","0","0","11","0","0","0"
"120","1400000US12001000700","Census Tract 7; Alachua County; Florida","6633","6304","4975","1260","688","108","413","51","69","69","0","0","329","222","107",NA,"2024","0","0","0","0","208","14","0","0","0","0","26","81"
"121","1400000US12001000806","Census Tract 8.06; Alachua County; Florida","3372","2829","1479","1233","544","196","407","86","117","99","0","18","543","90","453",NA,"2024","0","36","8","0","46","0","21","338","0","0","76","18"
"122","1400000US12001000808","Census Tract 8.08; Alachua County; Florida","4107","3682","2369","1127","267","389","382","89","186","21","0","165","425","136","289",NA,"2024","9","34","0","0","93","0","88","131","33","0","37","0"
"123","1400000US12001000809","Census Tract 8.09; Alachua County; Florida","1393","1109","621","476","186","180","91","19","12","0","0","12","284","157","127",NA,"2024","38","60","8","0","51","0","24","50","15","38","0","0"
"124","1400000US12001000901","Census Tract 9.01; Alachua County; Florida","3577","3020","1923","1046","378","245","268","155","51","21","0","30","557","146","411",NA,"2024","27","15","0","0","104","0","93","221","0","0","60","37"
"125","1400000US12001000902","Census Tract 9.02; Alachua County; Florida","8723","7714","4730","2714","1074","473","937","230","270","71","0","199","1009","360","649",NA,"2024","18","41","18","0","283","0","114","434","5","0","66","30"
"126","1400000US12001001000","Census Tract 10; Alachua County; Florida","7591","6853","3998","2512","659","333","1241","279","343","67","0","276","738","519","219",NA,"2024","73","87","33","0","326","0","45","132","9","0","33","0"
"127","1400000US12001001100","Census Tract 11; Alachua County; Florida","6715","5781","2760","2845","652","1209","631","353","176","52","0","124","934","844","90",NA,"2024","133","510","8","12","145","36","13","55","0","0","22","0"
"128","1400000US12001001201","Census Tract 12.01; Alachua County; Florida","2785","2577","1442","1098","384","181","443","90","37","12","0","25","208","150","58",NA,"2024","0","148","0","0","2","0","7","40","0","0","0","11"
"129","1400000US12001001202","Census Tract 12.02; Alachua County; Florida","7269","6302","3545","2584","711","605","805","463","173","152","0","21","967","582","385",NA,"2024","60","136","0","0","362","24","0","186","0","0","194","5"
"130","1400000US12001001203","Census Tract 12.03; Alachua County; Florida","3786","3017","1583","1214","245","350","489","130","220","65","0","155","769","95","674",NA,"2024","14","58","0","0","23","0","102","72","418","0","82","0"
"131","1400000US12001001400","Census Tract 14; Alachua County; Florida","3806","3680","2623","1013","289","418","238","68","44","36","0","8","126","65","61",NA,"2024","0","4","0","0","61","0","8","0","0","0","39","14"
"132","1400000US12001001514","Census Tract 15.14; Alachua County; Florida","1925","1566","995","535","196","126","172","41","36","15","0","21","359","100","259",NA,"2024","23","63","0","0","14","0","12","113","84","0","44","6"
"133","1400000US12001001515","Census Tract 15.15; Alachua County; Florida","6125","4881","2452","2320","1156","379","638","147","109","85","0","24","1244","540","704",NA,"2024","0","228","0","0","312","0","21","273","0","0","410","0"
"134","1400000US12001001516","Census Tract 15.16; Alachua County; Florida","2679","2497","1485","792","390","166","183","53","220","21","0","199","182","24","158",NA,"2024","0","24","0","0","0","0","83","36","0","0","39","0"
"135","1400000US12001001517","Census Tract 15.17; Alachua County; Florida","5766","4666","3144","1498","315","459","536","188","24","24","0","0","1100","401","699",NA,"2024","8","147","0","0","246","0","0","654","21","0","24","0"
"136","1400000US12001001519","Census Tract 15.19; Alachua County; Florida","2538","1418","822","544","147","107","270","20","52","39","0","13","1120","200","920",NA,"2024","31","152","0","0","17","0","25","676","0","0","219","0"
"137","1400000US12001001522","Census Tract 15.22; Alachua County; Florida","8320","6859","3562","2863","738","393","720","1012","434","86","85","263","1461","526","935",NA,"2024","244","56","172","0","54","0","308","120","141","0","366","0"
"138","1400000US12001001605","Census Tract 16.05; Alachua County; Florida","9066","7448","4170","2987","841","299","1250","597","291","118","0","173","1618","740","878",NA,"2024","90","240","0","0","300","110","149","147","182","0","400","0"
"139","1400000US12001001701","Census Tract 17.01; Alachua County; Florida","6726","5526","2249","3041","1028","694","912","407","236","54","0","182","1200","887","313",NA,"2024","135","333","18","0","254","147","100","55","0","8","150","0"
"140","1400000US12001001702","Census Tract 17.02; Alachua County; Florida","5336","4876","2076","2658","871","673","711","403","142","34","0","108","460","231","229",NA,"2024","37","13","0","0","181","0","15","50","0","0","132","32"
"141","1400000US12001001802","Census Tract 18.02; Alachua County; Florida","3443","3366","2235","953","431","194","218","110","178","0","0","178","77","40","37",NA,"2024","0","15","0","0","25","0","14","0","0","0","11","12"
"142","1400000US12001001803","Census Tract 18.03; Alachua County; Florida","6284","5485","2820","2452","579","757","955","161","213","30","44","139","799","766","33",NA,"2024","97","137","66","0","466","0","22","11","0","0","0","0"
"143","1400000US12001001811","Census Tract 18.11; Alachua County; Florida","6770","5752","2713","2837","1081","782","609","365","202","61","0","141","1018","493","525",NA,"2024","90","213","0","13","177","0","34","94","0","17","380","0"
"144","1400000US12001001813","Census Tract 18.13; Alachua County; Florida","4010","3439","1732","1586","409","529","444","204","121","27","12","82","571","398","173",NA,"2024","113","226","8","0","51","0","42","118","10","0","3","0"
"145","1400000US12001001815","Census Tract 18.15; Alachua County; Florida","2055","1889","1238","629","89","262","226","52","22","17","0","5","166","127","39",NA,"2024","0","0","0","0","127","0","0","0","0","0","39","0"
"146","1400000US12001001816","Census Tract 18.16; Alachua County; Florida","5996","5756","3784","1797","412","514","640","231","175","68","18","89","240","162","78",NA,"2024","0","0","25","0","104","33","0","0","0","0","78","0"
"147","1400000US12001001817","Census Tract 18.17; Alachua County; Florida","4738","4168","2350","1774","432","594","578","170","44","0","0","44","570","450","120",NA,"2024","136","40","0","0","226","48","85","35","0","0","0","0"
"148","1400000US12001001818","Census Tract 18.18; Alachua County; Florida","5160","4763","2812","1863","567","716","346","234","88","76","0","12","397","141","256",NA,"2024","17","15","0","0","109","0","40","0","0","0","216","0"
"149","1400000US12001001819","Census Tract 18.19; Alachua County; Florida","4760","4613","2594","1847","950","489","293","115","172","94","0","78","147","106","41",NA,"2024","16","10","15","0","48","17","17","0","0","0","24","0"
"150","1400000US12001001902","Census Tract 19.02; Alachua County; Florida","4035","3807","2459","1321","432","248","523","118","27","0","13","14","228","186","42",NA,"2024","0","61","0","0","125","0","0","12","0","0","17","13"
"151","1400000US12001001907","Census Tract 19.07; Alachua County; Florida","2478","2395","1265","1089","291","300","448","50","41","11","0","30","83","74","9",NA,"2024","0","16","0","0","58","0","9","0","0","0","0","0"
"152","1400000US12001001908","Census Tract 19.08; Alachua County; Florida","5439","5288","3101","2156","572","681","585","318","31","0","0","31","151","20","131",NA,"2024","12","0","0","0","8","0","81","14","0","0","36","0"
"153","1400000US12001002001","Census Tract 20.01; Alachua County; Florida","1386","1312","829","467","130","90","130","117","16","0","0","16","74","11","63",NA,"2024","0","0","0","0","11","0","7","49","0","0","7","0"
"154","1400000US12001002002","Census Tract 20.02; Alachua County; Florida","3940","3806","2253","1427","428","412","535","52","126","0","0","126","134","55","79",NA,"2024","47","8","0","0","0","0","19","16","0","0","38","6"
"155","1400000US12001002101","Census Tract 21.01; Alachua County; Florida","1974","1918","1137","769","139","233","304","93","12","0","7","5","56","22","34",NA,"2024","10","3","6","0","3","0","5","2","8","0","19","0"
"156","1400000US12001002102","Census Tract 21.02; Alachua County; Florida","1021","945","610","325","75","118","80","52","10","0","0","10","76","8","68",NA,"2024","0","0","0","0","8","0","27","41","0","0","0","0"
"157","1400000US12001002201","Census Tract 22.01; Alachua County; Florida","6871","6155","4271","1767","352","738","497","180","117","52","0","65","716","571","145",NA,"2024","54","233","0","0","284","0","18","0","0","0","127","0"
"158","1400000US12001002202","Census Tract 22.02; Alachua County; Florida","6494","6316","3612","2675","673","763","948","291","29","0","0","29","178","159","19",NA,"2024","38","59","0","0","62","0","19","0","0","0","0","0"
"159","1400000US12001002204","Census Tract 22.04; Alachua County; Florida","12795","10591","4654","5578","1728","2086","1386","378","359","182","0","177","2204","1263","941",NA,"2024","153","840","33","0","154","83","121","474","0","0","324","22"
"160","1400000US12001002207","Census Tract 22.07; Alachua County; Florida","3954","3197","1578","1523","591","332","464","136","96","0","0","96","757","588","169",NA,"2024","146","162","20","0","259","1","29","133","0","0","7","0"
"161","1400000US12001002208","Census Tract 22.08; Alachua County; Florida","3119","2832","1414","1262","292","325","586","59","156","98","0","58","287","147","140",NA,"2024","60","60","0","0","27","0","0","99","0","0","41","0"
"162","1400000US12001002209","Census Tract 22.09; Alachua County; Florida","8368","7519","4219","3106","903","523","1335","345","194","41","55","98","849","592","257",NA,"2024","114","343","0","0","98","37","76","107","0","0","51","23"
"163","1400000US12001002210","Census Tract 22.10; Alachua County; Florida","4861","4437","2956","1341","540","391","384","26","140","87","0","53","424","298","126",NA,"2024","62","144","0","0","92","0","0","0","0","0","126","0"
"164","1400000US12001002217","Census Tract 22.17; Alachua County; Florida","6913","6628","3861","2149","528","577","960","84","618","251","367","0","285","152","133",NA,"2024","114","0","0","0","12","26","80","0","0","0","53","0"
"165","1400000US12001002218","Census Tract 22.18; Alachua County; Florida","3343","2644","1825","780","111","226","373","70","39","6","11","22","699","535","164",NA,"2024","0","169","22","0","344","0","0","100","0","0","64","0"
"166","1400000US12001002219","Census Tract 22.19; Alachua County; Florida","6642","5544","2776","2447","796","514","852","285","321","253","15","53","1098","409","689",NA,"2024","29","94","27","0","259","0","137","334","112","0","106","0"
"167","1400000US12001002220","Census Tract 22.20; Alachua County; Florida","2769","2179","1194","957","317","57","530","53","28","15","0","13","590","275","315",NA,"2024","71","60","0","0","110","34","12","67","0","0","236","0"
"168","1400000US12001002221","Census Tract 22.21; Alachua County; Florida","5643","4530","1867","2562","909","750","700","203","101","22","0","79","1113","678","435",NA,"2024","45","521","0","0","112","0","0","389","0","0","46","0"
"169","1400000US12001002222","Census Tract 22.22; Alachua County; Florida","7178","5934","2621","3021","716","907","1162","236","292","148","92","52","1244","1017","227",NA,"2024","159","634","0","0","207","17","59","127","0","0","41","0"
"170","1400000US12001110800","Census Tract 1108; Alachua County; Florida","2119","1797","802","949","384","274","227","64","46","7","0","39","322","271","51",NA,"2024","19","91","46","0","109","6","6","45","0","0","0","0"
