,Geography,Geographic_Area_Name,Estimate_Total,Estimate_Total_Native,Estimate_Total_Native_Speak_only_English,Estimate_Total_Native_Speak_Spanish,Estimate_Total_Native_Speak_Spanish_Speak_English_very_well,Estimate_Total_Native_Speak_Spanish_Speak_English_well,Estimate_Total_Native_Speak_Spanish_Speak_English_not_well,Estimate_Total_Native_Speak_Spanish_Speak_English_not_at_all,Estimate_Total_Native_Speak_other_Indo-European_languages,Estimate_Total_Native_Speak_other_Indo-European_languages_Speak_English_very_well,Estimate_Total_Native_Speak_other_Indo-European_languages_Speak_English_well,Estimate_Total_Native_Speak_other_Indo-European_languages_Speak_English_not_well,Estimate_Total_Native_Speak_other_Indo-European_languages_Speak_English_not_at_all,Estimate_Total_Native_Speak_Asian_and_Pacific_Island_languages,Estimate_Total_Native_Speak_Asian_and_Pacific_Island_languages_Speak_English_very_well,Estimate_Total_Native_Speak_Asian_and_Pacific_Island_languages_Speak_English_well,Estimate_Total_Native_Speak_Asian_and_Pacific_Island_languages_Speak_English_not_well,Estimate_Total_Native_Speak_Asian_and_Pacific_Island_languages_Speak_English_not_at_all,Estimate_Total_Native_Speak_other_languages,Estimate_Total_Native_Speak_other_languages_Speak_English_very_well,Estimate_Total_Native_Speak_other_languages_Speak_English_well,Estimate_Total_Native_Speak_other_languages_Speak_English_not_well,Estimate_Total_Native_Speak_other_languages_Speak_English_not_at_all,Estimate_Total_Foreign_born,Estimate_Total_Foreign_born_Speak_only_English,Estimate_Total_Foreign_born_Speak_Spanish,Estimate_Total_Foreign_born_Speak_Spanish_Speak_English_very_well,Estimate_Total_Foreign_born_Speak_Spanish_Speak_English_well,Estimate_Total_Foreign_born_Speak_Spanish_Speak_English_not_well,Estimate_Total_Foreign_born_Speak_Spanish_Speak_English_not_at_all,Estimate_Total_Foreign_born_Speak_other_Indo-European_languages,Estimate_Total_Foreign_born_Speak_other_Indo-European_languages_Speak_English_very_well,Estimate_Total_Foreign_born_Speak_other_Indo-European_languages_Speak_English_well,Estimate_Total_Foreign_born_Speak_other_Indo-European_languages_Speak_English_not_well,Estimate_Total_Foreign_born_Speak_other_Indo-European_languages_Speak_English_not_at_all,Estimate_Total_Foreign_born_Speak_Asian_and_Pacific_Island_languages,Estimate_Total_Foreign_born_Speak_Asian_and_Pacific_Island_languages_Speak_English_very_well,Estimate_Total_Foreign_born_Speak_Asian_and_Pacific_Island_languages_Speak_English_well,Estimate_Total_Foreign_born_Speak_Asian_and_Pacific_Island_languages_Speak_English_not_well,Estimate_Total_Foreign_born_Speak_Asian_and_Pacific_Island_languages_Speak_English_not_at_all,Estimate_Total_Foreign_born_Speak_other_languages,Estimate_Total_Foreign_born_Speak_other_languages_Speak_English_very_well,Estimate_Total_Foreign_born_Speak_other_languages_Speak_English_well,Estimate_Total_Foreign_born_Speak_other_languages_Speak_English_not_well,Estimate_Total_Foreign_born_Speak_other_languages_Speak_English_not_at_all,FB_Doesnt_Speak_Well_At_All_Spanish,FB_Doesnt_Speak_Well_At_All_Other_Indo_European,FB_Doesnt_Speak_Well_At_All_Asian_Pacific_Island
19,1400000US12001001400,"Census Tract 14, Alachua County, Florida",4386,4291,4165,97,90,7,0,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,95,75,20,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1400000US12001001514,"Census Tract 15.14, Alachua County, Florida",1648,1341,1142,176,140,28,8,0,16,16,0,0,0,7,7,0,0,0,0,0,0,0,0,307,63,50,46,4,0,0,44,44,0,0,0,138,107,31,0,0,12,12,0,0,0,0,0,0
21,1400000US12001001515,"Census Tract 15.15, Alachua County, Florida",4877,4156,3473,491,402,89,0,0,64,64,0,0,0,89,22,67,0,0,39,0,0,39,0,721,43,133,89,19,25,0,295,88,64,125,18,223,121,31,71,0,27,27,0,0,0,25,143,71
22,1400000US12001001516,"Census Tract 15.16, Alachua County, Florida",2332,2000,1850,66,66,0,0,0,14,14,0,0,0,70,48,0,22,0,0,0,0,0,0,332,143,41,31,10,0,0,38,38,0,0,0,110,49,61,0,0,0,0,0,0,0,0,0,0
23,1400000US12001001517,"Census Tract 15.17, Alachua County, Florida",4463,3481,2889,516,475,41,0,0,35,21,14,0,0,41,41,0,0,0,0,0,0,0,0,982,185,219,115,74,28,2,138,69,69,0,0,440,211,202,27,0,0,0,0,0,0,30,0,27
24,1400000US12001001519,"Census Tract 15.19, Alachua County, Florida",2564,1657,1464,111,99,12,0,0,18,18,0,0,0,64,64,0,0,0,0,0,0,0,0,907,161,114,114,0,0,0,301,258,37,6,0,331,243,85,3,0,0,0,0,0,0,0,6,3
25,1400000US12001001520,"Census Tract 15.20, Alachua County, Florida",2483,1891,1732,84,46,38,0,0,16,16,0,0,0,29,29,0,0,0,30,30,0,0,0,592,98,192,158,34,0,0,83,8,0,75,0,132,62,64,6,0,87,0,48,39,0,0,75,6
26,1400000US12001001521,"Census Tract 15.21, Alachua County, Florida",4013,3313,2974,190,190,0,0,0,43,43,0,0,0,72,72,0,0,0,34,34,0,0,0,700,90,265,67,157,41,0,244,88,95,32,29,101,33,48,20,0,0,0,0,0,0,41,61,20
27,1400000US12001001603,"Census Tract 16.03, Alachua County, Florida",1592,1330,1223,58,50,8,0,0,31,31,0,0,0,12,12,0,0,0,6,6,0,0,0,262,51,103,62,4,37,0,11,7,4,0,0,68,20,23,15,10,29,22,7,0,0,37,0,25
28,1400000US12001001604,"Census Tract 16.04, Alachua County, Florida",7350,6073,5591,364,269,95,0,0,118,118,0,0,0,0,0,0,0,0,0,0,0,0,0,1277,94,438,296,0,46,96,374,303,52,19,0,347,232,115,0,0,24,24,0,0,0,142,19,0
29,1400000US12001001701,"Census Tract 17.01, Alachua County, Florida",5030,4435,4276,116,116,0,0,0,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,595,201,181,80,54,0,47,50,50,0,0,0,84,0,84,0,0,79,79,0,0,0,47,0,0
30,1400000US12001001702,"Census Tract 17.02, Alachua County, Florida",5424,5055,4653,282,175,107,0,0,96,96,0,0,0,4,4,0,0,0,20,20,0,0,0,369,150,128,64,0,64,0,69,69,0,0,0,13,13,0,0,0,9,0,9,0,0,64,0,0
31,1400000US12001001801,"Census Tract 18.01, Alachua County, Florida",7108,6657,6357,294,268,26,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,451,190,127,81,30,16,0,90,72,0,18,0,44,0,0,44,0,0,0,0,0,0,16,18,44
32,1400000US12001001802,"Census Tract 18.02, Alachua County, Florida",2529,2323,2242,81,73,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,44,5,0,0,2,3,61,29,32,0,0,30,0,30,0,0,66,66,0,0,0,5,0,0
33,1400000US12001001803,"Census Tract 18.03, Alachua County, Florida",5834,4986,4685,208,156,20,32,0,57,57,0,0,0,19,19,0,0,0,17,17,0,0,0,848,243,344,153,50,0,141,64,24,6,34,0,188,49,110,29,0,9,0,9,0,0,141,34,29
34,1400000US12001001805,"Census Tract 18.05, Alachua County, Florida",1472,1376,1328,37,37,0,0,0,5,5,0,0,0,0,0,0,0,0,6,6,0,0,0,96,22,35,5,7,13,10,14,14,0,0,0,25,4,7,7,7,0,0,0,0,0,23,0,14
35,1400000US12001001806,"Census Tract 18.06, Alachua County, Florida",8720,8110,7854,137,137,0,0,0,119,90,29,0,0,0,0,0,0,0,0,0,0,0,0,610,257,275,164,55,14,42,68,18,50,0,0,10,10,0,0,0,0,0,0,0,0,56,0,0
36,1400000US12001001811,"Census Tract 18.11, Alachua County, Florida",6397,5353,4932,321,245,64,12,0,32,32,0,0,0,55,8,47,0,0,13,13,0,0,0,1044,301,282,251,31,0,0,269,186,51,32,0,180,126,32,22,0,12,12,0,0,0,0,32,22
37,1400000US12001001813,"Census Tract 18.13, Alachua County, Florida",3503,2993,2741,117,95,8,14,0,44,44,0,0,0,91,45,46,0,0,0,0,0,0,0,510,84,66,43,11,12,0,141,100,9,32,0,200,77,63,29,31,19,19,0,0,0,12,32,60
38,1400000US12001001814,"Census Tract 18.14, Alachua County, Florida",2430,2166,1939,87,83,4,0,0,110,110,0,0,0,0,0,0,0,0,30,30,0,0,0,264,46,47,47,0,0,0,171,4,76,91,0,0,0,0,0,0,0,0,0,0,0,0,91,0
39,1400000US12001001902,"Census Tract 19.02, Alachua County, Florida",3199,3033,2940,93,56,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,94,53,2,0,10,41,19,10,9,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0
40,1400000US12001001907,"Census Tract 19.07, Alachua County, Florida",2597,2402,2351,7,7,0,0,0,26,26,0,0,0,0,0,0,0,0,18,0,18,0,0,195,44,74,74,0,0,0,33,0,33,0,0,4,4,0,0,0,40,0,24,16,0,0,0,0
41,1400000US12001001908,"Census Tract 19.08, Alachua County, Florida",4653,4463,4348,7,7,0,0,0,8,8,0,0,0,100,27,73,0,0,0,0,0,0,0,190,58,0,0,0,0,0,0,0,0,0,0,132,23,22,40,47,0,0,0,0,0,0,0,87
42,1400000US12001002000,"Census Tract 20, Alachua County, Florida",5828,5743,5613,60,42,18,0,0,25,25,0,0,0,45,0,20,25,0,0,0,0,0,0,85,51,0,0,0,0,0,0,0,0,0,0,34,34,0,0,0,0,0,0,0,0,0,0,0
43,1400000US12001002101,"Census Tract 21.01, Alachua County, Florida",1974,1855,1840,3,0,3,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,119,100,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,14,14,0,0,0,0,0,0
44,1400000US12001002102,"Census Tract 21.02, Alachua County, Florida",776,753,737,12,9,3,0,0,2,2,0,0,0,0,0,0,0,0,2,0,2,0,0,23,0,14,14,0,0,0,9,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1400000US12001002201,"Census Tract 22.01, Alachua County, Florida",5061,4861,4683,138,79,59,0,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,200,98,43,43,0,0,0,37,26,11,0,0,12,12,0,0,0,10,10,0,0,0,0,0,0
46,1400000US12001002202,"Census Tract 22.02, Alachua County, Florida",6143,5942,5800,70,70,0,0,0,72,72,0,0,0,0,0,0,0,0,0,0,0,0,0,201,123,32,32,0,0,0,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1400000US12001002204,"Census Tract 22.04, Alachua County, Florida",10905,8752,8380,206,172,34,0,0,24,24,0,0,0,142,142,0,0,0,0,0,0,0,0,2153,788,286,218,68,0,0,228,181,47,0,0,806,216,394,196,0,45,45,0,0,0,0,0,196
48,1400000US12001002205,"Census Tract 22.05, Alachua County, Florida",11101,9151,8453,340,340,0,0,0,269,269,0,0,0,89,89,0,0,0,0,0,0,0,0,1950,316,274,165,71,0,38,650,493,127,30,0,690,575,47,68,0,20,20,0,0,0,38,30,68
49,1400000US12001002207,"Census Tract 22.07, Alachua County, Florida",3456,2783,2570,126,103,7,16,0,39,28,11,0,0,48,48,0,0,0,0,0,0,0,0,673,174,35,26,9,0,0,220,178,19,23,0,244,60,120,64,0,0,0,0,0,0,0,23,64
50,1400000US12001002208,"Census Tract 22.08, Alachua County, Florida",2677,2265,1860,218,199,19,0,0,74,67,7,0,0,90,69,21,0,0,23,23,0,0,0,412,116,114,110,4,0,0,46,12,23,11,0,122,45,77,0,0,14,14,0,0,0,0,11,0
51,1400000US12001002209,"Census Tract 22.09, Alachua County, Florida",8299,7060,6721,114,108,6,0,0,51,51,0,0,0,164,164,0,0,0,10,10,0,0,0,1239,487,85,65,20,0,0,66,53,13,0,0,554,270,115,169,0,47,47,0,0,0,0,0,169
52,1400000US12001002210,"Census Tract 22.10, Alachua County, Florida",4266,3990,3865,102,73,22,0,7,23,13,0,10,0,0,0,0,0,0,0,0,0,0,0,276,119,93,37,33,0,23,64,54,10,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0
53,1400000US12001002217,"Census Tract 22.17, Alachua County, Florida",5138,4846,4597,200,169,31,0,0,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,292,59,169,79,72,18,0,0,0,0,0,0,64,15,49,0,0,0,0,0,0,0,18,0,0
54,1400000US12001002218,"Census Tract 22.18, Alachua County, Florida",1563,1440,1314,108,86,8,14,0,6,6,0,0,0,12,12,0,0,0,0,0,0,0,0,123,35,43,5,5,26,7,36,0,0,36,0,9,0,0,9,0,0,0,0,0,0,33,36,9
55,1400000US12001002219,"Census Tract 22.19, Alachua County, Florida",5798,5034,4394,389,332,57,0,0,125,125,0,0,0,126,113,13,0,0,0,0,0,0,0,764,271,153,93,13,47,0,163,104,27,32,0,135,6,86,43,0,42,42,0,0,0,47,32,43
56,1400000US12001002220,"Census Tract 22.20, Alachua County, Florida",2176,1971,1934,31,31,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,205,46,67,26,0,40,1,34,34,0,0,0,58,25,0,33,0,0,0,0,0,0,41,0,33
57,1400000US12001110800,"Census Tract 1108, Alachua County, Florida",1908,1729,1676,43,43,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,179,96,47,37,10,0,0,21,21,0,0,0,15,5,10,0,0,0,0,0,0,0,0,0,0
