,Geography,Geographic_Area_Name,Estimate_Total,Estimate_Total_Native,Estimate_Total_Native_Speak_only_English,Estimate_Total_Native_Speak_Spanish,Estimate_Total_Native_Speak_Spanish_Speak_English_very_well,Estimate_Total_Native_Speak_Spanish_Speak_English_well,Estimate_Total_Native_Speak_Spanish_Speak_English_not_well,Estimate_Total_Native_Speak_Spanish_Speak_English_not_at_all,Estimate_Total_Native_Speak_other_Indo-European_languages,Estimate_Total_Native_Speak_other_Indo-European_languages_Speak_English_very_well,Estimate_Total_Native_Speak_other_Indo-European_languages_Speak_English_well,Estimate_Total_Native_Speak_other_Indo-European_languages_Speak_English_not_well,Estimate_Total_Native_Speak_other_Indo-European_languages_Speak_English_not_at_all,Estimate_Total_Native_Speak_Asian_and_Pacific_Island_languages,Estimate_Total_Native_Speak_Asian_and_Pacific_Island_languages_Speak_English_very_well,Estimate_Total_Native_Speak_Asian_and_Pacific_Island_languages_Speak_English_well,Estimate_Total_Native_Speak_Asian_and_Pacific_Island_languages_Speak_English_not_well,Estimate_Total_Native_Speak_Asian_and_Pacific_Island_languages_Speak_English_not_at_all,Estimate_Total_Native_Speak_other_languages,Estimate_Total_Native_Speak_other_languages_Speak_English_very_well,Estimate_Total_Native_Speak_other_languages_Speak_English_well,Estimate_Total_Native_Speak_other_languages_Speak_English_not_well,Estimate_Total_Native_Speak_other_languages_Speak_English_not_at_all,Estimate_Total_Foreign_born,Estimate_Total_Foreign_born_Speak_only_English,Estimate_Total_Foreign_born_Speak_Spanish,Estimate_Total_Foreign_born_Speak_Spanish_Speak_English_very_well,Estimate_Total_Foreign_born_Speak_Spanish_Speak_English_well,Estimate_Total_Foreign_born_Speak_Spanish_Speak_English_not_well,Estimate_Total_Foreign_born_Speak_Spanish_Speak_English_not_at_all,Estimate_Total_Foreign_born_Speak_other_Indo-European_languages,Estimate_Total_Foreign_born_Speak_other_Indo-European_languages_Speak_English_very_well,Estimate_Total_Foreign_born_Speak_other_Indo-European_languages_Speak_English_well,Estimate_Total_Foreign_born_Speak_other_Indo-European_languages_Speak_English_not_well,Estimate_Total_Foreign_born_Speak_other_Indo-European_languages_Speak_English_not_at_all,Estimate_Total_Foreign_born_Speak_Asian_and_Pacific_Island_languages,Estimate_Total_Foreign_born_Speak_Asian_and_Pacific_Island_languages_Speak_English_very_well,Estimate_Total_Foreign_born_Speak_Asian_and_Pacific_Island_languages_Speak_English_well,Estimate_Total_Foreign_born_Speak_Asian_and_Pacific_Island_languages_Speak_English_not_well,Estimate_Total_Foreign_born_Speak_Asian_and_Pacific_Island_languages_Speak_English_not_at_all,Estimate_Total_Foreign_born_Speak_other_languages,Estimate_Total_Foreign_born_Speak_other_languages_Speak_English_very_well,Estimate_Total_Foreign_born_Speak_other_languages_Speak_English_well,Estimate_Total_Foreign_born_Speak_other_languages_Speak_English_not_well,Estimate_Total_Foreign_born_Speak_other_languages_Speak_English_not_at_all,FB_Doesnt_Speak_Well_At_All_Spanish,FB_Doesnt_Speak_Well_At_All_Other_Indo_European,FB_Doesnt_Speak_Well_At_All_Asian_Pacific_Island
2,1400000US12001000200,"Census Tract 2, Alachua County, Florida",7477,6855,6135,623,604,19,0,0,77,77,0,0,0,10,10,0,0,0,10,10,0,0,0,622,137,74,74,0,0,0,311,311,0,0,0,78,58,20,0,0,22,7,15,0,0,0,0,0
3,1400000US12001000301,"Census Tract 3.01, Alachua County, Florida",4271,3958,3789,116,116,0,0,0,53,53,0,0,0,0,0,0,0,0,0,0,0,0,0,313,123,32,18,14,0,0,83,83,0,0,0,75,20,55,0,0,0,0,0,0,0,0,0,0
4,1400000US12001000302,"Census Tract 3.02, Alachua County, Florida",2248,2076,1968,46,32,14,0,0,51,51,0,0,0,0,0,0,0,0,11,11,0,0,0,172,25,109,45,0,64,0,29,20,9,0,0,6,0,6,0,0,3,3,0,0,0,64,0,0
5,1400000US12001000400,"Census Tract 4, Alachua County, Florida",6147,5606,5305,242,205,0,0,37,59,59,0,0,0,0,0,0,0,0,0,0,0,0,0,541,156,91,0,79,12,0,35,0,0,35,0,259,54,27,114,64,0,0,0,0,0,12,35,178
6,1400000US12001000500,"Census Tract 5, Alachua County, Florida",4657,4289,4018,206,206,0,0,0,55,26,0,29,0,10,10,0,0,0,0,0,0,0,0,368,111,148,148,0,0,0,94,66,14,14,0,15,15,0,0,0,0,0,0,0,0,0,14,0
7,1400000US12001000600,"Census Tract 6, Alachua County, Florida",4383,4323,4303,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,1,1,0,0,0,42,30,12,0,0,0,0,0,0,0,17,1,16,0,0,0,0,0
8,1400000US12001000700,"Census Tract 7, Alachua County, Florida",6377,5889,5642,184,116,0,68,0,51,0,51,0,0,0,0,0,0,0,12,0,12,0,0,488,234,230,0,57,136,37,23,23,0,0,0,0,0,0,0,0,1,1,0,0,0,173,0,0
9,1400000US12001000806,"Census Tract 8.06, Alachua County, Florida",2391,1635,1515,56,40,16,0,0,37,37,0,0,0,27,13,14,0,0,0,0,0,0,0,756,242,63,44,19,0,0,161,119,42,0,0,258,110,19,100,29,32,32,0,0,0,0,0,129
10,1400000US12001000808,"Census Tract 8.08, Alachua County, Florida",3228,2673,2432,164,135,12,17,0,60,60,0,0,0,17,17,0,0,0,0,0,0,0,0,555,96,175,57,91,27,0,86,79,7,0,0,181,115,42,24,0,17,8,9,0,0,27,0,24
11,1400000US12001000809,"Census Tract 8.09, Alachua County, Florida",1243,1028,956,68,56,12,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,215,55,37,31,6,0,0,16,16,0,0,0,94,50,40,4,0,13,13,0,0,0,0,0,4
12,1400000US12001000901,"Census Tract 9.01, Alachua County, Florida",4329,3606,2965,382,376,0,6,0,133,126,7,0,0,99,99,0,0,0,27,11,0,16,0,723,50,96,80,16,0,0,203,133,70,0,0,307,122,175,10,0,67,19,13,35,0,0,0,10
13,1400000US12001000902,"Census Tract 9.02, Alachua County, Florida",6684,6143,5211,547,525,22,0,0,132,132,0,0,0,225,220,5,0,0,28,28,0,0,0,541,52,227,212,15,0,0,76,50,26,0,0,141,86,55,0,0,45,40,5,0,0,0,0,0
14,1400000US12001001000,"Census Tract 10, Alachua County, Florida",5587,5397,4982,356,335,21,0,0,59,59,0,0,0,0,0,0,0,0,0,0,0,0,0,190,46,41,41,0,0,0,55,39,16,0,0,0,0,0,0,0,48,48,0,0,0,0,0,0
15,1400000US12001001100,"Census Tract 11, Alachua County, Florida",6704,5981,5833,66,50,16,0,0,82,82,0,0,0,0,0,0,0,0,0,0,0,0,0,723,149,95,95,0,0,0,274,207,50,17,0,205,177,28,0,0,0,0,0,0,0,0,17,0
16,1400000US12001001201,"Census Tract 12.01, Alachua County, Florida",3286,3069,2964,84,74,10,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0,217,87,8,8,0,0,0,99,60,39,0,0,23,5,4,14,0,0,0,0,0,0,0,0,14
17,1400000US12001001202,"Census Tract 12.02, Alachua County, Florida",7341,6860,6137,547,465,37,5,40,149,149,0,0,0,27,27,0,0,0,0,0,0,0,0,481,133,104,85,19,0,0,157,138,19,0,0,87,39,14,34,0,0,0,0,0,0,0,0,34
18,1400000US12001001203,"Census Tract 12.03, Alachua County, Florida",3319,3004,2594,187,166,21,0,0,39,20,19,0,0,175,152,23,0,0,9,9,0,0,0,315,67,58,44,14,0,0,77,42,12,23,0,113,28,85,0,0,0,0,0,0,0,0,23,0
