"","Geography","Geographic_Area_Name","Estimate_Total","Estimate_Total_Native_population","Estimate_Total_Native_population_5_to_17_years","Estimate_Total_Native_population_5_to_17_years_Speak_only_English","Estimate_Total_Native_population_5_to_17_years_Speak_Spanish","Estimate_Total_Native_population_5_to_17_years_Speak_Spanish_Speak_English_very_well","Estimate_Total_Native_population_5_to_17_years_Speak_Spanish_Speak_English_less_than_very_well","Estimate_Total_Native_population_5_to_17_years_Speak_other_languages","Estimate_Total_Native_population_5_to_17_years_Speak_other_languages_Speak_English_very_well","Estimate_Total_Native_population_5_to_17_years_Speak_other_languages_Speak_English_less_than_very_well","Estimate_Total_Native_population_18_years_and_over","Estimate_Total_Native_population_18_years_and_over_Speak_only_English","Estimate_Total_Native_population_18_years_and_over_Speak_Spanish","Estimate_Total_Native_population_18_years_and_over_Speak_Spanish_Speak_English_very_well","Estimate_Total_Native_population_18_years_and_over_Speak_Spanish_Speak_English_less_than_very_well","Estimate_Total_Native_population_18_years_and_over_Speak_other_languages","Estimate_Total_Native_population_18_years_and_over_Speak_other_languages_Speak_English_very_well","Estimate_Total_Native_population_18_years_and_over_Speak_other_languages_Speak_English_less_than_very_well","Estimate_Total_Foreign-born_population","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_5_to_17_years","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_5_to_17_years_Speak_only_English","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_5_to_17_years_Speak_Spanish","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_5_to_17_years_Speak_Spanish_Speak_English_very_well","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_5_to_17_years_Speak_Spanish_Speak_English_less_than_very_well","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_5_to_17_years_Speak_other_languages","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_5_to_17_years_Speak_other_languages_Speak_English_very_well","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_5_to_17_years_Speak_other_languages_Speak_English_less_than_very_well","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_18_years_and_over","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_18_years_and_over_Speak_only_English","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_18_years_and_over_Speak_Spanish","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_18_years_and_over_Speak_Spanish_Speak_English_very_well","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_18_years_and_over_Speak_Spanish_Speak_English_less_than_very_well","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_18_years_and_over_Speak_other_languages","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_18_years_and_over_Speak_other_languages_Speak_English_very_well","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_18_years_and_over_Speak_other_languages_Speak_English_less_than_very_well","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_5_to_17_years","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_5_to_17_years_Speak_only_English","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_5_to_17_years_Speak_Spanish","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_5_to_17_years_Speak_Spanish_Speak_English_very_well","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_5_to_17_years_Speak_Spanish_Speak_English_less_than_very_well","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_5_to_17_years_Speak_other_languages","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_5_to_17_years_Speak_other_languages_Speak_English_very_well","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_5_to_17_years_Speak_other_languages_Speak_English_less_than_very_well","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_18_years_and_over","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_18_years_and_over_Speak_only_English","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_18_years_and_over_Speak_Spanish","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_18_years_and_over_Speak_Spanish_Speak_English_very_well","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_18_years_and_over_Speak_Spanish_Speak_English_less_than_very_well","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_18_years_and_over_Speak_other_languages","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_18_years_and_over_Speak_other_languages_Speak_English_very_well","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_18_years_and_over_Speak_other_languages_Speak_English_less_than_very_well","NA"
"2","1400000US12001000201","Census Tract 2.01; Alachua County; Florida","5236","4590","77","77","0","0","0","0","0","0","4513","4356","105","105","0","52","45","7","646","383","0","0","0","0","0","0","0","0","383","0","333","333","0","50","50","0","263","0","0","0","0","0","0","0","0","263","16","42","30","12","205","196","9",NA
"3","1400000US12001000202","Census Tract 2.02; Alachua County; Florida","5751","5539","50","46","4","4","0","0","0","0","5489","4591","707","696","11","191","189","2","212","62","0","0","0","0","0","0","0","0","62","11","10","10","0","41","41","0","150","0","0","0","0","0","0","0","0","150","28","0","0","0","122","46","76",NA
"4","1400000US12001000301","Census Tract 3.01; Alachua County; Florida","3976","3745","691","691","0","0","0","0","0","0","3054","2917","129","129","0","8","8","0","231","218","0","0","0","0","0","0","0","0","218","32","150","88","62","36","7","29","13","0","0","0","0","0","0","0","0","13","13","0","0","0","0","0","0",NA
"5","1400000US12001000302","Census Tract 3.02; Alachua County; Florida","2395","2239","190","190","0","0","0","0","0","0","2049","1939","110","103","7","0","0","0","156","122","0","0","0","0","0","0","0","0","122","24","93","0","93","5","0","5","34","0","0","0","0","0","0","0","0","34","20","2","2","0","12","5","7",NA
"6","1400000US12001000400","Census Tract 4; Alachua County; Florida","5272","5182","1289","1160","129","58","71","0","0","0","3893","3678","215","215","0","0","0","0","90","75","0","0","0","0","0","0","0","0","75","47","18","0","18","10","0","10","15","0","0","0","0","0","0","0","0","15","0","0","0","0","15","0","15",NA
"7","1400000US12001000500","Census Tract 5; Alachua County; Florida","4673","4268","561","561","0","0","0","0","0","0","3707","3387","181","181","0","139","139","0","405","225","0","0","0","0","0","0","0","0","225","193","0","0","0","32","32","0","180","0","0","0","0","0","0","0","0","180","57","54","54","0","69","69","0",NA
"8","1400000US12001000600","Census Tract 6; Alachua County; Florida","4052","3986","749","749","0","0","0","0","0","0","3237","3222","9","9","0","6","6","0","66","55","0","0","0","0","0","0","0","0","55","22","4","4","0","29","23","6","11","0","0","0","0","0","0","0","0","11","0","0","0","0","11","11","0",NA
"9","1400000US12001000700","Census Tract 7; Alachua County; Florida","6138","5809","1157","1037","49","49","0","71","71","0","4652","4475","177","142","35","0","0","0","329","222","0","0","0","0","0","0","0","0","222","74","10","0","10","138","0","138","107","0","0","0","0","0","0","0","0","107","81","26","26","0","0","0","0",NA
"10","1400000US12001000806","Census Tract 8.06; Alachua County; Florida","3299","2756","63","63","0","0","0","0","0","0","2693","2099","414","414","0","180","180","0","543","90","8","8","0","0","0","0","0","0","82","21","46","46","0","15","15","0","453","78","0","0","0","0","78","48","30","375","41","50","16","34","284","158","126",NA
"11","1400000US12001000808","Census Tract 8.08; Alachua County; Florida","3739","3314","533","486","47","47","0","0","0","0","2781","2697","36","36","0","48","48","0","425","136","0","0","0","0","0","0","0","0","136","55","43","43","0","38","38","0","289","38","19","0","0","0","19","19","0","251","23","37","37","0","191","150","41",NA
"12","1400000US12001000809","Census Tract 8.09; Alachua County; Florida","1382","1109","83","83","0","0","0","0","0","0","1026","976","38","38","0","12","12","0","273","146","0","0","0","0","0","0","0","0","146","18","51","51","0","77","70","7","127","0","0","0","0","0","0","0","0","127","64","13","13","0","50","35","15",NA
"13","1400000US12001000901","Census Tract 9.01; Alachua County; Florida","3545","2988","83","20","0","0","0","63","63","0","2905","2342","300","282","18","263","229","34","557","146","0","0","0","0","0","0","0","0","146","32","35","35","0","79","79","0","411","60","0","0","0","0","60","60","0","351","37","88","46","42","226","138","88",NA
"14","1400000US12001000902","Census Tract 9.02; Alachua County; Florida","8723","7714","209","133","6","6","0","70","70","0","7505","6197","867","839","28","441","421","20","1009","360","0","0","0","0","0","0","0","0","360","54","210","210","0","96","38","58","649","44","0","0","0","0","44","9","35","605","60","56","27","29","489","168","321",NA
"15","1400000US12001001000","Census Tract 10; Alachua County; Florida","7563","6825","345","223","0","0","0","122","114","8","6480","5931","441","408","33","108","108","0","738","519","0","0","0","0","0","0","0","0","519","150","244","244","0","125","125","0","219","0","0","0","0","0","0","0","0","219","9","33","33","0","177","130","47",NA
"16","1400000US12001001100","Census Tract 11; Alachua County; Florida","6322","5388","970","704","49","30","19","217","217","0","4418","4211","100","57","43","107","86","21","934","844","0","0","0","0","0","0","0","0","844","128","134","134","0","582","362","220","90","0","0","0","0","0","0","0","0","90","13","22","0","22","55","37","18",NA
"17","1400000US12001001201","Census Tract 12.01; Alachua County; Florida","2622","2414","298","212","0","0","0","86","86","0","2116","2020","78","63","15","18","18","0","208","150","0","0","0","0","0","0","0","0","150","11","2","0","2","137","121","16","58","0","0","0","0","0","0","0","0","58","41","0","0","0","17","17","0",NA
