"","Geography","Geographic_Area_Name","Estimate_Total","Estimate_Total_Male","Estimate_Total_Male_Under_5_years","Estimate_Total_Male_5_to_9_years","Estimate_Total_Male_10_to_14_years","Estimate_Total_Male_15_to_19_years","Estimate_Total_Male_20_to_24_years","Estimate_Total_Male_25_to_29_years","Estimate_Total_Male_30_to_34_years","Estimate_Total_Male_35_to_39_years","Estimate_Total_Male_40_to_44_years","Estimate_Total_Male_45_to_49_years","Estimate_Total_Male_50_to_54_years","Estimate_Total_Male_55_to_59_years","Estimate_Total_Male_60_to_64_years","Estimate_Total_Male_65_to_69_years","Estimate_Total_Male_70_to_74_years","Estimate_Total_Male_75_to_79_years","Estimate_Total_Male_80_to_84_years","Estimate_Total_Male_85_years_and_over","Estimate_Total_Female","Estimate_Total_Female_Under_5_years","Estimate_Total_Female_5_to_9_years","Estimate_Total_Female_10_to_14_years","Estimate_Total_Female_15_to_19_years","Estimate_Total_Female_20_to_24_years","Estimate_Total_Female_25_to_29_years","Estimate_Total_Female_30_to_34_years","Estimate_Total_Female_35_to_39_years","Estimate_Total_Female_40_to_44_years","Estimate_Total_Female_45_to_49_years","Estimate_Total_Female_50_to_54_years","Estimate_Total_Female_55_to_59_years","Estimate_Total_Female_60_to_64_years","Estimate_Total_Female_65_to_69_years","Estimate_Total_Female_70_to_74_years","Estimate_Total_Female_75_to_79_years","Estimate_Total_Female_80_to_84_years","Estimate_Total_Female_85_years_and_over","NA"
"2","1400000US12001000200","Census Tract 2, Alachua County, Florida","622","148","0","0","0","3","21","0","124","0","0","0","0","0","0","0","0","0","0","0","474","0","0","0","31","222","84","105","20","12","0","0","0","0","0","0","0","0","0",NA
"3","1400000US12001000301","Census Tract 3.01, Alachua County, Florida","35","16","0","0","0","0","0","0","8","0","0","0","0","0","0","8","0","0","0","0","19","0","0","0","0","0","11","0","0","0","0","0","0","0","8","0","0","0","0",NA
"4","1400000US12001000302","Census Tract 3.02, Alachua County, Florida","177","120","0","0","0","0","34","80","0","0","0","0","0","6","0","0","0","0","0","0","57","0","0","0","0","0","0","0","0","18","33","0","0","6","0","0","0","0","0",NA
"5","1400000US12001000400","Census Tract 4, Alachua County, Florida","229","79","0","0","0","0","0","0","19","0","24","1","0","35","0","0","0","0","0","0","150","0","0","0","24","0","0","11","0","22","0","0","10","39","28","16","0","0","0",NA
"6","1400000US12001000500","Census Tract 5, Alachua County, Florida","378","201","0","0","0","20","0","113","0","0","0","39","0","15","0","14","0","0","0","0","177","0","0","0","0","0","104","22","0","37","0","0","0","0","0","0","14","0","0",NA
"7","1400000US12001000600","Census Tract 6, Alachua County, Florida","126","20","0","0","0","0","0","0","0","0","9","3","0","0","0","0","8","0","0","0","106","0","12","0","0","11","36","0","0","14","3","0","15","0","8","0","7","0","0",NA
"8","1400000US12001000700","Census Tract 7, Alachua County, Florida","190","100","0","0","0","0","24","0","0","12","0","0","0","16","14","0","0","34","0","0","90","0","0","0","0","19","15","0","0","21","0","0","19","16","0","0","0","0","0",NA
"9","1400000US12001000806","Census Tract 8.06, Alachua County, Florida","310","203","0","13","0","0","50","31","56","18","23","8","4","0","0","0","0","0","0","0","107","0","0","0","0","26","26","19","13","8","0","8","0","7","0","0","0","0","0",NA
"10","1400000US12001000808","Census Tract 8.08, Alachua County, Florida","911","553","0","6","0","23","151","192","119","17","20","0","25","0","0","0","0","0","0","0","358","0","0","0","6","56","133","56","16","20","0","0","51","20","0","0","0","0","0",NA
"11","1400000US12001000809","Census Tract 8.09, Alachua County, Florida","144","58","0","6","0","11","1","9","6","8","8","0","0","0","0","0","0","9","0","0","86","10","0","0","0","14","14","11","0","7","0","0","22","0","0","0","0","0","8",NA
"12","1400000US12001000901","Census Tract 9.01, Alachua County, Florida","711","380","13","24","0","54","102","107","55","11","3","0","0","5","6","0","0","0","0","0","331","7","11","0","69","63","86","29","32","22","0","0","5","7","0","0","0","0","0",NA
"13","1400000US12001000902","Census Tract 9.02, Alachua County, Florida","531","212","0","0","0","82","119","0","5","0","6","0","0","0","0","0","0","0","0","0","319","0","0","0","190","105","20","4","0","0","0","0","0","0","0","0","0","0","0",NA
"14","1400000US12001001000","Census Tract 10, Alachua County, Florida","594","236","0","0","0","1","114","58","6","0","0","0","24","4","4","0","0","11","14","0","358","0","0","0","0","263","3","5","23","0","17","0","11","12","12","0","12","0","0",NA
"15","1400000US12001001100","Census Tract 11, Alachua County, Florida","650","350","0","0","30","18","0","44","34","20","11","51","18","72","13","12","0","27","0","0","300","0","0","14","0","25","0","30","20","30","13","18","87","11","0","13","0","26","13",NA
"16","1400000US12001001201","Census Tract 12.01, Alachua County, Florida","514","242","0","0","0","0","26","26","51","6","37","21","17","34","6","0","0","15","0","3","272","0","0","0","25","0","10","36","63","0","50","0","8","53","0","14","6","7","0",NA
"17","1400000US12001001202","Census Tract 12.02, Alachua County, Florida","859","319","0","0","0","23","125","0","43","25","64","0","0","0","14","0","0","0","0","25","540","0","20","0","8","0","104","28","22","40","20","96","10","41","45","55","18","33","0",NA
"18","1400000US12001001203","Census Tract 12.03, Alachua County, Florida","453","202","13","0","33","9","16","13","0","75","0","35","8","0","0","0","0","0","0","0","251","0","0","0","17","44","65","26","31","16","30","22","0","0","0","0","0","0","0",NA
"19","1400000US12001001400","Census Tract 14, Alachua County, Florida","83","66","0","0","0","0","1","0","8","9","10","6","5","0","0","13","14","0","0","0","17","0","0","0","0","0","0","0","0","5","0","0","12","0","0","0","0","0","0",NA
"20","1400000US12001001514","Census Tract 15.14, Alachua County, Florida","282","138","0","0","0","0","30","41","31","31","0","0","0","0","5","0","0","0","0","0","144","0","0","0","0","56","39","5","0","0","0","0","17","27","0","0","0","0","0",NA
"21","1400000US12001001515","Census Tract 15.15, Alachua County, Florida","975","355","0","0","0","12","78","180","59","12","0","14","0","0","0","0","0","0","0","0","620","17","11","0","87","189","149","71","0","29","0","19","0","0","19","29","0","0","0",NA
"22","1400000US12001001516","Census Tract 15.16, Alachua County, Florida","388","222","0","0","0","0","82","34","33","33","16","0","11","13","0","0","0","0","0","0","166","0","0","0","9","24","66","35","7","0","0","9","0","0","0","0","16","0","0",NA
"23","1400000US12001001517","Census Tract 15.17, Alachua County, Florida","884","543","0","7","0","51","329","45","47","49","0","13","0","0","0","0","2","0","0","0","341","0","0","0","15","214","13","64","6","0","20","0","0","9","0","0","0","0","0",NA
"24","1400000US12001001519","Census Tract 15.19, Alachua County, Florida","849","536","0","0","0","4","379","124","10","6","0","0","10","3","0","0","0","0","0","0","313","0","0","0","18","188","59","0","5","0","24","0","4","15","0","0","0","0","0",NA
"25","1400000US12001001520","Census Tract 15.20, Alachua County, Florida","451","273","0","0","0","29","58","0","82","47","11","0","11","11","24","0","0","0","0","0","178","0","0","0","0","47","26","85","0","6","0","7","7","0","0","0","0","0","0",NA
"26","1400000US12001001521","Census Tract 15.21, Alachua County, Florida","588","262","0","0","0","15","100","66","18","55","8","0","0","0","0","0","0","0","0","0","326","0","0","0","16","157","47","20","0","39","0","33","0","0","14","0","0","0","0",NA
"27","1400000US12001001603","Census Tract 16.03, Alachua County, Florida","62","39","0","0","0","0","9","0","0","0","0","12","7","0","11","0","0","0","0","0","23","0","0","0","0","0","0","0","4","11","0","8","0","0","0","0","0","0","0",NA
"28","1400000US12001001604","Census Tract 16.04, Alachua County, Florida","961","476","0","0","0","24","276","87","11","19","37","0","0","22","0","0","0","0","0","0","485","0","0","0","42","168","37","57","0","0","0","18","114","0","23","0","12","0","14",NA
"29","1400000US12001001701","Census Tract 17.01, Alachua County, Florida","794","495","0","0","0","10","125","55","0","66","30","79","24","82","13","2","9","0","0","0","299","0","0","0","5","23","0","0","21","18","61","33","37","12","0","72","2","0","15",NA
"30","1400000US12001001702","Census Tract 17.02, Alachua County, Florida","595","257","0","0","0","0","0","0","37","18","30","15","0","41","29","16","12","59","0","0","338","0","10","0","0","53","50","43","0","19","9","38","0","11","20","26","30","0","29",NA
"31","1400000US12001001801","Census Tract 18.01, Alachua County, Florida","245","101","0","0","0","0","4","0","0","0","0","31","0","26","0","29","11","0","0","0","144","0","0","0","0","0","0","13","14","16","23","0","21","10","0","26","21","0","0",NA
"32","1400000US12001001802","Census Tract 18.02, Alachua County, Florida","99","20","0","0","0","1","1","0","0","0","0","0","0","18","0","0","0","0","0","0","79","0","0","0","0","0","0","0","35","0","0","13","16","0","0","0","15","0","0",NA
"33","1400000US12001001803","Census Tract 18.03, Alachua County, Florida","478","224","0","0","0","0","0","21","0","0","9","0","60","87","0","0","22","25","0","0","254","0","0","0","0","20","19","16","10","36","9","77","18","25","0","0","9","15","0",NA
"34","1400000US12001001805","Census Tract 18.05, Alachua County, Florida","106","58","0","0","0","0","0","0","20","0","0","0","0","9","6","7","0","0","7","9","48","0","0","0","0","0","0","0","0","10","0","0","31","7","0","0","0","0","0",NA
"35","1400000US12001001806","Census Tract 18.06, Alachua County, Florida","426","244","0","0","0","0","0","56","7","0","0","37","0","21","25","0","0","15","38","45","182","0","0","0","0","28","0","0","9","11","42","15","14","12","39","0","12","0","0",NA
"36","1400000US12001001811","Census Tract 18.11, Alachua County, Florida","1633","846","16","58","21","53","0","63","24","149","94","65","0","108","19","60","0","26","90","0","787","40","0","80","0","44","5","64","66","172","68","54","68","28","40","21","11","11","15",NA
"37","1400000US12001001813","Census Tract 18.13, Alachua County, Florida","533","200","0","14","0","0","0","13","0","30","16","55","30","30","0","12","0","0","0","0","333","0","0","26","0","0","55","19","51","48","44","21","54","4","0","0","11","0","0",NA
"38","1400000US12001001814","Census Tract 18.14, Alachua County, Florida","480","251","0","0","0","0","0","0","126","0","0","75","11","23","16","0","0","0","0","0","229","0","0","0","0","0","21","0","10","0","55","25","0","94","0","24","0","0","0",NA
"39","1400000US12001001902","Census Tract 19.02, Alachua County, Florida","103","83","0","8","14","0","11","0","9","0","21","0","0","12","0","8","0","0","0","0","20","0","0","0","0","0","0","0","20","0","0","0","0","0","0","0","0","0","0",NA
"40","1400000US12001001907","Census Tract 19.07, Alachua County, Florida","68","11","0","0","0","0","0","4","0","0","0","4","3","0","0","0","0","0","0","0","57","0","0","0","0","0","0","12","7","0","0","0","10","0","20","8","0","0","0",NA
"41","1400000US12001001908","Census Tract 19.08, Alachua County, Florida","184","85","0","0","18","18","2","21","0","6","0","2","0","0","0","0","18","0","0","0","99","0","0","18","23","0","0","0","0","27","2","0","20","0","0","0","0","0","9",NA
