"","Geography","Geographic_Area_Name","Estimate_Total","Estimate_Total_Native","Estimate_Total_Foreign-Born","NA","Year","Estimate_Total:","Estimate_Total:_Native","Estimate_Total:_Foreign-Born","Estimate_Total:_Foreign-born"
"1","1400000US12001000200","Census Tract 2, Alachua County, Florida","7545","6923","622",NA,"2014",NA,NA,NA,NA
"2","1400000US12001000301","Census Tract 3.01, Alachua County, Florida","3401","3366","35",NA,"2014",NA,NA,NA,NA
"3","1400000US12001000302","Census Tract 3.02, Alachua County, Florida","2475","2298","177",NA,"2014",NA,NA,NA,NA
"4","1400000US12001000400","Census Tract 4, Alachua County, Florida","5785","5556","229",NA,"2014",NA,NA,NA,NA
"5","1400000US12001000500","Census Tract 5, Alachua County, Florida","5247","4869","378",NA,"2014",NA,NA,NA,NA
"6","1400000US12001000600","Census Tract 6, Alachua County, Florida","4328","4202","126",NA,"2014",NA,NA,NA,NA
"7","1400000US12001000700","Census Tract 7, Alachua County, Florida","6326","6136","190",NA,"2014",NA,NA,NA,NA
"8","1400000US12001000806","Census Tract 8.06, Alachua County, Florida","2105","1795","310",NA,"2014",NA,NA,NA,NA
"9","1400000US12001000808","Census Tract 8.08, Alachua County, Florida","3514","2603","911",NA,"2014",NA,NA,NA,NA
"10","1400000US12001000809","Census Tract 8.09, Alachua County, Florida","1207","1063","144",NA,"2014",NA,NA,NA,NA
"11","1400000US12001000901","Census Tract 9.01, Alachua County, Florida","4209","3498","711",NA,"2014",NA,NA,NA,NA
"12","1400000US12001000902","Census Tract 9.02, Alachua County, Florida","6861","6330","531",NA,"2014",NA,NA,NA,NA
"13","1400000US12001001000","Census Tract 10, Alachua County, Florida","6471","5877","594",NA,"2014",NA,NA,NA,NA
"14","1400000US12001001100","Census Tract 11, Alachua County, Florida","6237","5587","650",NA,"2014",NA,NA,NA,NA
"15","1400000US12001001201","Census Tract 12.01, Alachua County, Florida","2804","2290","514",NA,"2014",NA,NA,NA,NA
"16","1400000US12001001202","Census Tract 12.02, Alachua County, Florida","7018","6159","859",NA,"2014",NA,NA,NA,NA
"17","1400000US12001001203","Census Tract 12.03, Alachua County, Florida","3713","3260","453",NA,"2014",NA,NA,NA,NA
"18","1400000US12001001400","Census Tract 14, Alachua County, Florida","4100","4017","83",NA,"2014",NA,NA,NA,NA
"19","1400000US12001001514","Census Tract 15.14, Alachua County, Florida","1087","805","282",NA,"2014",NA,NA,NA,NA
"20","1400000US12001001515","Census Tract 15.15, Alachua County, Florida","5064","4089","975",NA,"2014",NA,NA,NA,NA
"21","1400000US12001001516","Census Tract 15.16, Alachua County, Florida","1774","1386","388",NA,"2014",NA,NA,NA,NA
"22","1400000US12001001517","Census Tract 15.17, Alachua County, Florida","5160","4276","884",NA,"2014",NA,NA,NA,NA
