"","Geography","Geographic_Area_Name","Estimate_Total","Estimate_Total_Male","Estimate_Total_Male_Under_5_years","Estimate_Total_Male_5_to_9_years","Estimate_Total_Male_10_to_14_years","Estimate_Total_Male_15_to_19_years","Estimate_Total_Male_20_to_24_years","Estimate_Total_Male_25_to_29_years","Estimate_Total_Male_30_to_34_years","Estimate_Total_Male_35_to_39_years","Estimate_Total_Male_40_to_44_years","Estimate_Total_Male_45_to_49_years","Estimate_Total_Male_50_to_54_years","Estimate_Total_Male_55_to_59_years","Estimate_Total_Male_60_to_64_years","Estimate_Total_Male_65_to_69_years","Estimate_Total_Male_70_to_74_years","Estimate_Total_Male_75_to_79_years","Estimate_Total_Male_80_to_84_years","Estimate_Total_Male_85_years_and_over","Estimate_Total_Female","Estimate_Total_Female_Under_5_years","Estimate_Total_Female_5_to_9_years","Estimate_Total_Female_10_to_14_years","Estimate_Total_Female_15_to_19_years","Estimate_Total_Female_20_to_24_years","Estimate_Total_Female_25_to_29_years","Estimate_Total_Female_30_to_34_years","Estimate_Total_Female_35_to_39_years","Estimate_Total_Female_40_to_44_years","Estimate_Total_Female_45_to_49_years","Estimate_Total_Female_50_to_54_years","Estimate_Total_Female_55_to_59_years","Estimate_Total_Female_60_to_64_years","Estimate_Total_Female_65_to_69_years","Estimate_Total_Female_70_to_74_years","Estimate_Total_Female_75_to_79_years","Estimate_Total_Female_80_to_84_years","Estimate_Total_Female_85_years_and_over","NA"
"2","1400000US12001000200","Census Tract 2, Alachua County, Florida","622","484","0","0","0","9","219","256","0","0","0","0","0","0","0","0","0","0","0","0","138","0","0","0","65","73","0","0","0","0","0","0","0","0","0","0","0","0","0",NA
"3","1400000US12001000301","Census Tract 3.01, Alachua County, Florida","313","135","0","0","0","0","28","60","28","14","0","0","0","5","0","0","0","0","0","0","178","0","0","0","0","99","28","40","0","0","0","0","0","0","0","0","11","0","0",NA
"4","1400000US12001000302","Census Tract 3.02, Alachua County, Florida","172","72","0","0","0","0","24","14","21","13","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","10","9","0","9","0","0","0","15","0","57","0","0","0",NA
"5","1400000US12001000400","Census Tract 4, Alachua County, Florida","541","220","0","45","0","0","0","38","35","0","0","0","43","0","47","0","0","12","0","0","321","0","0","0","0","0","76","0","0","54","35","1","84","27","0","0","44","0","0",NA
"6","1400000US12001000500","Census Tract 5, Alachua County, Florida","368","106","0","0","0","0","22","17","14","30","7","0","0","16","0","0","0","0","0","0","262","0","0","0","0","102","42","57","15","0","0","16","0","0","0","30","0","0","0",NA
"7","1400000US12001000600","Census Tract 6, Alachua County, Florida","60","32","0","0","0","0","0","0","0","1","0","0","0","31","0","0","0","0","0","0","28","0","0","0","0","0","28","0","0","0","0","0","0","0","0","0","0","0","0",NA
"8","1400000US12001000700","Census Tract 7, Alachua County, Florida","488","253","0","0","0","0","0","89","0","51","0","0","43","70","0","0","0","0","0","0","235","0","0","0","57","0","109","0","24","0","0","0","45","0","0","0","0","0","0",NA
"9","1400000US12001000806","Census Tract 8.06, Alachua County, Florida","781","500","25","0","13","0","174","97","108","11","23","33","0","0","0","13","0","0","3","0","281","0","14","0","0","7","65","37","67","29","38","0","0","0","16","0","4","0","4",NA
"10","1400000US12001000808","Census Tract 8.08, Alachua County, Florida","555","321","0","13","0","69","80","44","18","21","9","48","0","7","12","0","0","0","0","0","234","0","0","14","23","43","60","0","26","17","36","0","0","7","8","0","0","0","0",NA
"11","1400000US12001000809","Census Tract 8.09, Alachua County, Florida","215","102","0","0","0","9","24","11","24","0","0","13","7","0","6","0","3","0","5","0","113","0","8","0","7","3","20","17","12","14","8","8","6","4","6","0","0","0","0",NA
"12","1400000US12001000901","Census Tract 9.01, Alachua County, Florida","730","386","0","0","16","98","43","86","71","52","5","13","0","2","0","0","0","0","0","0","344","7","25","0","89","42","109","47","5","18","2","0","0","0","0","0","0","0","0",NA
"13","1400000US12001000902","Census Tract 9.02, Alachua County, Florida","541","217","0","0","0","162","34","12","9","0","0","0","0","0","0","0","0","0","0","0","324","0","0","0","250","63","11","0","0","0","0","0","0","0","0","0","0","0","0",NA
"14","1400000US12001001000","Census Tract 10, Alachua County, Florida","190","75","0","0","0","16","48","0","11","0","0","0","0","0","0","0","0","0","0","0","115","0","0","0","33","0","11","0","13","0","20","0","0","3","0","0","35","0","0",NA
"15","1400000US12001001100","Census Tract 11, Alachua County, Florida","723","388","0","30","0","0","0","0","0","109","106","21","0","0","62","10","0","0","33","17","335","0","0","0","0","18","0","126","0","12","20","0","16","16","72","28","0","27","0",NA
"16","1400000US12001001201","Census Tract 12.01, Alachua County, Florida","217","124","0","0","0","16","0","0","10","71","0","11","10","0","0","6","0","0","0","0","93","0","0","9","0","0","0","9","9","12","0","9","17","8","0","0","0","0","20",NA
"17","1400000US12001001202","Census Tract 12.02, Alachua County, Florida","481","283","0","0","0","0","0","26","0","102","59","0","44","0","14","2","5","0","31","0","198","0","0","0","0","0","0","23","17","0","36","13","35","34","17","23","0","0","0",NA
"18","1400000US12001001203","Census Tract 12.03, Alachua County, Florida","315","121","0","0","0","0","0","7","0","39","17","0","12","18","12","16","0","0","0","0","194","0","0","0","0","0","36","23","0","9","23","46","21","23","0","0","13","0","0",NA
"19","1400000US12001001400","Census Tract 14, Alachua County, Florida","95","68","0","0","0","0","0","7","8","11","9","0","0","21","12","0","0","0","0","0","27","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","6","12","0",NA
"20","1400000US12001001514","Census Tract 15.14, Alachua County, Florida","307","130","0","0","0","0","74","5","8","5","8","6","0","11","13","0","0","0","0","0","177","0","0","0","0","30","58","60","3","0","5","0","21","0","0","0","0","0","0",NA
"21","1400000US12001001515","Census Tract 15.15, Alachua County, Florida","721","267","0","0","18","22","53","5","78","0","0","0","19","45","27","0","0","0","0","0","454","0","0","0","65","80","59","41","13","0","37","136","0","23","0","0","0","0","0",NA
"22","1400000US12001001516","Census Tract 15.16, Alachua County, Florida","332","88","0","0","0","0","14","21","14","0","9","9","0","21","0","0","0","0","0","0","244","0","0","0","0","106","47","91","0","0","0","0","0","0","0","0","0","0","0",NA
"23","1400000US12001001517","Census Tract 15.17, Alachua County, Florida","982","721","0","0","0","0","401","196","43","33","14","0","0","0","0","0","0","27","7","0","261","0","0","0","29","154","24","28","0","0","0","8","16","0","0","0","0","0","2",NA
"24","1400000US12001001519","Census Tract 15.19, Alachua County, Florida","914","651","0","0","0","0","193","352","51","22","33","0","0","0","0","0","0","0","0","0","263","7","0","0","34","105","79","18","17","3","0","0","0","0","0","0","0","0","0",NA
"25","1400000US12001001520","Census Tract 15.20, Alachua County, Florida","592","286","0","0","0","8","147","50","14","39","0","0","25","0","0","3","0","0","0","0","306","0","0","0","28","192","46","0","0","24","0","0","0","16","0","0","0","0","0",NA
"26","1400000US12001001521","Census Tract 15.21, Alachua County, Florida","716","354","0","22","0","0","0","75","0","76","18","64","50","0","18","0","31","0","0","0","362","16","0","0","47","97","54","34","18","16","0","19","0","61","0","0","0","0","0",NA
"27","1400000US12001001603","Census Tract 16.03, Alachua County, Florida","262","133","0","0","0","8","0","36","27","0","0","0","7","8","4","0","8","35","0","0","129","0","0","0","0","0","33","24","8","0","15","0","10","35","0","4","0","0","0",NA
"28","1400000US12001001604","Census Tract 16.04, Alachua County, Florida","1277","617","0","19","24","46","248","165","56","3","21","17","0","0","18","0","0","0","0","0","660","0","0","0","89","280","91","64","16","18","0","69","0","17","0","0","16","0","0",NA
"29","1400000US12001001701","Census Tract 17.01, Alachua County, Florida","595","262","0","0","24","18","90","0","0","0","9","15","23","0","20","16","0","0","13","34","333","0","0","0","5","46","0","145","0","6","11","20","54","0","32","0","14","0","0",NA
"30","1400000US12001001702","Census Tract 17.02, Alachua County, Florida","369","158","0","0","0","0","0","0","0","0","72","0","0","44","0","5","6","0","15","16","211","0","0","0","0","0","21","9","42","64","6","0","5","0","32","0","12","20","0",NA
"31","1400000US12001001801","Census Tract 18.01, Alachua County, Florida","451","197","0","18","0","0","0","38","0","0","57","0","17","13","0","0","24","0","0","30","254","0","0","0","18","0","0","33","24","24","16","4","58","3","0","0","44","0","30",NA
"32","1400000US12001001802","Census Tract 18.02, Alachua County, Florida","206","43","0","7","0","2","0","1","2","6","0","22","0","0","3","0","0","0","0","0","163","0","0","0","0","0","0","66","6","20","12","30","0","0","0","29","0","0","0",NA
"33","1400000US12001001803","Census Tract 18.03, Alachua County, Florida","848","289","0","0","0","0","26","19","0","0","51","14","0","76","0","0","88","15","0","0","559","0","22","0","27","0","12","73","19","42","16","15","143","22","29","10","66","26","37",NA
"34","1400000US12001001805","Census Tract 18.05, Alachua County, Florida","96","36","0","0","0","7","0","5","0","0","0","0","0","0","20","0","4","0","0","0","60","0","6","5","6","0","0","0","0","5","0","35","0","3","0","0","0","0","0",NA
"35","1400000US12001001806","Census Tract 18.06, Alachua County, Florida","610","385","0","0","0","13","69","37","0","46","0","38","36","0","84","0","44","0","0","18","225","0","0","0","18","0","0","0","54","0","0","0","0","14","54","58","0","27","0",NA
"36","1400000US12001001811","Census Tract 18.11, Alachua County, Florida","1044","530","0","22","28","0","93","0","0","0","72","66","48","0","25","97","22","37","0","20","514","0","53","0","58","51","12","0","49","42","56","38","46","48","15","14","32","0","0",NA
"37","1400000US12001001813","Census Tract 18.13, Alachua County, Florida","510","219","0","0","0","0","14","13","43","36","10","26","21","5","19","0","32","0","0","0","291","0","9","11","0","13","0","47","36","13","39","23","22","6","41","12","0","0","19",NA
"38","1400000US12001001814","Census Tract 18.14, Alachua County, Florida","264","137","0","0","0","0","0","0","79","17","0","0","41","0","0","0","0","0","0","0","127","0","0","0","0","0","30","21","0","64","0","12","0","0","0","0","0","0","0",NA
"39","1400000US12001001902","Census Tract 19.02, Alachua County, Florida","166","63","0","0","0","10","0","10","0","31","0","0","0","0","0","12","0","0","0","0","103","0","0","0","2","0","0","0","19","0","0","10","0","45","0","0","27","0","0",NA
"40","1400000US12001001907","Census Tract 19.07, Alachua County, Florida","195","101","0","0","4","11","22","0","8","0","0","12","0","4","9","16","15","0","0","0","94","0","0","0","0","0","0","5","0","0","33","0","40","16","0","0","0","0","0",NA
"41","1400000US12001001908","Census Tract 19.08, Alachua County, Florida","190","82","0","0","0","0","0","0","0","0","55","0","0","13","0","6","8","0","0","0","108","0","0","0","0","0","0","22","0","0","10","0","47","16","0","0","13","0","0",NA
"42","1400000US12001002000","Census Tract 20, Alachua County, Florida","85","38","0","0","0","0","0","0","0","0","5","14","0","0","0","19","0","0","0","0","47","0","0","0","0","0","0","11","3","0","0","20","0","0","3","10","0","0","0",NA
"43","1400000US12001002101","Census Tract 21.01, Alachua County, Florida","119","65","0","0","0","0","0","14","5","9","0","12","8","0","0","11","0","6","0","0","54","0","0","0","0","0","0","5","0","5","0","29","0","6","3","6","0","0","0",NA
"44","1400000US12001002102","Census Tract 21.02, Alachua County, Florida","23","5","0","0","0","3","0","0","0","0","0","0","0","0","2","0","0","0","0","0","18","0","0","0","6","0","0","0","5","0","5","0","0","2","0","0","0","0","0",NA
"45","1400000US12001002201","Census Tract 22.01, Alachua County, Florida","200","113","0","0","15","0","13","20","0","26","0","0","11","9","0","0","5","14","0","0","87","0","0","0","0","0","0","23","21","0","0","13","0","14","0","0","5","0","11",NA
"46","1400000US12001002202","Census Tract 22.02, Alachua County, Florida","201","85","0","0","0","0","0","0","0","0","0","13","48","0","24","0","0","0","0","0","116","0","0","0","0","0","0","0","0","49","0","0","14","0","32","0","21","0","0",NA
"47","1400000US12001002204","Census Tract 22.04, Alachua County, Florida","2153","961","0","32","174","0","0","0","31","71","127","219","73","77","78","0","48","31","0","0","1192","0","117","0","61","0","0","109","225","282","0","85","144","33","60","0","55","21","0",NA
"48","1400000US12001002205","Census Tract 22.05, Alachua County, Florida","1950","822","0","0","28","81","0","33","30","94","130","106","70","44","31","26","55","33","23","38","1128","0","0","0","35","112","54","36","137","122","222","54","47","60","93","98","0","58","0",NA
"49","1400000US12001002207","Census Tract 22.07, Alachua County, Florida","673","305","0","0","29","26","0","0","0","13","39","20","47","37","28","18","14","34","0","0","368","0","27","12","11","0","9","0","43","32","25","32","19","65","15","56","22","0","0",NA
"50","1400000US12001002208","Census Tract 22.08, Alachua County, Florida","412","165","0","0","0","0","0","0","0","0","30","38","38","0","6","19","0","10","24","0","247","0","3","0","3","0","0","0","4","47","8","41","11","35","43","0","24","28","0",NA
"51","1400000US12001002209","Census Tract 22.09, Alachua County, Florida","1257","584","0","27","0","52","46","0","76","100","107","32","68","9","16","21","0","30","0","0","673","18","0","0","27","20","68","36","113","130","58","27","0","79","0","53","44","0","0",NA
"52","1400000US12001002210","Census Tract 22.10, Alachua County, Florida","276","104","0","0","0","0","0","0","4","0","30","4","0","12","33","11","0","10","0","0","172","0","0","0","28","0","0","11","0","0","15","23","9","10","29","0","0","20","27",NA
"53","1400000US12001002217","Census Tract 22.17, Alachua County, Florida","292","125","0","0","0","0","0","0","0","0","0","9","0","75","0","19","22","0","0","0","167","0","0","0","0","9","0","0","0","15","0","40","76","0","27","0","0","0","0",NA
"54","1400000US12001002218","Census Tract 22.18, Alachua County, Florida","123","74","0","0","0","18","0","8","0","5","7","4","0","0","0","32","0","0","0","0","49","0","0","0","0","0","0","14","17","0","5","0","4","0","0","0","0","9","0",NA
"55","1400000US12001002219","Census Tract 22.19, Alachua County, Florida","764","308","0","12","11","31","0","12","78","41","34","28","15","28","0","13","0","3","2","0","456","0","14","0","0","26","0","45","80","47","79","41","35","61","13","0","0","13","2",NA
"56","1400000US12001002220","Census Tract 22.20, Alachua County, Florida","205","78","0","0","0","0","0","0","17","0","14","26","21","0","0","0","0","0","0","0","127","0","0","8","0","0","0","14","26","0","15","37","0","12","0","0","0","0","15",NA
"57","1400000US12001110800","Census Tract 1108, Alachua County, Florida","179","90","0","0","0","2","0","14","34","0","0","0","13","13","4","4","0","0","0","6","89","0","0","0","0","0","4","0","0","8","8","10","6","5","8","5","5","20","10",NA
