"","Geography","Geographic_Area_Name","Estimate_Total","Estimate_Total_Native_population","Estimate_Total_Native_population_5_to_17_years","Estimate_Total_Native_population_5_to_17_years_Speak_only_English","Estimate_Total_Native_population_5_to_17_years_Speak_Spanish","Estimate_Total_Native_population_5_to_17_years_Speak_Spanish_Speak_English_very_well","Estimate_Total_Native_population_5_to_17_years_Speak_Spanish_Speak_English_less_than_very_well","Estimate_Total_Native_population_5_to_17_years_Speak_other_languages","Estimate_Total_Native_population_5_to_17_years_Speak_other_languages_Speak_English_very_well","Estimate_Total_Native_population_5_to_17_years_Speak_other_languages_Speak_English_less_than_very_well","Estimate_Total_Native_population_18_years_and_over","Estimate_Total_Native_population_18_years_and_over_Speak_only_English","Estimate_Total_Native_population_18_years_and_over_Speak_Spanish","Estimate_Total_Native_population_18_years_and_over_Speak_Spanish_Speak_English_very_well","Estimate_Total_Native_population_18_years_and_over_Speak_Spanish_Speak_English_less_than_very_well","Estimate_Total_Native_population_18_years_and_over_Speak_other_languages","Estimate_Total_Native_population_18_years_and_over_Speak_other_languages_Speak_English_very_well","Estimate_Total_Native_population_18_years_and_over_Speak_other_languages_Speak_English_less_than_very_well","Estimate_Total_Foreign-born_population","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_5_to_17_years","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_5_to_17_years_Speak_only_English","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_5_to_17_years_Speak_Spanish","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_5_to_17_years_Speak_Spanish_Speak_English_very_well","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_5_to_17_years_Speak_Spanish_Speak_English_less_than_very_well","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_5_to_17_years_Speak_other_languages","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_5_to_17_years_Speak_other_languages_Speak_English_very_well","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_5_to_17_years_Speak_other_languages_Speak_English_less_than_very_well","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_18_years_and_over","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_18_years_and_over_Speak_only_English","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_18_years_and_over_Speak_Spanish","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_18_years_and_over_Speak_Spanish_Speak_English_very_well","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_18_years_and_over_Speak_Spanish_Speak_English_less_than_very_well","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_18_years_and_over_Speak_other_languages","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_18_years_and_over_Speak_other_languages_Speak_English_very_well","Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_18_years_and_over_Speak_other_languages_Speak_English_less_than_very_well","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_5_to_17_years","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_5_to_17_years_Speak_only_English","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_5_to_17_years_Speak_Spanish","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_5_to_17_years_Speak_Spanish_Speak_English_very_well","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_5_to_17_years_Speak_Spanish_Speak_English_less_than_very_well","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_5_to_17_years_Speak_other_languages","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_5_to_17_years_Speak_other_languages_Speak_English_very_well","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_5_to_17_years_Speak_other_languages_Speak_English_less_than_very_well","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_18_years_and_over","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_18_years_and_over_Speak_only_English","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_18_years_and_over_Speak_Spanish","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_18_years_and_over_Speak_Spanish_Speak_English_very_well","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_18_years_and_over_Speak_Spanish_Speak_English_less_than_very_well","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_18_years_and_over_Speak_other_languages","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_18_years_and_over_Speak_other_languages_Speak_English_very_well","Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_18_years_and_over_Speak_other_languages_Speak_English_less_than_very_well","NA"
"18","1400000US12001001203","Census Tract 12.03, Alachua County, Florida","3451","3011","338","288","35","35","0","15","9","6","2673","2550","84","81","3","39","39","0","440","205","0","0","0","0","0","0","0","0","205","92","35","35","0","78","78","0","235","33","0","24","0","24","9","9","0","202","50","94","37","57","58","49","9",NA
"19","1400000US12001001400","Census Tract 14, Alachua County, Florida","3941","3858","442","437","0","0","0","5","5","0","3416","3241","159","101","58","16","16","0","83","48","0","0","0","0","0","0","0","0","48","23","8","0","8","17","17","0","35","0","0","0","0","0","0","0","0","35","13","17","10","7","5","0","5",NA
"20","1400000US12001001514","Census Tract 15.14, Alachua County, Florida","1076","794","61","61","0","0","0","0","0","0","733","702","31","31","0","0","0","0","282","160","0","0","0","0","0","0","0","0","160","55","70","70","0","35","28","7","122","0","0","0","0","0","0","0","0","122","25","10","10","0","87","62","25",NA
"21","1400000US12001001515","Census Tract 15.15, Alachua County, Florida","4927","3969","187","157","30","30","0","0","0","0","3782","3280","238","217","21","264","264","0","958","210","0","0","0","0","0","0","0","0","210","55","63","63","0","92","92","0","748","11","11","0","0","0","0","0","0","737","95","216","184","32","426","224","202",NA
"22","1400000US12001001516","Census Tract 15.16, Alachua County, Florida","1746","1358","83","83","0","0","0","0","0","0","1275","1154","87","87","0","34","21","13","388","139","0","0","0","0","0","0","0","0","139","66","38","38","0","35","35","0","249","0","0","0","0","0","0","0","0","249","93","35","10","25","121","80","41",NA
"23","1400000US12001001517","Census Tract 15.17, Alachua County, Florida","5068","4184","79","67","12","0","12","0","0","0","4105","3676","132","101","31","297","277","20","884","497","7","7","0","0","0","0","0","0","490","317","48","17","31","125","125","0","387","0","0","0","0","0","0","0","0","387","15","109","81","28","263","109","154",NA
"24","1400000US12001001519","Census Tract 15.19, Alachua County, Florida","2493","1644","56","17","6","6","0","33","19","14","1588","1477","90","82","8","21","21","0","849","127","0","0","0","0","0","0","0","0","127","10","70","65","5","47","13","34","722","4","0","0","0","0","4","0","4","718","140","53","47","6","525","405","120",NA
"25","1400000US12001001520","Census Tract 15.20, Alachua County, Florida","2171","1720","47","47","0","0","0","0","0","0","1673","1567","83","51","32","23","18","5","451","119","0","0","0","0","0","0","0","0","119","24","75","7","68","20","9","11","332","14","0","14","0","14","0","0","0","318","0","263","149","114","55","18","37",NA
"26","1400000US12001001521","Census Tract 15.21, Alachua County, Florida","3464","2876","54","41","13","13","0","0","0","0","2822","2591","155","148","7","76","76","0","588","247","0","0","0","0","0","0","0","0","247","56","124","93","31","67","53","14","341","0","0","0","0","0","0","0","0","341","25","70","51","19","246","93","153",NA
"27","1400000US12001001603","Census Tract 16.03, Alachua County, Florida","1568","1506","126","126","0","0","0","0","0","0","1380","1324","25","25","0","31","31","0","62","54","0","0","0","0","0","0","0","0","54","13","18","18","0","23","0","23","8","0","0","0","0","0","0","0","0","8","0","8","0","8","0","0","0",NA
"28","1400000US12001001604","Census Tract 16.04, Alachua County, Florida","7563","6602","71","71","0","0","0","0","0","0","6531","5998","463","373","90","70","70","0","961","316","16","16","0","0","0","0","0","0","300","114","54","54","0","132","59","73","645","0","0","0","0","0","0","0","0","645","222","55","43","12","368","264","104",NA
"29","1400000US12001001701","Census Tract 17.01, Alachua County, Florida","6132","5338","734","707","0","0","0","27","0","27","4604","4414","156","156","0","34","34","0","794","326","5","5","0","0","0","0","0","0","321","99","134","105","29","88","63","25","468","0","0","0","0","0","0","0","0","468","218","210","208","2","40","30","10",NA
"30","1400000US12001001702","Census Tract 17.02, Alachua County, Florida","5019","4424","742","727","15","15","0","0","0","0","3682","3460","192","180","12","30","17","13","595","356","10","10","0","0","0","0","0","0","346","29","75","46","29","242","119","123","239","0","0","0","0","0","0","0","0","239","113","18","0","18","108","45","63",NA
"31","1400000US12001001801","Census Tract 18.01, Alachua County, Florida","6376","6131","1127","1105","17","17","0","5","5","0","5004","4862","32","32","0","110","110","0","245","215","0","0","0","0","0","0","0","0","215","57","74","61","13","84","27","57","30","0","0","0","0","0","0","0","0","30","0","6","4","2","24","24","0",NA
"32","1400000US12001001802","Census Tract 18.02, Alachua County, Florida","2566","2467","471","433","38","38","0","0","0","0","1996","1933","37","22","15","26","26","0","99","62","0","0","0","0","0","0","0","0","62","31","0","0","0","31","0","31","37","0","0","0","0","0","0","0","0","37","1","36","35","1","0","0","0",NA
"33","1400000US12001001803","Census Tract 18.03, Alachua County, Florida","5940","5462","962","909","20","20","0","33","9","24","4500","4312","163","147","16","25","25","0","478","331","0","0","0","0","0","0","0","0","331","123","32","18","14","176","75","101","147","0","0","0","0","0","0","0","0","147","10","0","0","0","137","60","77",NA
"34","1400000US12001001805","Census Tract 18.05, Alachua County, Florida","1615","1509","282","265","17","17","0","0","0","0","1227","1140","68","58","10","19","19","0","106","86","0","0","0","0","0","0","0","0","86","44","8","8","0","34","34","0","20","0","0","0","0","0","0","0","0","20","3","0","0","0","17","17","0",NA
"35","1400000US12001001806","Census Tract 18.06, Alachua County, Florida","8338","7912","1478","1371","93","80","13","14","14","0","6434","6066","224","217","7","144","121","23","426","205","0","0","0","0","0","0","0","0","205","51","105","75","30","49","22","27","221","0","0","0","0","0","0","0","0","221","44","144","56","88","33","33","0",NA
"36","1400000US12001001811","Census Tract 18.11, Alachua County, Florida","6706","5129","871","765","93","82","11","13","13","0","4258","3798","214","186","28","246","228","18","1577","826","33","0","0","0","0","33","33","0","793","118","152","139","13","523","388","135","751","159","0","0","0","0","159","0","159","592","95","15","0","15","482","115","367",NA
"37","1400000US12001001813","Census Tract 18.13, Alachua County, Florida","2841","2308","523","432","23","23","0","68","68","0","1785","1682","29","29","0","74","74","0","533","239","0","0","0","0","0","0","0","0","239","49","52","52","0","138","113","25","294","40","26","0","0","0","14","14","0","254","102","0","0","0","152","121","31",NA
"38","1400000US12001001814","Census Tract 18.14, Alachua County, Florida","2853","2373","436","351","85","85","0","0","0","0","1937","1814","123","84","39","0","0","0","480","399","0","0","0","0","0","0","0","0","399","76","121","121","0","202","170","32","81","0","0","0","0","0","0","0","0","81","0","62","62","0","19","0","19",NA
"39","1400000US12001001902","Census Tract 19.02, Alachua County, Florida","2918","2815","454","416","38","38","0","0","0","0","2361","2343","11","11","0","7","7","0","103","13","0","0","0","0","0","0","0","0","13","13","0","0","0","0","0","0","90","22","16","0","0","0","6","6","0","68","18","9","0","9","41","32","9",NA
"40","1400000US12001001907","Census Tract 19.07, Alachua County, Florida","2711","2643","289","289","0","0","0","0","0","0","2354","2260","94","94","0","0","0","0","68","57","0","0","0","0","0","0","0","0","57","4","30","22","8","23","23","0","11","0","0","0","0","0","0","0","0","11","11","0","0","0","0","0","0",NA
"41","1400000US12001001908","Census Tract 19.08, Alachua County, Florida","3894","3710","663","606","41","41","0","16","16","0","3047","2929","60","30","30","58","27","31","184","143","59","59","0","0","0","0","0","0","84","82","2","0","2","0","0","0","41","0","0","0","0","0","0","0","0","41","0","4","0","4","37","37","0",NA
"42","1400000US12001002000","Census Tract 20, Alachua County, Florida","5128","5049","872","850","17","17","0","5","5","0","4177","4148","29","18","11","0","0","0","79","67","0","0","0","0","0","0","0","0","67","43","24","24","0","0","0","0","12","0","0","0","0","0","0","0","0","12","6","6","0","6","0","0","0",NA
"43","1400000US12001002101","Census Tract 21.01, Alachua County, Florida","1802","1676","274","264","3","3","0","7","7","0","1402","1402","0","0","0","0","0","0","126","76","0","0","0","0","0","0","0","0","76","19","0","0","0","57","12","45","50","0","0","0","0","0","0","0","0","50","14","0","0","0","36","0","36",NA
"44","1400000US12001002102","Census Tract 21.02, Alachua County, Florida","795","766","115","115","0","0","0","0","0","0","651","634","17","17","0","0","0","0","29","28","0","0","0","0","0","0","0","0","28","18","6","6","0","4","4","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1",NA
"45","1400000US12001002201","Census Tract 22.01, Alachua County, Florida","4368","4120","669","655","14","7","7","0","0","0","3451","3340","76","53","23","35","29","6","248","193","24","24","0","0","0","0","0","0","169","75","18","18","0","76","56","20","55","0","0","0","0","0","0","0","0","55","27","0","0","0","28","28","0",NA
"46","1400000US12001002202","Census Tract 22.02, Alachua County, Florida","5648","5427","907","818","14","0","14","75","75","0","4520","4355","97","35","62","68","68","0","221","103","0","0","0","0","0","0","0","0","103","36","0","0","0","67","48","19","118","0","0","0","0","0","0","0","0","118","58","9","0","9","51","38","13",NA
"47","1400000US12001002204","Census Tract 22.04, Alachua County, Florida","10284","8619","2020","1804","80","80","0","136","105","31","6599","5927","407","381","26","265","171","94","1665","1018","110","110","0","0","0","0","0","0","908","256","227","159","68","425","324","101","647","48","0","0","0","0","48","24","24","599","215","85","71","14","299","120","179",NA
"48","1400000US12001002205","Census Tract 22.05, Alachua County, Florida","9265","8128","1561","1355","13","13","0","193","193","0","6567","6209","231","208","23","127","76","51","1137","725","41","19","0","0","0","22","10","12","684","222","100","99","1","362","288","74","412","42","0","0","0","0","42","42","0","370","118","83","83","0","169","135","34",NA
"49","1400000US12001002207","Census Tract 22.07, Alachua County, Florida","3458","2750","592","469","49","49","0","74","74","0","2158","1961","105","81","24","92","49","43","708","514","60","33","0","0","0","27","27","0","454","132","88","59","29","234","197","37","194","23","15","0","0","0","8","8","0","171","78","59","46","13","34","17","17",NA
"50","1400000US12001002208","Census Tract 22.08, Alachua County, Florida","2388","2188","437","413","9","0","9","15","15","0","1751","1665","63","29","34","23","23","0","200","131","0","0","0","0","0","0","0","0","131","12","16","16","0","103","103","0","69","8","8","0","0","0","0","0","0","61","47","0","0","0","14","14","0",NA
"51","1400000US12001002209","Census Tract 22.09, Alachua County, Florida","7135","6384","1187","1089","79","63","16","19","19","0","5197","5036","143","101","42","18","18","0","751","358","0","0","0","0","0","0","0","0","358","100","37","24","13","221","193","28","393","45","0","31","0","31","14","14","0","348","122","50","0","50","176","143","33",NA
"52","1400000US12001002210","Census Tract 22.10, Alachua County, Florida","3959","3780","862","831","23","23","0","8","8","0","2918","2753","91","91","0","74","74","0","179","144","0","0","0","0","0","0","0","0","144","43","43","30","13","58","51","7","35","0","0","0","0","0","0","0","0","35","18","0","0","0","17","10","7",NA
"53","1400000US12001002217","Census Tract 22.17, Alachua County, Florida","5123","4506","1113","1081","17","17","0","15","15","0","3393","3261","69","53","16","63","43","20","617","146","0","0","0","0","0","0","0","0","146","70","46","33","13","30","0","30","471","26","0","0","0","0","26","14","12","445","62","185","185","0","198","93","105",NA
"54","1400000US12001002218","Census Tract 22.18, Alachua County, Florida","2100","2024","632","608","24","24","0","0","0","0","1392","1300","72","51","21","20","0","20","76","9","0","0","0","0","0","0","0","0","9","0","6","0","6","3","0","3","67","0","0","0","0","0","0","0","0","67","38","13","5","8","16","9","7",NA
"55","1400000US12001002219","Census Tract 22.19, Alachua County, Florida","4905","4092","778","659","95","95","0","24","24","0","3314","3120","178","131","47","16","16","0","813","227","0","0","0","0","0","0","0","0","227","97","50","50","0","80","73","7","586","58","16","0","0","0","42","14","28","528","54","138","31","107","336","197","139",NA
"56","1400000US12001002220","Census Tract 22.20, Alachua County, Florida","1641","1510","188","178","10","10","0","0","0","0","1322","1256","66","51","15","0","0","0","131","93","0","0","0","0","0","0","0","0","93","54","9","9","0","30","0","30","38","0","0","0","0","0","0","0","0","38","13","19","7","12","6","6","0",NA
"57","1400000US12001110800","Census Tract 1108, Alachua County, Florida","2115","1947","148","147","0","0","0","1","1","0","1799","1685","54","54","0","60","60","0","168","134","19","19","0","0","0","0","0","0","115","66","35","11","24","14","1","13","34","0","0","0","0","0","0","0","0","34","34","0","0","0","0","0","0",NA
