Year,Geography,Geographic_Area_Name,Estimate_Total,Estimate_Total_Male,Estimate_Total_Male_Under_5_years,Estimate_Total_Male_5_to_9_years,Estimate_Total_Male_10_to_14_years,Estimate_Total_Male_15_to_19_years,Estimate_Total_Male_20_to_24_years,Estimate_Total_Male_25_to_29_years,Estimate_Total_Male_30_to_34_years,Estimate_Total_Male_35_to_39_years,Estimate_Total_Male_40_to_44_years,Estimate_Total_Male_45_to_49_years,Estimate_Total_Male_50_to_54_years,Estimate_Total_Male_55_to_59_years,Estimate_Total_Male_60_to_64_years,Estimate_Total_Male_65_to_69_years,Estimate_Total_Male_70_to_74_years,Estimate_Total_Male_75_to_79_years,Estimate_Total_Male_80_to_84_years,Estimate_Total_Male_85_years_and_over,Estimate_Total_Female,Estimate_Total_Female_Under_5_years,Estimate_Total_Female_5_to_9_years,Estimate_Total_Female_10_to_14_years,Estimate_Total_Female_15_to_19_years,Estimate_Total_Female_20_to_24_years,Estimate_Total_Female_25_to_29_years,Estimate_Total_Female_30_to_34_years,Estimate_Total_Female_35_to_39_years,Estimate_Total_Female_40_to_44_years,Estimate_Total_Female_45_to_49_years,Estimate_Total_Female_50_to_54_years,Estimate_Total_Female_55_to_59_years,Estimate_Total_Female_60_to_64_years,Estimate_Total_Female_65_to_69_years,Estimate_Total_Female_70_to_74_years,Estimate_Total_Female_75_to_79_years,Estimate_Total_Female_80_to_84_years,Estimate_Total_Female_85_years_and_over
2019,1400000US12001002220,"Census Tract 22.20, Alachua County, Florida",205,78,0,0,0,0,0,0,17,0,14,26,21,0,0,0,0,0,0,0,127,0,0,8,0,0,0,14,26,0,15,37,0,12,0,0,0,0,15
2019,1400000US12001110800,"Census Tract 1108, Alachua County, Florida",179,90,0,0,0,2,0,14,34,0,0,0,13,13,4,4,0,0,0,6,89,0,0,0,0,0,4,0,0,8,8,10,6,5,8,5,5,20,10
2024,1400000US12001000201,Census Tract 2.01; Alachua County; Florida,646,418,0,0,0,15,265,100,38,0,0,0,0,0,0,0,0,0,0,0,228,0,0,0,6,145,0,27,0,0,27,23,0,0,0,0,0,0,0
2024,1400000US12001000202,Census Tract 2.02; Alachua County; Florida,212,57,0,0,0,0,28,0,29,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,44,40,32,17,0,0,0,11,0,11,0,0,0,0,0
2024,1400000US12001000301,Census Tract 3.01; Alachua County; Florida,231,71,0,0,0,0,0,0,0,19,0,0,0,0,0,0,39,10,0,3,160,0,0,0,0,4,0,13,0,0,7,29,0,10,46,3,48,0,0
2024,1400000US12001000302,Census Tract 3.02; Alachua County; Florida,156,26,0,0,0,0,0,2,0,7,0,0,14,0,0,0,0,0,0,3,130,0,0,0,0,0,5,5,18,21,0,0,0,20,0,0,61,0,0
2024,1400000US12001000400,Census Tract 4; Alachua County; Florida,90,65,0,0,0,0,0,0,0,0,18,0,0,0,0,0,18,29,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,0,0,0
2024,1400000US12001000500,Census Tract 5; Alachua County; Florida,405,147,0,0,0,0,0,0,32,49,0,21,0,0,45,0,0,0,0,0,258,0,0,0,0,0,13,37,117,17,0,0,0,0,21,53,0,0,0
2024,1400000US12001000600,Census Tract 6; Alachua County; Florida,66,19,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,9,47,0,0,0,0,0,3,0,11,0,0,11,0,0,12,0,0,0,10
2024,1400000US12001000700,Census Tract 7; Alachua County; Florida,329,137,0,0,0,0,0,0,26,38,0,24,0,0,0,40,0,0,0,9,192,0,0,0,0,0,0,0,114,43,0,0,0,14,10,0,0,11,0
2024,1400000US12001000806,Census Tract 8.06; Alachua County; Florida,543,300,0,48,8,8,0,72,34,91,10,0,9,0,0,0,20,0,0,0,243,0,0,30,16,53,0,67,52,0,0,6,0,8,0,0,11,0,0
2024,1400000US12001000808,Census Tract 8.08; Alachua County; Florida,425,208,0,0,0,19,69,15,52,23,0,12,0,18,0,0,0,0,0,0,217,0,0,19,0,0,84,10,0,18,13,14,0,50,0,0,9,0,0
2024,1400000US12001000809,Census Tract 8.09; Alachua County; Florida,284,151,11,0,0,0,16,8,46,31,11,0,0,19,0,0,9,0,0,0,133,0,0,0,0,6,76,0,38,0,0,0,0,6,0,0,0,0,7
2024,1400000US12001000901,Census Tract 9.01; Alachua County; Florida,557,198,0,0,0,34,57,21,49,37,0,0,0,0,0,0,0,0,0,0,359,0,25,0,146,31,0,35,90,32,0,0,0,0,0,0,0,0,0
2024,1400000US12001000902,Census Tract 9.02; Alachua County; Florida,1009,373,0,30,0,216,58,10,31,6,22,0,0,0,0,0,0,0,0,0,636,0,5,0,432,119,0,18,24,26,12,0,0,0,0,0,0,0,0
2024,1400000US12001001000,Census Tract 10; Alachua County; Florida,738,390,0,0,0,48,199,0,0,28,0,0,33,39,8,18,17,0,0,0,348,0,0,0,21,37,18,0,34,39,40,31,49,14,0,0,65,0,0
2024,1400000US12001001100,Census Tract 11; Alachua County; Florida,934,468,0,0,0,0,54,0,13,29,57,61,104,5,0,57,0,0,88,0,466,0,0,0,0,0,0,43,8,108,0,97,54,27,45,7,60,0,17
2024,1400000US12001001201,Census Tract 12.01; Alachua County; Florida,208,95,0,0,0,0,0,0,30,11,0,0,46,8,0,0,0,0,0,0,113,0,0,0,0,25,0,10,0,0,37,16,5,0,7,0,0,0,13
2024,1400000US12001001202,Census Tract 12.02; Alachua County; Florida,967,486,0,0,34,22,0,0,0,101,36,129,55,0,52,28,16,13,0,0,481,0,0,0,0,0,0,18,84,51,153,0,21,50,33,0,24,36,11
2024,1400000US12001001203,Census Tract 12.03; Alachua County; Florida,769,429,0,120,120,0,0,67,21,41,19,14,0,5,0,12,10,0,0,0,340,0,0,0,91,0,0,31,0,142,32,0,14,4,26,0,0,0,0
2024,1400000US12001001400,Census Tract 14; Alachua County; Florida,126,93,0,0,0,0,0,0,10,41,8,0,0,0,20,14,0,0,0,0,33,0,0,0,0,17,0,0,0,12,0,0,0,0,4,0,0,0,0
2024,1400000US12001001514,Census Tract 15.14; Alachua County; Florida,359,181,0,0,0,4,0,59,83,0,11,2,22,0,0,0,0,0,0,0,178,14,0,0,0,26,44,33,0,0,45,16,0,0,0,0,0,0,0
2024,1400000US12001001515,Census Tract 15.15; Alachua County; Florida,1244,746,0,0,0,0,300,143,110,43,30,42,0,47,0,0,0,31,0,0,498,0,0,0,42,66,205,29,49,0,0,11,62,0,0,34,0,0,0
2024,1400000US12001001516,Census Tract 15.16; Alachua County; Florida,182,72,0,0,0,0,17,31,9,0,0,0,0,0,15,0,0,0,0,0,110,0,0,0,0,42,0,36,0,0,0,0,32,0,0,0,0,0,0
2024,1400000US12001001517,Census Tract 15.17; Alachua County; Florida,1100,502,0,0,0,5,150,156,103,0,52,36,0,0,0,0,0,0,0,0,598,0,38,0,0,57,51,250,0,122,0,0,34,4,0,0,34,0,8
2024,1400000US12001001519,Census Tract 15.19; Alachua County; Florida,1120,681,0,17,25,0,353,95,37,27,23,91,0,0,0,13,0,0,0,0,439,0,0,0,6,184,131,8,31,0,49,22,0,8,0,0,0,0,0
2024,1400000US12001001522,Census Tract 15.22; Alachua County; Florida,1461,637,104,0,67,34,0,166,12,43,0,87,88,36,0,0,0,0,0,0,824,70,0,67,93,204,147,0,79,81,50,0,0,33,0,0,0,0,0
2024,1400000US12001001605,Census Tract 16.05; Alachua County; Florida,1618,696,0,27,0,0,136,34,0,138,160,0,101,0,0,30,0,70,0,0,922,0,23,0,41,485,0,133,35,0,0,37,0,32,30,29,71,0,6
2024,1400000US12001001701,Census Tract 17.01; Alachua County; Florida,1200,732,0,0,0,0,111,14,58,128,20,78,0,77,61,5,34,21,0,125,468,0,0,0,24,0,19,0,132,20,97,0,32,73,18,0,43,0,10
2024,1400000US12001001702,Census Tract 17.02; Alachua County; Florida,460,239,0,0,0,0,22,16,0,0,100,0,27,35,22,17,0,0,0,0,221,0,0,0,14,0,15,9,21,0,28,14,48,44,13,15,0,0,0
2024,1400000US12001001802,Census Tract 18.02; Alachua County; Florida,77,22,0,0,0,0,0,2,6,3,0,0,0,0,0,0,0,0,11,0,55,0,0,0,0,0,0,12,0,0,15,0,0,14,14,0,0,0,0
2024,1400000US12001001803,Census Tract 18.03; Alachua County; Florida,799,364,0,0,0,0,15,0,0,38,66,113,0,56,0,0,39,37,0,0,435,0,0,22,0,0,30,28,0,27,0,0,102,36,88,44,41,17,0
2024,1400000US12001001811,Census Tract 18.11; Alachua County; Florida,1018,484,0,0,0,5,0,10,0,45,40,0,200,32,19,16,30,0,87,0,534,17,20,14,33,0,0,0,118,36,38,51,31,88,15,38,0,35,0
