Year,Geography,Geographic_Area_Name,Estimate_Total,Estimate_Total_Male,Estimate_Total_Male_Under_5_years,Estimate_Total_Male_5_to_9_years,Estimate_Total_Male_10_to_14_years,Estimate_Total_Male_15_to_19_years,Estimate_Total_Male_20_to_24_years,Estimate_Total_Male_25_to_29_years,Estimate_Total_Male_30_to_34_years,Estimate_Total_Male_35_to_39_years,Estimate_Total_Male_40_to_44_years,Estimate_Total_Male_45_to_49_years,Estimate_Total_Male_50_to_54_years,Estimate_Total_Male_55_to_59_years,Estimate_Total_Male_60_to_64_years,Estimate_Total_Male_65_to_69_years,Estimate_Total_Male_70_to_74_years,Estimate_Total_Male_75_to_79_years,Estimate_Total_Male_80_to_84_years,Estimate_Total_Male_85_years_and_over,Estimate_Total_Female,Estimate_Total_Female_Under_5_years,Estimate_Total_Female_5_to_9_years,Estimate_Total_Female_10_to_14_years,Estimate_Total_Female_15_to_19_years,Estimate_Total_Female_20_to_24_years,Estimate_Total_Female_25_to_29_years,Estimate_Total_Female_30_to_34_years,Estimate_Total_Female_35_to_39_years,Estimate_Total_Female_40_to_44_years,Estimate_Total_Female_45_to_49_years,Estimate_Total_Female_50_to_54_years,Estimate_Total_Female_55_to_59_years,Estimate_Total_Female_60_to_64_years,Estimate_Total_Female_65_to_69_years,Estimate_Total_Female_70_to_74_years,Estimate_Total_Female_75_to_79_years,Estimate_Total_Female_80_to_84_years,Estimate_Total_Female_85_years_and_over
2019,1400000US12001002202,"Census Tract 22.02, Alachua County, Florida",201,85,0,0,0,0,0,0,0,0,0,13,48,0,24,0,0,0,0,0,116,0,0,0,0,0,0,0,0,49,0,0,14,0,32,0,21,0,0
2019,1400000US12001002204,"Census Tract 22.04, Alachua County, Florida",2153,961,0,32,174,0,0,0,31,71,127,219,73,77,78,0,48,31,0,0,1192,0,117,0,61,0,0,109,225,282,0,85,144,33,60,0,55,21,0
2019,1400000US12001002205,"Census Tract 22.05, Alachua County, Florida",1950,822,0,0,28,81,0,33,30,94,130,106,70,44,31,26,55,33,23,38,1128,0,0,0,35,112,54,36,137,122,222,54,47,60,93,98,0,58,0
2019,1400000US12001002207,"Census Tract 22.07, Alachua County, Florida",673,305,0,0,29,26,0,0,0,13,39,20,47,37,28,18,14,34,0,0,368,0,27,12,11,0,9,0,43,32,25,32,19,65,15,56,22,0,0
2019,1400000US12001002208,"Census Tract 22.08, Alachua County, Florida",412,165,0,0,0,0,0,0,0,0,30,38,38,0,6,19,0,10,24,0,247,0,3,0,3,0,0,0,4,47,8,41,11,35,43,0,24,28,0
2019,1400000US12001002209,"Census Tract 22.09, Alachua County, Florida",1257,584,0,27,0,52,46,0,76,100,107,32,68,9,16,21,0,30,0,0,673,18,0,0,27,20,68,36,113,130,58,27,0,79,0,53,44,0,0
2019,1400000US12001002210,"Census Tract 22.10, Alachua County, Florida",276,104,0,0,0,0,0,0,4,0,30,4,0,12,33,11,0,10,0,0,172,0,0,0,28,0,0,11,0,0,15,23,9,10,29,0,0,20,27
2019,1400000US12001002217,"Census Tract 22.17, Alachua County, Florida",292,125,0,0,0,0,0,0,0,0,0,9,0,75,0,19,22,0,0,0,167,0,0,0,0,9,0,0,0,15,0,40,76,0,27,0,0,0,0
2019,1400000US12001002218,"Census Tract 22.18, Alachua County, Florida",123,74,0,0,0,18,0,8,0,5,7,4,0,0,0,32,0,0,0,0,49,0,0,0,0,0,0,14,17,0,5,0,4,0,0,0,0,9,0
2019,1400000US12001002219,"Census Tract 22.19, Alachua County, Florida",764,308,0,12,11,31,0,12,78,41,34,28,15,28,0,13,0,3,2,0,456,0,14,0,0,26,0,45,80,47,79,41,35,61,13,0,0,13,2
