"","Geography","Geographic_Area_Name","Estimate_Total","Estimate_Total_Native","Estimate_Total_Native_Born_in_state_of_residence","Estimate_Total_Native_Born_in_other_state_in_the_United_States","Estimate_Total_Native_Born_in_other_state_in_the_United_States_Northeast","Estimate_Total_Native_Born_in_other_state_in_the_United_States_Midwest","Estimate_Total_Native_Born_in_other_state_in_the_United_States_South","Estimate_Total_Native_Born_in_other_state_in_the_United_States_West","Estimate_Total_Native_Born_outside_the_United_States","Estimate_Total_Native_Born_outside_the_United_States_Puerto_Rico","Estimate_Total_Native_Born_outside_the_United_States_U.S._Island_Areas","Estimate_Total_Native_Born_outside_the_United_States_Born_abroad_of_American_parent(s)","Estimate_Total_Foreign_born","Estimate_Total_Foreign_born_Naturalized_U.S._citizen","Estimate_Total_Foreign_born_Naturalized_U.S._citizen_Europe","Estimate_Total_Foreign_born_Naturalized_U.S._citizen_Asia","Estimate_Total_Foreign_born_Naturalized_U.S._citizen_Africa","Estimate_Total_Foreign_born_Naturalized_U.S._citizen_Oceania","Estimate_Total_Foreign_born_Naturalized_U.S._citizen_Latin_America","Estimate_Total_Foreign_born_Naturalized_U.S._citizen_Northern_America","Estimate_Total_Foreign_born_Not_a_U.S._citizen","Estimate_Total_Foreign_born_Not_a_U.S._citizen_Europe","Estimate_Total_Foreign_born_Not_a_U.S._citizen_Asia","Estimate_Total_Foreign_born_Not_a_U.S._citizen_Africa","Estimate_Total_Foreign_born_Not_a_U.S._citizen_Oceania","Estimate_Total_Foreign_born_Not_a_U.S._citizen_Latin_America","Estimate_Total_Foreign_born_Not_a_U.S._citizen_Northern_America","NA"
"40","1400000US12001001907","Census Tract 19.07, Alachua County, Florida","2779","2584","1522","1019","340","285","370","24","43","0","0","43","195","139","14","40","0","0","85","0","56","16","0","0","0","33","7",NA
"41","1400000US12001001908","Census Tract 19.08, Alachua County, Florida","4922","4732","2825","1782","504","447","670","161","125","0","0","125","190","113","21","55","0","0","21","16","77","0","77","0","0","0","0",NA
"42","1400000US12001002000","Census Tract 20, Alachua County, Florida","6210","6125","4269","1744","481","485","729","49","112","35","0","77","85","25","3","0","0","0","19","3","60","0","34","11","0","10","5",NA
"43","1400000US12001002101","Census Tract 21.01, Alachua County, Florida","2152","2033","1339","673","153","250","236","34","21","0","0","21","119","89","11","0","5","0","58","15","30","0","5","9","0","6","10",NA
"44","1400000US12001002102","Census Tract 21.02, Alachua County, Florida","792","769","427","340","149","73","78","40","2","0","0","2","23","23","0","0","0","0","23","0","0","0","0","0","0","0","0",NA
"45","1400000US12001002201","Census Tract 22.01, Alachua County, Florida","5717","5517","3461","1995","594","799","486","116","61","0","0","61","200","143","48","31","10","0","43","11","57","9","12","0","0","20","16",NA
"46","1400000US12001002202","Census Tract 22.02, Alachua County, Florida","6508","6307","3854","2243","452","597","1048","146","210","53","0","157","201","188","47","23","0","0","32","86","13","13","0","0","0","0","0",NA
"47","1400000US12001002204","Census Tract 22.04, Alachua County, Florida","11379","9226","4468","4705","1626","1192","1640","247","53","53","0","0","2153","1128","158","648","157","5","126","34","1025","0","687","0","0","338","0",NA
"48","1400000US12001002205","Census Tract 22.05, Alachua County, Florida","12036","10086","4538","5217","1185","1765","1762","505","331","126","15","190","1950","825","215","336","43","0","205","26","1125","68","862","1","0","194","0",NA
"49","1400000US12001002207","Census Tract 22.07, Alachua County, Florida","3702","3029","1339","1603","423","491","545","144","87","21","0","66","673","476","77","286","0","9","86","18","197","55","130","0","3","9","0",NA
"50","1400000US12001002208","Census Tract 22.08, Alachua County, Florida","2804","2392","1059","1234","385","378","341","130","99","28","0","71","412","365","74","146","6","4","128","7","47","6","34","0","0","0","7",NA
"51","1400000US12001002209","Census Tract 22.09, Alachua County, Florida","9069","7812","4246","3480","897","808","1451","324","86","0","23","63","1257","665","66","371","0","0","134","94","592","20","473","0","0","52","47",NA
"52","1400000US12001002210","Census Tract 22.10, Alachua County, Florida","4646","4370","2677","1588","497","368","569","154","105","38","0","67","276","180","53","0","0","0","127","0","96","56","0","0","0","40","0",NA
"53","1400000US12001002217","Census Tract 22.17, Alachua County, Florida","5660","5368","3025","2239","556","453","982","248","104","0","0","104","292","268","22","58","0","0","188","0","24","9","15","0","0","0","0",NA
"54","1400000US12001002218","Census Tract 22.18, Alachua County, Florida","1733","1610","1143","424","121","122","158","23","43","36","0","7","123","48","5","9","25","0","9","0","75","0","0","32","0","43","0",NA
"55","1400000US12001002219","Census Tract 22.19, Alachua County, Florida","6438","5674","3542","1868","668","462","493","245","264","192","0","72","764","297","7","110","32","0","148","0","467","63","213","16","13","162","0",NA
"56","1400000US12001002220","Census Tract 22.20, Alachua County, Florida","2292","2087","1223","797","241","190","304","62","67","36","5","26","205","133","37","51","0","0","41","4","72","12","14","0","0","41","5",NA
"57","1400000US12001110800","Census Tract 1108, Alachua County, Florida","1972","1793","672","1060","340","333","299","88","61","22","1","38","179","117","53","37","27","0","0","0","62","0","0","0","7","55","0",NA
