"","Geography","Geographic_Area_Name","Estimate_Total","Estimate_Total_5_to_17_years","Estimate_Total_5_to_17_years_Speak_only_English","Estimate_Total_5_to_17_years_Speak_Spanish","Estimate_Total_5_to_17_years_Speak_Spanish_Speak_English_very_well","Estimate_Total_5_to_17_years_Speak_Spanish_Speak_English_well","Estimate_Total_5_to_17_years_Speak_Spanish_Speak_English_not_well","Estimate_Total_5_to_17_years_Speak_Spanish_Speak_English_not_at_all","Estimate_Total_5_to_17_years_Speak_other_Indo-European_languages","Estimate_Total_5_to_17_years_Speak_other_Indo-European_languages_Speak_English_very_well","Estimate_Total_5_to_17_years_Speak_other_Indo-European_languages_Speak_English_well","Estimate_Total_5_to_17_years_Speak_other_Indo-European_languages_Speak_English_not_well","Estimate_Total_5_to_17_years_Speak_other_Indo-European_languages_Speak_English_not_at_all","Estimate_Total_5_to_17_years_Speak_Asian_and_Pacific_Island_languages","Estimate_Total_5_to_17_years_Speak_Asian_and_Pacific_Island_languages_Speak_English_very_well","Estimate_Total_5_to_17_years_Speak_Asian_and_Pacific_Island_languages_Speak_English_well","Estimate_Total_5_to_17_years_Speak_Asian_and_Pacific_Island_languages_Speak_English_not_well","Estimate_Total_5_to_17_years_Speak_Asian_and_Pacific_Island_languages_Speak_English_not_at_all","Estimate_Total_5_to_17_years_Speak_other_languages","Estimate_Total_5_to_17_years_Speak_other_languages_Speak_English_very_well","Estimate_Total_5_to_17_years_Speak_other_languages_Speak_English_well","Estimate_Total_5_to_17_years_Speak_other_languages_Speak_English_not_well","Estimate_Total_5_to_17_years_Speak_other_languages_Speak_English_not_at_all","Estimate_Total_18_to_64_years","Estimate_Total_18_to_64_years_Speak_only_English","Estimate_Total_18_to_64_years_Speak_Spanish","Estimate_Total_18_to_64_years_Speak_Spanish_Speak_English_very_well","Estimate_Total_18_to_64_years_Speak_Spanish_Speak_English_well","Estimate_Total_18_to_64_years_Speak_Spanish_Speak_English_not_well","Estimate_Total_18_to_64_years_Speak_Spanish_Speak_English_not_at_all","Estimate_Total_18_to_64_years_Speak_other_Indo-European_languages","Estimate_Total_18_to_64_years_Speak_other_Indo-European_languages_Speak_English_very_well","Estimate_Total_18_to_64_years_Speak_other_Indo-European_languages_Speak_English_well","Estimate_Total_18_to_64_years_Speak_other_Indo-European_languages_Speak_English_not_well","Estimate_Total_18_to_64_years_Speak_other_Indo-European_languages_Speak_English_not_at_all","Estimate_Total_18_to_64_years_Speak_Asian_and_Pacific_Island_languages","Estimate_Total_18_to_64_years_Speak_Asian_and_Pacific_Island_languages_Speak_English_very_well","Estimate_Total_18_to_64_years_Speak_Asian_and_Pacific_Island_languages_Speak_English_well","Estimate_Total_18_to_64_years_Speak_Asian_and_Pacific_Island_languages_Speak_English_not_well","Estimate_Total_18_to_64_years_Speak_Asian_and_Pacific_Island_languages_Speak_English_not_at_all","Estimate_Total_18_to_64_years_Speak_other_languages","Estimate_Total_18_to_64_years_Speak_other_languages_Speak_English_very_well","Estimate_Total_18_to_64_years_Speak_other_languages_Speak_English_well","Estimate_Total_18_to_64_years_Speak_other_languages_Speak_English_not_well","Estimate_Total_18_to_64_years_Speak_other_languages_Speak_English_not_at_all","Estimate_Total_65_years_and_over","Estimate_Total_65_years_and_over_Speak_only_English","Estimate_Total_65_years_and_over_Speak_Spanish","Estimate_Total_65_years_and_over_Speak_Spanish_Speak_English_very_well","Estimate_Total_65_years_and_over_Speak_Spanish_Speak_English_well","Estimate_Total_65_years_and_over_Speak_Spanish_Speak_English_not_well","Estimate_Total_65_years_and_over_Speak_Spanish_Speak_English_not_at_all","Estimate_Total_65_years_and_over_Speak_other_Indo-European_languages","Estimate_Total_65_years_and_over_Speak_other_Indo-European_languages_Speak_English_very_well","Estimate_Total_65_years_and_over_Speak_other_Indo-European_languages_Speak_English_well","Estimate_Total_65_years_and_over_Speak_other_Indo-European_languages_Speak_English_not_well","Estimate_Total_65_years_and_over_Speak_other_Indo-European_languages_Speak_English_not_at_all","Estimate_Total_65_years_and_over_Speak_Asian_and_Pacific_Island_languages","Estimate_Total_65_years_and_over_Speak_Asian_and_Pacific_Island_languages_Speak_English_very_well","Estimate_Total_65_years_and_over_Speak_Asian_and_Pacific_Island_languages_Speak_English_well","Estimate_Total_65_years_and_over_Speak_Asian_and_Pacific_Island_languages_Speak_English_not_well","Estimate_Total_65_years_and_over_Speak_Asian_and_Pacific_Island_languages_Speak_English_not_at_all","Estimate_Total_65_years_and_over_Speak_other_languages","Estimate_Total_65_years_and_over_Speak_other_languages_Speak_English_very_well","Estimate_Total_65_years_and_over_Speak_other_languages_Speak_English_well","Estimate_Total_65_years_and_over_Speak_other_languages_Speak_English_not_well","Estimate_Total_65_years_and_over_Speak_other_languages_Speak_English_not_at_all","NA","Year"
"2","1400000US12001000201","Census Tract 2.01; Alachua County; Florida","5236","77","77","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5056","4269","480","468","12","0","0","242","242","0","0","0","65","49","16","0","0","0","0","0","0","0","103","103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"2024"
"3","1400000US12001000202","Census Tract 2.02; Alachua County; Florida","5751","50","46","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5619","4548","717","706","11","0","0","167","104","63","0","0","170","155","15","0","0","17","17","0","0","0","82","82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"2024"
"4","1400000US12001000301","Census Tract 3.01; Alachua County; Florida","3976","691","691","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2898","2721","133","129","4","0","0","15","15","0","0","0","29","0","29","0","0","0","0","0","0","0","387","241","146","88","10","48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"2024"
"5","1400000US12001000302","Census Tract 3.02; Alachua County; Florida","2395","190","190","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1530","1369","144","105","39","0","0","12","5","7","0","0","5","0","5","0","0","0","0","0","0","0","675","614","61","0","0","61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"2024"
"6","1400000US12001000400","Census Tract 4; Alachua County; Florida","5272","1289","1160","129","58","71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3226","3009","217","199","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","757","716","16","16","0","0","0","15","0","0","15","0","0","0","0","0","0","10","0","0","10","0",NA,"2024"
"7","1400000US12001000500","Census Tract 5; Alachua County; Florida","4673","561","561","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3447","3005","235","235","0","0","0","156","156","0","0","0","15","15","0","0","0","36","36","0","0","0","665","632","0","0","0","0","0","33","33","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"2024"
"8","1400000US12001000600","Census Tract 6; Alachua County; Florida","4052","749","749","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2547","2504","9","9","0","0","0","12","6","6","0","0","0","0","0","0","0","22","22","0","0","0","756","740","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","12","12","0","0","0",NA,"2024"
"9","1400000US12001000700","Census Tract 7; Alachua County; Florida","6138","1157","1037","49","49","0","0","0","71","71","0","0","0","0","0","0","0","0","0","0","0","0","0","3556","3215","203","168","35","0","0","138","0","138","0","0","0","0","0","0","0","0","0","0","0","0","1425","1415","10","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"2024"
"10","1400000US12001000806","Census Tract 8.06; Alachua County; Florida","3299","149","71","0","0","0","0","0","78","48","0","30","0","0","0","0","0","0","0","0","0","0","0","2950","2003","490","456","34","0","0","353","237","108","0","8","104","94","10","0","0","0","0","0","0","0","200","158","20","20","0","0","0","11","11","0","0","0","11","11","0","0","0","0","0","0","0","0",NA,"2024"
"11","1400000US12001000808","Census Tract 8.08; Alachua County; Florida","3739","571","505","47","47","0","0","0","19","19","0","0","0","0","0","0","0","0","0","0","0","0","0","3009","2631","116","116","0","0","0","93","93","0","0","0","118","77","41","0","0","51","51","0","0","0","159","144","0","0","0","0","0","15","15","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"2024"
"12","1400000US12001000809","Census Tract 8.09; Alachua County; Florida","1382","83","83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1156","930","94","94","0","0","0","30","23","7","0","0","78","63","15","0","0","24","24","0","0","0","143","128","8","8","0","0","0","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"2024"
"13","1400000US12001000901","Census Tract 9.01; Alachua County; Florida","3545","143","20","0","0","0","0","0","60","60","0","0","0","29","29","0","0","0","34","34","0","0","0","3402","2411","423","363","60","0","0","281","272","9","0","0","271","158","103","10","0","16","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"2024"
"14","1400000US12001000902","Census Tract 9.02; Alachua County; Florida","8723","253","133","6","6","0","0","0","47","47","0","0","0","67","32","35","0","0","0","0","0","0","0","8469","6310","1133","1076","37","20","0","374","248","126","0","0","625","352","246","27","0","27","27","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"2024"
"15","1400000US12001001000","Census Tract 10; Alachua County; Florida","7563","345","223","0","0","0","0","0","65","57","8","0","0","57","57","0","0","0","0","0","0","0","0","6523","5473","667","634","0","33","0","206","190","16","0","0","39","39","0","0","0","138","107","31","0","0","695","617","51","51","0","0","0","27","27","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"2024"
"16","1400000US12001001100","Census Tract 11; Alachua County; Florida","6322","970","704","49","30","19","0","0","39","39","0","0","0","178","178","0","0","0","0","0","0","0","0","3497","2705","209","144","65","0","0","146","117","29","0","0","437","308","111","10","8","0","0","0","0","0","1855","1647","47","47","0","0","0","39","39","0","0","0","122","21","74","7","20","0","0","0","0","0",NA,"2024"
"17","1400000US12001001201","Census Tract 12.01; Alachua County; Florida","2622","298","212","0","0","0","0","0","0","0","0","0","0","86","86","0","0","0","0","0","0","0","0","1556","1357","40","40","0","0","0","7","7","0","0","0","140","124","16","0","0","12","12","0","0","0","768","715","40","23","15","0","2","6","6","0","0","0","7","7","0","0","0","0","0","0","0","0",NA,"2024"
"18","1400000US12001001202","Census Tract 12.02; Alachua County; Florida","6897","982","817","0","0","0","0","0","109","109","0","0","0","56","56","0","0","0","0","0","0","0","0","4748","3878","580","508","72","0","0","207","207","0","0","0","83","83","0","0","0","0","0","0","0","0","1167","1052","115","49","66","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"2024"
"19","1400000US12001001203","Census Tract 12.03; Alachua County; Florida","3539","570","367","54","54","0","0","0","0","0","0","0","0","29","29","0","0","0","120","120","0","0","0","2489","1790","295","283","12","0","0","130","130","0","0","0","96","96","0","0","0","178","178","0","0","0","480","418","14","0","14","0","0","12","12","0","0","0","36","26","10","0","0","0","0","0","0","0",NA,"2024"
"20","1400000US12001001400","Census Tract 14; Alachua County; Florida","3649","536","536","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2542","2326","189","112","15","59","3","27","19","8","0","0","0","0","0","0","0","0","0","0","0","0","571","567","0","0","0","0","0","0","0","0","0","0","4","0","0","4","0","0","0","0","0","0",NA,"2024"
"21","1400000US12001001514","Census Tract 15.14; Alachua County; Florida","1885","110","110","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1722","1218","116","102","0","14","0","185","163","22","0","0","49","12","37","0","0","154","154","0","0","0","53","53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"2024"
"22","1400000US12001001515","Census Tract 15.15; Alachua County; Florida","6097","51","51","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5716","4107","839","748","91","0","0","417","330","87","0","0","332","204","124","4","0","21","21","0","0","0","330","43","256","256","0","0","0","0","0","0","0","0","31","0","0","31","0","0","0","0","0","0",NA,"2024"
"23","1400000US12001001516","Census Tract 15.16; Alachua County; Florida","2622","135","113","0","0","0","0","0","22","22","0","0","0","0","0","0","0","0","0","0","0","0","0","2353","1887","239","172","67","0","0","146","146","0","0","0","69","52","0","17","0","12","12","0","0","0","134","134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"2024"
"24","1400000US12001001517","Census Tract 15.17; Alachua County; Florida","5566","322","284","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","38","38","0","0","0","4930","3595","477","314","163","0","0","573","548","17","8","0","195","124","71","0","0","90","90","0","0","0","314","272","8","8","0","0","0","0","0","0","0","0","34","34","0","0","0","0","0","0","0","0",NA,"2024"
"25","1400000US12001001519","Census Tract 15.19; Alachua County; Florida","2457","196","154","25","0","25","0","0","0","0","0","0","0","17","0","17","0","0","0","0","0","0","0","2243","1032","294","234","60","0","0","270","270","0","0","0","500","479","21","0","0","147","141","6","0","0","18","5","0","0","0","0","0","13","13","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"2024"
"26","1400000US12001001522","Census Tract 15.22; Alachua County; Florida","7727","815","681","67","67","0","0","0","67","67","0","0","0","0","0","0","0","0","0","0","0","0","0","6639","5085","502","359","52","91","0","688","576","22","26","64","250","190","60","0","0","114","114","0","0","0","273","262","0","0","0","0","0","11","11","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"2024"
"27","1400000US12001001605","Census Tract 16.05; Alachua County; Florida","9026","388","338","50","27","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7863","6339","1087","810","194","83","0","386","361","25","0","0","18","18","0","0","0","33","33","0","0","0","775","649","66","66","0","0","0","55","55","0","0","0","5","5","0","0","0","0","0","0","0","0",NA,"2024"
"28","1400000US12001001701","Census Tract 17.01; Alachua County; Florida","6455","654","593","56","56","0","0","0","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","3900","2766","389","343","46","0","0","406","322","84","0","0","286","235","51","0","0","53","53","0","0","0","1901","1663","175","69","64","42","0","37","27","10","0","0","26","26","0","0","0","0","0","0","0","0",NA,"2024"
"29","1400000US12001001702","Census Tract 17.02; Alachua County; Florida","5128","624","549","47","25","0","22","0","28","28","0","0","0","0","0","0","0","0","0","0","0","0","0","2695","2203","355","245","57","53","0","87","65","22","0","0","50","50","0","0","0","0","0","0","0","0","1809","1785","0","0","0","0","0","13","0","13","0","0","0","0","0","0","0","11","0","11","0","0",NA,"2024"
"30","1400000US12001001802","Census Tract 18.02; Alachua County; Florida","3160","711","711","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1916","1804","71","46","16","6","3","14","14","0","0","0","27","27","0","0","0","0","0","0","0","0","533","493","40","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"2024"
"31","1400000US12001001803","Census Tract 18.03; Alachua County; Florida","5877","1149","1149","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3296","2897","247","81","80","86","0","16","16","0","0","0","70","58","12","0","0","66","66","0","0","0","1432","1215","118","7","33","78","0","21","21","0","0","0","78","0","78","0","0","0","0","0","0","0",NA,"2024"
"32","1400000US12001001811","Census Tract 18.11; Alachua County; Florida","6428","930","834","62","62","0","0","0","20","0","20","0","0","14","0","14","0","0","0","0","0","0","0","4085","3205","527","460","67","0","0","162","132","0","30","0","95","85","10","0","0","96","45","51","0","0","1413","1295","31","0","0","0","31","0","0","0","0","0","41","21","20","0","0","46","16","30","0","0",NA,"2024"
"33","1400000US12001001813","Census Tract 18.13; Alachua County; Florida","3802","735","650","21","12","0","9","0","47","9","38","0","0","0","0","0","0","0","17","17","0","0","0","2273","1862","52","37","15","0","0","195","177","18","0","0","144","134","0","10","0","20","8","12","0","0","794","703","3","0","0","3","0","20","11","9","0","0","68","68","0","0","0","0","0","0","0","0",NA,"2024"
"34","1400000US12001001815","Census Tract 18.15; Alachua County; Florida","1961","375","291","84","5","79","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1156","1020","132","95","33","2","2","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","430","397","33","0","0","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"2024"
"35","1400000US12001001816","Census Tract 18.16; Alachua County; Florida","5571","1634","1540","94","85","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2933","2685","248","207","33","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1004","937","67","12","32","0","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"2024"
