"","Geography","Geographic_Area_Name","Estimate_Total","Estimate_Total_5_to_17_years","Estimate_Total_5_to_17_years_Speak_only_English","Estimate_Total_5_to_17_years_Speak_Spanish","Estimate_Total_5_to_17_years_Speak_other_Indo-European_languages","Estimate_Total_5_to_17_years_Speak_Asian_and_Pacific_Island_languages","Estimate_Total_5_to_17_years_Speak_other_languages","Estimate_Total_18_years_and_over","Estimate_Total_18_years_and_over_Speak_Spanish","Estimate_Total_18_years_and_over_Speak_other_Indo-European_languages","Estimate_Total_18_years_and_over_Speak_Asian_and_Pacific_Island_languages","Estimate_Total_18_years_and_over_Speak_other_languages","NA"
"2","1400000US12001000200","Census Tract 2, Alachua County, Florida","182","0","0","0","0","0","0","182","18","0","37","127",NA
"3","1400000US12001000301","Census Tract 3.01, Alachua County, Florida","11","0","0","0","0","0","0","11","11","0","0","0",NA
"4","1400000US12001000302","Census Tract 3.02, Alachua County, Florida","96","24","0","24","0","0","0","72","72","0","0","0",NA
"5","1400000US12001000400","Census Tract 4, Alachua County, Florida","17","0","0","0","0","0","0","17","17","0","0","0",NA
"6","1400000US12001000500","Census Tract 5, Alachua County, Florida","0","0","0","0","0","0","0","0","0","0","0","0",NA
"7","1400000US12001000600","Census Tract 6, Alachua County, Florida","7","0","0","0","0","0","0","7","0","7","0","0",NA
"8","1400000US12001000700","Census Tract 7, Alachua County, Florida","0","0","0","0","0","0","0","0","0","0","0","0",NA
"9","1400000US12001000806","Census Tract 8.06, Alachua County, Florida","115","13","0","0","13","0","0","102","10","13","79","0",NA
"10","1400000US12001000808","Census Tract 8.08, Alachua County, Florida","410","6","0","0","0","6","0","404","0","109","295","0",NA
"11","1400000US12001000809","Census Tract 8.09, Alachua County, Florida","14","0","0","0","0","0","0","14","0","8","6","0",NA
"12","1400000US12001000901","Census Tract 9.01, Alachua County, Florida","165","9","0","0","0","9","0","156","13","11","132","0",NA
"13","1400000US12001000902","Census Tract 9.02, Alachua County, Florida","0","0","0","0","0","0","0","0","0","0","0","0",NA
"14","1400000US12001001000","Census Tract 10, Alachua County, Florida","0","0","0","0","0","0","0","0","0","0","0","0",NA
"15","1400000US12001001100","Census Tract 11, Alachua County, Florida","0","0","0","0","0","0","0","0","0","0","0","0",NA
"16","1400000US12001001201","Census Tract 12.01, Alachua County, Florida","35","0","0","0","0","0","0","35","6","0","29","0",NA
"17","1400000US12001001202","Census Tract 12.02, Alachua County, Florida","441","31","0","14","0","17","0","410","282","29","99","0",NA
"18","1400000US12001001203","Census Tract 12.03, Alachua County, Florida","0","0","0","0","0","0","0","0","0","0","0","0",NA
"19","1400000US12001001400","Census Tract 14, Alachua County, Florida","14","0","0","0","0","0","0","14","14","0","0","0",NA
"20","1400000US12001001514","Census Tract 15.14, Alachua County, Florida","32","0","0","0","0","0","0","32","0","0","32","0",NA
"21","1400000US12001001515","Census Tract 15.15, Alachua County, Florida","85","0","0","0","0","0","0","85","0","0","60","25",NA
"22","1400000US12001001516","Census Tract 15.16, Alachua County, Florida","6","0","0","0","0","0","0","6","0","0","6","0",NA
"23","1400000US12001001517","Census Tract 15.17, Alachua County, Florida","125","12","0","12","0","0","0","113","17","0","0","96",NA
"24","1400000US12001001519","Census Tract 15.19, Alachua County, Florida","129","10","0","6","0","4","0","119","11","0","108","0",NA
"25","1400000US12001001520","Census Tract 15.20, Alachua County, Florida","160","14","0","14","0","0","0","146","98","0","48","0",NA
"26","1400000US12001001521","Census Tract 15.21, Alachua County, Florida","137","0","0","0","0","0","0","137","0","0","113","24",NA
"27","1400000US12001001603","Census Tract 16.03, Alachua County, Florida","23","0","0","0","0","0","0","23","0","23","0","0",NA
"28","1400000US12001001604","Census Tract 16.04, Alachua County, Florida","174","0","0","0","0","0","0","174","25","0","149","0",NA
