"","Geography","Geographic_Area_Name","Estimate_Total","Estimate_Total_5_to_17_years","Estimate_Total_5_to_17_years_Speak_only_English","Estimate_Total_5_to_17_years_Speak_Spanish","Estimate_Total_5_to_17_years_Speak_Spanish_Speak_English_very_well","Estimate_Total_5_to_17_years_Speak_Spanish_Speak_English_well","Estimate_Total_5_to_17_years_Speak_Spanish_Speak_English_not_well","Estimate_Total_5_to_17_years_Speak_Spanish_Speak_English_not_at_all","Estimate_Total_5_to_17_years_Speak_other_Indo-European_languages","Estimate_Total_5_to_17_years_Speak_other_Indo-European_languages_Speak_English_very_well","Estimate_Total_5_to_17_years_Speak_other_Indo-European_languages_Speak_English_well","Estimate_Total_5_to_17_years_Speak_other_Indo-European_languages_Speak_English_not_well","Estimate_Total_5_to_17_years_Speak_other_Indo-European_languages_Speak_English_not_at_all","Estimate_Total_5_to_17_years_Speak_Asian_and_Pacific_Island_languages","Estimate_Total_5_to_17_years_Speak_Asian_and_Pacific_Island_languages_Speak_English_very_well","Estimate_Total_5_to_17_years_Speak_Asian_and_Pacific_Island_languages_Speak_English_well","Estimate_Total_5_to_17_years_Speak_Asian_and_Pacific_Island_languages_Speak_English_not_well","Estimate_Total_5_to_17_years_Speak_Asian_and_Pacific_Island_languages_Speak_English_not_at_all","Estimate_Total_5_to_17_years_Speak_other_languages","Estimate_Total_5_to_17_years_Speak_other_languages_Speak_English_very_well","Estimate_Total_5_to_17_years_Speak_other_languages_Speak_English_well","Estimate_Total_5_to_17_years_Speak_other_languages_Speak_English_not_well","Estimate_Total_5_to_17_years_Speak_other_languages_Speak_English_not_at_all","Estimate_Total_18_to_64_years","Estimate_Total_18_to_64_years_Speak_only_English","Estimate_Total_18_to_64_years_Speak_Spanish","Estimate_Total_18_to_64_years_Speak_Spanish_Speak_English_very_well","Estimate_Total_18_to_64_years_Speak_Spanish_Speak_English_well","Estimate_Total_18_to_64_years_Speak_Spanish_Speak_English_not_well","Estimate_Total_18_to_64_years_Speak_Spanish_Speak_English_not_at_all","Estimate_Total_18_to_64_years_Speak_other_Indo-European_languages","Estimate_Total_18_to_64_years_Speak_other_Indo-European_languages_Speak_English_very_well","Estimate_Total_18_to_64_years_Speak_other_Indo-European_languages_Speak_English_well","Estimate_Total_18_to_64_years_Speak_other_Indo-European_languages_Speak_English_not_well","Estimate_Total_18_to_64_years_Speak_other_Indo-European_languages_Speak_English_not_at_all","Estimate_Total_18_to_64_years_Speak_Asian_and_Pacific_Island_languages","Estimate_Total_18_to_64_years_Speak_Asian_and_Pacific_Island_languages_Speak_English_very_well","Estimate_Total_18_to_64_years_Speak_Asian_and_Pacific_Island_languages_Speak_English_well","Estimate_Total_18_to_64_years_Speak_Asian_and_Pacific_Island_languages_Speak_English_not_well","Estimate_Total_18_to_64_years_Speak_Asian_and_Pacific_Island_languages_Speak_English_not_at_all","Estimate_Total_18_to_64_years_Speak_other_languages","Estimate_Total_18_to_64_years_Speak_other_languages_Speak_English_very_well","Estimate_Total_18_to_64_years_Speak_other_languages_Speak_English_well","Estimate_Total_18_to_64_years_Speak_other_languages_Speak_English_not_well","Estimate_Total_18_to_64_years_Speak_other_languages_Speak_English_not_at_all","Estimate_Total_65_years_and_over","Estimate_Total_65_years_and_over_Speak_only_English","Estimate_Total_65_years_and_over_Speak_Spanish","Estimate_Total_65_years_and_over_Speak_Spanish_Speak_English_very_well","Estimate_Total_65_years_and_over_Speak_Spanish_Speak_English_well","Estimate_Total_65_years_and_over_Speak_Spanish_Speak_English_not_well","Estimate_Total_65_years_and_over_Speak_Spanish_Speak_English_not_at_all","Estimate_Total_65_years_and_over_Speak_other_Indo-European_languages","Estimate_Total_65_years_and_over_Speak_other_Indo-European_languages_Speak_English_very_well","Estimate_Total_65_years_and_over_Speak_other_Indo-European_languages_Speak_English_well","Estimate_Total_65_years_and_over_Speak_other_Indo-European_languages_Speak_English_not_well","Estimate_Total_65_years_and_over_Speak_other_Indo-European_languages_Speak_English_not_at_all","Estimate_Total_65_years_and_over_Speak_Asian_and_Pacific_Island_languages","Estimate_Total_65_years_and_over_Speak_Asian_and_Pacific_Island_languages_Speak_English_very_well","Estimate_Total_65_years_and_over_Speak_Asian_and_Pacific_Island_languages_Speak_English_well","Estimate_Total_65_years_and_over_Speak_Asian_and_Pacific_Island_languages_Speak_English_not_well","Estimate_Total_65_years_and_over_Speak_Asian_and_Pacific_Island_languages_Speak_English_not_at_all","Estimate_Total_65_years_and_over_Speak_other_languages","Estimate_Total_65_years_and_over_Speak_other_languages_Speak_English_very_well","Estimate_Total_65_years_and_over_Speak_other_languages_Speak_English_well","Estimate_Total_65_years_and_over_Speak_other_languages_Speak_English_not_well","Estimate_Total_65_years_and_over_Speak_other_languages_Speak_English_not_at_all","NA","Year"
"15","1400000US12001001100","Census Tract 11, Alachua County, Florida","6009","660","516","78","78","0","0","0","38","38","0","0","0","28","28","0","0","0","0","0","0","0","0","3634","3191","128","118","10","0","0","219","177","42","0","0","96","75","0","21","0","0","0","0","0","0","1715","1666","23","23","0","0","0","26","26","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"2014"
"16","1400000US12001001201","Census Tract 12.01, Alachua County, Florida","2590","365","199","75","75","0","0","0","80","80","0","0","0","11","11","0","0","0","0","0","0","0","0","1783","1241","225","204","21","0","0","257","257","0","0","0","60","0","51","9","0","0","0","0","0","0","442","389","17","8","9","0","0","7","7","0","0","0","29","0","29","0","0","0","0","0","0","0",NA,"2014"
"17","1400000US12001001202","Census Tract 12.02, Alachua County, Florida","6652","986","901","25","25","0","0","0","43","43","0","0","0","17","0","17","0","0","0","0","0","0","0","4873","4006","477","200","43","209","25","230","164","66","0","0","160","61","99","0","0","0","0","0","0","0","793","733","45","33","12","0","0","15","15","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"2014"
"18","1400000US12001001203","Census Tract 12.03, Alachua County, Florida","3451","371","288","59","35","24","0","0","18","18","0","0","0","6","0","6","0","0","0","0","0","0","0","2841","2453","213","153","3","35","22","63","54","0","9","0","112","112","0","0","0","0","0","0","0","0","239","239","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"2014"
"19","1400000US12001001400","Census Tract 14, Alachua County, Florida","3941","442","437","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","3250","3045","173","107","56","10","0","13","13","0","0","0","19","14","5","0","0","0","0","0","0","0","249","232","11","4","0","7","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"2014"
"20","1400000US12001001514","Census Tract 15.14, Alachua County, Florida","1076","61","61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","999","766","111","111","0","0","0","70","70","0","0","0","41","9","21","6","5","11","11","0","0","0","16","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"2014"
"21","1400000US12001001515","Census Tract 15.15, Alachua County, Florida","4927","198","168","30","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4665","3385","517","464","21","32","0","356","343","13","0","0","366","237","129","0","0","41","0","29","12","0","64","45","0","0","0","0","0","0","0","0","0","0","19","0","0","19","0","0","0","0","0","0",NA,"2014"
"22","1400000US12001001516","Census Tract 15.16, Alachua County, Florida","1746","83","83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1647","1313","144","135","9","0","0","106","106","0","0","0","84","30","31","23","0","0","0","0","0","0","16","0","16","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"2014"
"23","1400000US12001001517","Census Tract 15.17, Alachua County, Florida","5068","86","74","12","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4859","3885","289","199","90","0","0","473","428","0","45","0","76","43","13","20","0","136","40","96","0","0","123","123","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"2014"
"24","1400000US12001001519","Census Tract 15.19, Alachua County, Florida","2493","60","17","6","6","0","0","0","14","0","14","0","0","23","19","4","0","0","0","0","0","0","0","2416","1610","213","194","13","6","0","256","241","15","0","0","337","198","115","24","0","0","0","0","0","0","17","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"2014"
"25","1400000US12001001520","Census Tract 15.20, Alachua County, Florida","2171","61","47","14","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2005","1500","407","207","87","91","22","11","11","0","0","0","81","28","48","5","0","6","6","0","0","0","105","91","14","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"2014"
"26","1400000US12001001521","Census Tract 15.21, Alachua County, Florida","3464","54","41","13","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3367","2629","349","292","46","11","0","79","79","0","0","0","272","129","114","29","0","38","14","11","13","0","43","43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"2014"
"27","1400000US12001001603","Census Tract 16.03, Alachua County, Florida","1568","126","126","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1325","1220","51","43","0","8","0","54","31","23","0","0","0","0","0","0","0","0","0","0","0","0","117","117","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"2014"
"28","1400000US12001001604","Census Tract 16.04, Alachua County, Florida","7563","87","87","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7042","5911","572","470","33","30","39","246","235","11","0","0","251","85","42","124","0","62","62","0","0","0","434","423","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","11","0","0","0",NA,"2014"
"29","1400000US12001001701","Census Tract 17.01, Alachua County, Florida","6132","739","712","0","0","0","0","0","0","0","0","0","0","27","0","27","0","0","0","0","0","0","0","4207","3687","392","363","0","29","0","60","38","22","0","0","54","44","0","10","0","14","14","0","0","0","1186","1044","108","106","0","0","2","34","31","3","0","0","0","0","0","0","0","0","0","0","0","0",NA,"2014"
"30","1400000US12001001702","Census Tract 17.02, Alachua County, Florida","5019","752","737","15","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3161","2631","268","209","0","59","0","145","90","55","0","0","105","42","33","19","11","12","12","0","0","0","1106","971","17","17","0","0","0","62","37","12","13","0","44","0","44","0","0","12","0","12","0","0",NA,"2014"
"31","1400000US12001001801","Census Tract 18.01, Alachua County, Florida","6376","1127","1105","17","17","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","4091","3826","76","63","13","0","0","179","132","47","0","0","10","0","10","0","0","0","0","0","0","0","1158","1093","36","34","0","0","2","29","29","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"2014"
"32","1400000US12001001802","Census Tract 18.02, Alachua County, Florida","2566","471","433","38","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1676","1583","51","35","0","15","1","26","26","0","0","0","16","0","16","0","0","0","0","0","0","0","419","382","22","22","0","0","0","0","0","0","0","0","15","0","15","0","0","0","0","0","0","0",NA,"2014"
"33","1400000US12001001803","Census Tract 18.03, Alachua County, Florida","5940","962","909","20","20","0","0","0","9","9","0","0","0","24","0","0","24","0","0","0","0","0","0","4045","3616","128","114","14","0","0","183","127","43","13","0","118","33","43","42","0","0","0","0","0","0","933","829","67","51","16","0","0","0","0","0","0","0","37","0","0","37","0","0","0","0","0","0",NA,"2014"
"34","1400000US12001001805","Census Tract 18.05, Alachua County, Florida","1615","282","265","17","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1145","1018","66","56","10","0","0","61","61","0","0","0","0","0","0","0","0","0","0","0","0","0","188","169","10","10","0","0","0","9","9","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"2014"
"35","1400000US12001001806","Census Tract 18.06, Alachua County, Florida","8338","1478","1371","93","80","13","0","0","14","14","0","0","0","0","0","0","0","0","0","0","0","0","0","5480","4922","397","325","37","35","0","150","127","23","0","0","11","11","0","0","0","0","0","0","0","0","1380","1239","76","23","15","38","0","43","16","27","0","0","22","22","0","0","0","0","0","0","0","0",NA,"2014"
"36","1400000US12001001811","Census Tract 18.11, Alachua County, Florida","6706","1063","765","93","82","0","11","0","21","21","0","0","0","184","25","0","159","0","0","0","0","0","0","4642","3281","313","272","41","0","0","367","314","47","6","0","672","349","261","62","0","9","9","0","0","0","1001","730","68","53","0","15","0","133","12","109","12","0","70","47","23","0","0","0","0","0","0","0",NA,"2014"
"37","1400000US12001001813","Census Tract 18.13, Alachua County, Florida","2841","563","458","23","23","0","0","0","10","10","0","0","0","58","58","0","0","0","14","14","0","0","0","1921","1499","69","69","0","0","0","55","39","16","0","0","275","235","40","0","0","23","23","0","0","0","357","334","12","12","0","0","0","11","11","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"2014"
"38","1400000US12001001814","Census Tract 18.14, Alachua County, Florida","2853","436","351","85","85","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1957","1467","282","267","15","0","0","208","157","32","19","0","0","0","0","0","0","0","0","0","0","0","460","423","24","0","24","0","0","0","0","0","0","0","13","13","0","0","0","0","0","0","0","0",NA,"2014"
"39","1400000US12001001902","Census Tract 19.02, Alachua County, Florida","2918","476","432","38","38","0","0","0","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","1983","1915","20","11","0","0","9","7","7","0","0","0","41","32","9","0","0","0","0","0","0","0","459","459","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"2014"
"40","1400000US12001001907","Census Tract 19.07, Alachua County, Florida","2711","289","289","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1735","1619","113","113","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","687","656","11","3","0","8","0","0","0","0","0","0","20","20","0","0","0","0","0","0","0","0",NA,"2014"
"41","1400000US12001001908","Census Tract 19.08, Alachua County, Florida","3894","722","665","41","41","0","0","0","16","16","0","0","0","0","0","0","0","0","0","0","0","0","0","2546","2395","66","30","32","0","4","37","37","0","0","0","48","27","0","21","0","0","0","0","0","0","626","616","0","0","0","0","0","0","0","0","0","0","10","0","10","0","0","0","0","0","0","0",NA,"2014"
"42","1400000US12001002000","Census Tract 20, Alachua County, Florida","5128","872","850","17","17","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","3096","3040","56","39","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1160","1157","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"2014"
"43","1400000US12001002101","Census Tract 21.01, Alachua County, Florida","1802","274","264","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","0","0","0","1154","1089","0","0","0","0","0","57","4","28","25","0","8","8","0","0","0","0","0","0","0","0","374","346","0","0","0","0","0","11","0","11","0","0","17","0","17","0","0","0","0","0","0","0",NA,"2014"
"44","1400000US12001002102","Census Tract 21.02, Alachua County, Florida","795","115","115","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","502","478","23","23","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","178","174","0","0","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"2014"
"45","1400000US12001002201","Census Tract 22.01, Alachua County, Florida","4368","693","679","14","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2995","2778","94","71","23","0","0","63","57","0","6","0","52","32","0","20","0","8","8","0","0","0","680","664","0","0","0","0","0","16","16","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"2014"
"46","1400000US12001002202","Census Tract 22.02, Alachua County, Florida","5648","907","818","14","0","0","14","0","75","75","0","0","0","0","0","0","0","0","0","0","0","0","0","3882","3625","71","0","56","15","0","118","99","19","0","0","41","28","0","13","0","27","27","0","0","0","859","824","35","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"2014"
"47","1400000US12001002204","Census Tract 22.04, Alachua County, Florida","10284","2178","1914","80","80","0","0","0","100","69","31","0","0","84","60","24","0","0","0","0","0","0","0","6493","4918","627","575","52","0","0","387","342","45","0","0","413","84","176","153","0","148","148","0","0","0","1613","1480","92","36","14","0","42","41","41","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"2014"
"48","1400000US12001002205","Census Tract 22.05, Alachua County, Florida","9265","1644","1374","13","13","0","0","0","199","199","0","0","0","58","46","12","0","0","0","0","0","0","0","5826","4836","371","361","10","0","0","352","241","72","39","0","248","200","35","0","13","19","19","0","0","0","1795","1713","43","29","13","0","1","39","39","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"2014"
"49","1400000US12001002207","Census Tract 22.07, Alachua County, Florida","3458","675","517","49","49","0","0","0","40","40","0","0","0","30","30","0","0","0","39","39","0","0","0","2251","1709","241","186","48","7","0","199","171","28","0","0","60","25","35","0","0","42","25","0","17","0","532","462","11","0","11","0","0","37","20","0","17","0","22","22","0","0","0","0","0","0","0","0",NA,"2014"
"50","1400000US12001002208","Census Tract 22.08, Alachua County, Florida","2388","445","421","9","0","0","9","0","3","3","0","0","0","12","12","0","0","0","0","0","0","0","0","1575","1458","42","29","13","0","0","49","49","0","0","0","26","26","0","0","0","0","0","0","0","0","368","266","37","16","21","0","0","45","45","0","0","0","20","20","0","0","0","0","0","0","0","0",NA,"2014"
"51","1400000US12001002209","Census Tract 22.09, Alachua County, Florida","7135","1232","1089","110","63","47","0","0","14","14","0","0","0","19","19","0","0","0","0","0","0","0","0","4950","4370","216","111","55","50","0","113","89","24","0","0","217","208","9","0","0","34","6","28","0","0","953","888","14","14","0","0","0","0","0","0","0","0","51","51","0","0","0","0","0","0","0","0",NA,"2014"
"52","1400000US12001002210","Census Tract 22.10, Alachua County, Florida","3959","862","831","23","23","0","0","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","2564","2305","126","113","13","0","0","127","113","7","0","7","6","6","0","0","0","0","0","0","0","0","533","509","8","8","0","0","0","0","0","0","0","0","16","16","0","0","0","0","0","0","0","0",NA,"2014"
