Contributions to Percent Change by Industry in the Chain-Type Quantity Index for All Industries Purchased Service Inputs
Contributions to Percent Change by Industry in the Chain-Type Quantity Index for All Industries Purchased Service Inputs
"Last Revised on: January 22, 2026"
Line,,2017,2018,2019,2020,2021,2022,2023,2024
,,,,,,,,,
1,Percent change:,,,,,,,,
65,"                Other real estate",0.00,-0.13,0.81,-0.17,1.32,0.19,0.41,-0.02
66,"            Rental and leasing services and lessors of intangible assets",0.00,0.11,0.05,-0.03,0.69,0.13,0.12,-0.01
67,"    Professional and business services",0.67,0.53,0.69,-0.26,0.54,0.88,-0.05,0.04
68,"        Professional, scientific, and technical services",0.53,0.12,0.25,0.16,0.32,0.51,0.05,0.06
69,"            Legal services",0.11,-0.08,-0.02,0.04,-0.03,0.00,-0.03,0.04
70,"            Computer systems design and related services",0.22,0.06,-0.09,0.03,0.09,0.29,0.00,-0.08
71,"            Miscellaneous professional, scientific, and technical services",0.19,0.14,0.35,0.08,0.26,0.21,0.07,0.10
72,"        Management of companies and enterprises",0.00,0.07,0.10,0.02,0.05,0.02,0.06,0.12
73,"        Administrative and waste management services",0.14,0.34,0.35,-0.43,0.17,0.36,-0.17,-0.14
74,"            Administrative and support services",0.13,0.32,0.34,-0.43,0.15,0.36,-0.18,-0.16
75,"            Waste management and remediation services",0.01,0.02,0.01,0.00,0.01,0.00,0.01,0.02
76,"    Educational services, health care, and social assistance",0.16,-0.05,0.41,-0.73,0.67,0.37,0.75,0.71
77,"        Educational services",0.01,0.00,0.01,-0.12,0.02,0.08,0.08,0.13
78,"        Health care and social assistance",0.15,-0.05,0.39,-0.61,0.64,0.29,0.67,0.57
79,"            Ambulatory health care services",0.16,-0.06,0.05,-0.31,0.24,0.17,0.25,0.29
80,"            Hospitals",-0.01,0.04,0.33,-0.25,0.32,0.13,0.25,0.24
81,"            Nursing and residential care facilities",-0.03,-0.01,0.03,-0.09,0.04,0.02,0.10,0.08
82,"            Social assistance",0.03,-0.02,-0.02,0.04,0.05,-0.03,0.07,-0.04
83,"    Arts, entertainment, recreation, accommodation, and food services",0.04,0.23,0.27,-0.74,1.07,0.81,0.47,0.23
84,"        Arts, entertainment, and recreation",0.10,0.06,0.12,-0.21,0.30,0.25,0.03,0.11
85,"            Performing arts, spectator sports, museums, and related activities",0.08,0.03,0.07,-0.17,0.20,0.21,-0.05,0.08
86,"            Amusements, gambling, and recreation industries",0.02,0.02,0.05,-0.04,0.10,0.04,0.08,0.03
87,"        Accommodation and food services",-0.06,0.18,0.15,-0.53,0.76,0.56,0.44,0.13
88,"            Accommodation",-0.01,0.01,0.01,-0.42,0.10,0.26,0.10,-0.03
89,"            Food services and drinking places",-0.06,0.16,0.14,-0.11,0.67,0.29,0.34,0.15
90,"    Other services, except government",-0.04,0.00,0.06,-0.14,0.22,0.18,0.39,0.16
91,Government,-0.48,0.34,0.97,0.77,0.03,0.00,0.66,0.21
92,"    Federal",-0.38,0.23,0.27,0.36,0.09,-0.13,0.09,0.05
93,"        General government",-0.32,0.22,0.26,0.38,0.07,-0.16,0.09,0.09
94,"            National defense",-0.23,0.14,0.25,0.03,-0.12,-0.02,0.18,0.05
95,"            Nondefense",-0.08,0.09,0.00,0.36,0.19,-0.14,-0.10,0.04
96,"        Government enterprises",-0.06,0.00,0.01,-0.02,0.02,0.03,0.01,-0.04
97,"    State and local",-0.11,0.12,0.70,0.41,-0.06,0.13,0.57,0.16
98,"        General government",-0.05,0.08,0.63,0.48,-0.13,0.07,0.39,0.05
99,"        Government enterprises",-0.06,0.03,0.08,-0.06,0.07,0.06,0.18,0.11
,"    Addenda:",,,,,,,,
100,"            Private goods-producing industries1",0.20,0.26,0.26,-0.55,-0.18,0.76,0.44,-0.16
101,"            Private services-producing industries2",3.13,2.49,1.70,-3.16,9.20,4.55,3.18,2.01
102,"            Information-communications-technology-producing industries3",0.51,0.51,-0.38,0.23,0.78,0.82,-0.03,0.15

Legend/Footnotes
"1. Consists of agriculture, forestry, fishing, and hunting; mining; construction; and manufacturing."
"2. Consists of utilities; wholesale trade; retail trade; transportation and warehousing; information; finance, insurance, real estate, rental, and leasing; professional and business services; educational services, health care, and social assistance; arts, entertainment, recreation, accommodation, and food services; and other services, except government."
"3. Consists of computer and electronic product manufacturing (excluding navigational, measuring, electromedical, and control instruments manufacturing); software publishers; broadcasting and telecommunications; data processing, hosting and related services; internet publishing and broadcasting and web search portals; and computer systems design and related services."
