"GEO_ID","NAME","B16004_001E","B16004_001M","B16004_002E","B16004_002M","B16004_003E","B16004_003M","B16004_004E","B16004_004M","B16004_005E","B16004_005M","B16004_006E","B16004_006M","B16004_007E","B16004_007M","B16004_008E","B16004_008M","B16004_009E","B16004_009M","B16004_010E","B16004_010M","B16004_011E","B16004_011M","B16004_012E","B16004_012M","B16004_013E","B16004_013M","B16004_014E","B16004_014M","B16004_015E","B16004_015M","B16004_016E","B16004_016M","B16004_017E","B16004_017M","B16004_018E","B16004_018M","B16004_019E","B16004_019M","B16004_020E","B16004_020M","B16004_021E","B16004_021M","B16004_022E","B16004_022M","B16004_023E","B16004_023M","B16004_024E","B16004_024M","B16004_025E","B16004_025M","B16004_026E","B16004_026M","B16004_027E","B16004_027M","B16004_028E","B16004_028M","B16004_029E","B16004_029M","B16004_030E","B16004_030M","B16004_031E","B16004_031M","B16004_032E","B16004_032M","B16004_033E","B16004_033M","B16004_034E","B16004_034M","B16004_035E","B16004_035M","B16004_036E","B16004_036M","B16004_037E","B16004_037M","B16004_038E","B16004_038M","B16004_039E","B16004_039M","B16004_040E","B16004_040M","B16004_041E","B16004_041M","B16004_042E","B16004_042M","B16004_043E","B16004_043M","B16004_044E","B16004_044M","B16004_045E","B16004_045M","B16004_046E","B16004_046M","B16004_047E","B16004_047M","B16004_048E","B16004_048M","B16004_049E","B16004_049M","B16004_050E","B16004_050M","B16004_051E","B16004_051M","B16004_052E","B16004_052M","B16004_053E","B16004_053M","B16004_054E","B16004_054M","B16004_055E","B16004_055M","B16004_056E","B16004_056M","B16004_057E","B16004_057M","B16004_058E","B16004_058M","B16004_059E","B16004_059M","B16004_060E","B16004_060M","B16004_061E","B16004_061M","B16004_062E","B16004_062M","B16004_063E","B16004_063M","B16004_064E","B16004_064M","B16004_065E","B16004_065M","B16004_066E","B16004_066M","B16004_067E","B16004_067M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!5 to 17 years","Margin of Error!!Total!!5 to 17 years","Estimate!!Total!!5 to 17 years!!Speak only English","Margin of Error!!Total!!5 to 17 years!!Speak only English","Estimate!!Total!!5 to 17 years!!Speak Spanish","Margin of Error!!Total!!5 to 17 years!!Speak Spanish","Estimate!!Total!!5 to 17 years!!Speak Spanish!!Speak English "very well"","Margin of Error!!Total!!5 to 17 years!!Speak Spanish!!Speak English "very well"","Estimate!!Total!!5 to 17 years!!Speak Spanish!!Speak English "well"","Margin of Error!!Total!!5 to 17 years!!Speak Spanish!!Speak English "well"","Estimate!!Total!!5 to 17 years!!Speak Spanish!!Speak English "not well"","Margin of Error!!Total!!5 to 17 years!!Speak Spanish!!Speak English "not well"","Estimate!!Total!!5 to 17 years!!Speak Spanish!!Speak English "not at all"","Margin of Error!!Total!!5 to 17 years!!Speak Spanish!!Speak English "not at all"","Estimate!!Total!!5 to 17 years!!Speak other Indo-European languages","Margin of Error!!Total!!5 to 17 years!!Speak other Indo-European languages","Estimate!!Total!!5 to 17 years!!Speak other Indo-European languages!!Speak English "very well"","Margin of Error!!Total!!5 to 17 years!!Speak other Indo-European languages!!Speak English "very well"","Estimate!!Total!!5 to 17 years!!Speak other Indo-European languages!!Speak English "well"","Margin of Error!!Total!!5 to 17 years!!Speak other Indo-European languages!!Speak English "well"","Estimate!!Total!!5 to 17 years!!Speak other Indo-European languages!!Speak English "not well"","Margin of Error!!Total!!5 to 17 years!!Speak other Indo-European languages!!Speak English "not well"","Estimate!!Total!!5 to 17 years!!Speak other Indo-European languages!!Speak English "not at all"","Margin of Error!!Total!!5 to 17 years!!Speak other Indo-European languages!!Speak English "not at all"","Estimate!!Total!!5 to 17 years!!Speak Asian and Pacific Island languages","Margin of Error!!Total!!5 to 17 years!!Speak Asian and Pacific Island languages","Estimate!!Total!!5 to 17 years!!Speak Asian and Pacific Island languages!!Speak English "very well"","Margin of Error!!Total!!5 to 17 years!!Speak Asian and Pacific Island languages!!Speak English "very well"","Estimate!!Total!!5 to 17 years!!Speak Asian and Pacific Island languages!!Speak English "well"","Margin of Error!!Total!!5 to 17 years!!Speak Asian and Pacific Island languages!!Speak English "well"","Estimate!!Total!!5 to 17 years!!Speak Asian and Pacific Island languages!!Speak English "not well"","Margin of Error!!Total!!5 to 17 years!!Speak Asian and Pacific Island languages!!Speak English "not well"","Estimate!!Total!!5 to 17 years!!Speak Asian and Pacific Island languages!!Speak English "not at all"","Margin of Error!!Total!!5 to 17 years!!Speak Asian and Pacific Island languages!!Speak English "not at all"","Estimate!!Total!!5 to 17 years!!Speak other languages","Margin of Error!!Total!!5 to 17 years!!Speak other languages","Estimate!!Total!!5 to 17 years!!Speak other languages!!Speak English "very well"","Margin of Error!!Total!!5 to 17 years!!Speak other languages!!Speak English "very well"","Estimate!!Total!!5 to 17 years!!Speak other languages!!Speak English "well"","Margin of Error!!Total!!5 to 17 years!!Speak other languages!!Speak English "well"","Estimate!!Total!!5 to 17 years!!Speak other languages!!Speak English "not well"","Margin of Error!!Total!!5 to 17 years!!Speak other languages!!Speak English "not well"","Estimate!!Total!!5 to 17 years!!Speak other languages!!Speak English "not at all"","Margin of Error!!Total!!5 to 17 years!!Speak other languages!!Speak English "not at all"","Estimate!!Total!!18 to 64 years","Margin of Error!!Total!!18 to 64 years","Estimate!!Total!!18 to 64 years!!Speak only English","Margin of Error!!Total!!18 to 64 years!!Speak only English","Estimate!!Total!!18 to 64 years!!Speak Spanish","Margin of Error!!Total!!18 to 64 years!!Speak Spanish","Estimate!!Total!!18 to 64 years!!Speak Spanish!!Speak English "very well"","Margin of Error!!Total!!18 to 64 years!!Speak Spanish!!Speak English "very well"","Estimate!!Total!!18 to 64 years!!Speak Spanish!!Speak English "well"","Margin of Error!!Total!!18 to 64 years!!Speak Spanish!!Speak English "well"","Estimate!!Total!!18 to 64 years!!Speak Spanish!!Speak English "not well"","Margin of Error!!Total!!18 to 64 years!!Speak Spanish!!Speak English "not well"","Estimate!!Total!!18 to 64 years!!Speak Spanish!!Speak English "not at all"","Margin of Error!!Total!!18 to 64 years!!Speak Spanish!!Speak English "not at all"","Estimate!!Total!!18 to 64 years!!Speak other Indo-European languages","Margin of Error!!Total!!18 to 64 years!!Speak other Indo-European languages","Estimate!!Total!!18 to 64 years!!Speak other Indo-European languages!!Speak English "very well"","Margin of Error!!Total!!18 to 64 years!!Speak other Indo-European languages!!Speak English "very well"","Estimate!!Total!!18 to 64 years!!Speak other Indo-European languages!!Speak English "well"","Margin of Error!!Total!!18 to 64 years!!Speak other Indo-European languages!!Speak English "well"","Estimate!!Total!!18 to 64 years!!Speak other Indo-European languages!!Speak English "not well"","Margin of Error!!Total!!18 to 64 years!!Speak other Indo-European languages!!Speak English "not well"","Estimate!!Total!!18 to 64 years!!Speak other Indo-European languages!!Speak English "not at all"","Margin of Error!!Total!!18 to 64 years!!Speak other Indo-European languages!!Speak English "not at all"","Estimate!!Total!!18 to 64 years!!Speak Asian and Pacific Island languages","Margin of Error!!Total!!18 to 64 years!!Speak Asian and Pacific Island languages","Estimate!!Total!!18 to 64 years!!Speak Asian and Pacific Island languages!!Speak English "very well"","Margin of Error!!Total!!18 to 64 years!!Speak Asian and Pacific Island languages!!Speak English "very well"","Estimate!!Total!!18 to 64 years!!Speak Asian and Pacific Island languages!!Speak English "well"","Margin of Error!!Total!!18 to 64 years!!Speak Asian and Pacific Island languages!!Speak English "well"","Estimate!!Total!!18 to 64 years!!Speak Asian and Pacific Island languages!!Speak English "not well"","Margin of Error!!Total!!18 to 64 years!!Speak Asian and Pacific Island languages!!Speak English "not well"","Estimate!!Total!!18 to 64 years!!Speak Asian and Pacific Island languages!!Speak English "not at all"","Margin of Error!!Total!!18 to 64 years!!Speak Asian and Pacific Island languages!!Speak English "not at all"","Estimate!!Total!!18 to 64 years!!Speak other languages","Margin of Error!!Total!!18 to 64 years!!Speak other languages","Estimate!!Total!!18 to 64 years!!Speak other languages!!Speak English "very well"","Margin of Error!!Total!!18 to 64 years!!Speak other languages!!Speak English "very well"","Estimate!!Total!!18 to 64 years!!Speak other languages!!Speak English "well"","Margin of Error!!Total!!18 to 64 years!!Speak other languages!!Speak English "well"","Estimate!!Total!!18 to 64 years!!Speak other languages!!Speak English "not well"","Margin of Error!!Total!!18 to 64 years!!Speak other languages!!Speak English "not well"","Estimate!!Total!!18 to 64 years!!Speak other languages!!Speak English "not at all"","Margin of Error!!Total!!18 to 64 years!!Speak other languages!!Speak English "not at all"","Estimate!!Total!!65 years and over","Margin of Error!!Total!!65 years and over","Estimate!!Total!!65 years and over!!Speak only English","Margin of Error!!Total!!65 years and over!!Speak only English","Estimate!!Total!!65 years and over!!Speak Spanish","Margin of Error!!Total!!65 years and over!!Speak Spanish","Estimate!!Total!!65 years and over!!Speak Spanish!!Speak English "very well"","Margin of Error!!Total!!65 years and over!!Speak Spanish!!Speak English "very well"","Estimate!!Total!!65 years and over!!Speak Spanish!!Speak English "well"","Margin of Error!!Total!!65 years and over!!Speak Spanish!!Speak English "well"","Estimate!!Total!!65 years and over!!Speak Spanish!!Speak English "not well"","Margin of Error!!Total!!65 years and over!!Speak Spanish!!Speak English "not well"","Estimate!!Total!!65 years and over!!Speak Spanish!!Speak English "not at all"","Margin of Error!!Total!!65 years and over!!Speak Spanish!!Speak English "not at all"","Estimate!!Total!!65 years and over!!Speak other Indo-European languages","Margin of Error!!Total!!65 years and over!!Speak other Indo-European languages","Estimate!!Total!!65 years and over!!Speak other Indo-European languages!!Speak English "very well"","Margin of Error!!Total!!65 years and over!!Speak other Indo-European languages!!Speak English "very well"","Estimate!!Total!!65 years and over!!Speak other Indo-European languages!!Speak English "well"","Margin of Error!!Total!!65 years and over!!Speak other Indo-European languages!!Speak English "well"","Estimate!!Total!!65 years and over!!Speak other Indo-European languages!!Speak English "not well"","Margin of Error!!Total!!65 years and over!!Speak other Indo-European languages!!Speak English "not well"","Estimate!!Total!!65 years and over!!Speak other Indo-European languages!!Speak English "not at all"","Margin of Error!!Total!!65 years and over!!Speak other Indo-European languages!!Speak English "not at all"","Estimate!!Total!!65 years and over!!Speak Asian and Pacific Island languages","Margin of Error!!Total!!65 years and over!!Speak Asian and Pacific Island languages","Estimate!!Total!!65 years and over!!Speak Asian and Pacific Island languages!!Speak English "very well"","Margin of Error!!Total!!65 years and over!!Speak Asian and Pacific Island languages!!Speak English "very well"","Estimate!!Total!!65 years and over!!Speak Asian and Pacific Island languages!!Speak English "well"","Margin of Error!!Total!!65 years and over!!Speak Asian and Pacific Island languages!!Speak English "well"","Estimate!!Total!!65 years and over!!Speak Asian and Pacific Island languages!!Speak English "not well"","Margin of Error!!Total!!65 years and over!!Speak Asian and Pacific Island languages!!Speak English "not well"","Estimate!!Total!!65 years and over!!Speak Asian and Pacific Island languages!!Speak English "not at all"","Margin of Error!!Total!!65 years and over!!Speak Asian and Pacific Island languages!!Speak English "not at all"","Estimate!!Total!!65 years and over!!Speak other languages","Margin of Error!!Total!!65 years and over!!Speak other languages","Estimate!!Total!!65 years and over!!Speak other languages!!Speak English "very well"","Margin of Error!!Total!!65 years and over!!Speak other languages!!Speak English "very well"","Estimate!!Total!!65 years and over!!Speak other languages!!Speak English "well"","Margin of Error!!Total!!65 years and over!!Speak other languages!!Speak English "well"","Estimate!!Total!!65 years and over!!Speak other languages!!Speak English "not well"","Margin of Error!!Total!!65 years and over!!Speak other languages!!Speak English "not well"","Estimate!!Total!!65 years and over!!Speak other languages!!Speak English "not at all"","Margin of Error!!Total!!65 years and over!!Speak other languages!!Speak English "not at all"",
"0100000US","United States","303066180","4092","53716390","6152","41787166","53972","8578252","42160","6929939","45165","1144035","10529","416068","5862","88210","2681","1489790","12828","1206712","11549","185798","3269","79425","2067","17855","981","1289978","9368","965346","9146","229212","3779","87630","2197","7790","680","571204","9116","460177","8131","74605","2657","30776","1838","5646","759","200111209","5800","154264864","124171","28177173","76318","15660208","33591","5104971","18767","4990179","40514","2421815","30061","7559143","35302","5316316","23831","1498102","11278","615005","8920","129720","4099","7725083","18872","4223792","14981","2053260","10521","1170174","9407","277857","6247","2384946","21214","1634648","15571","498233","7417","198068","4281","53997","2382","49238581","5463","41904465","25193","3500872","8897","1356529","7674","656734","5239","772643","7337","714966","10012","1965446","13514","1065581","7635","420892","4512","330139","5699","148834","4228","1555620","6421","473235","4531","393840","4922","437082","4958","251463","4250","312178","4457","169421","3112","65227","1932","48107","1725","29423","1545",
