"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","13,181,780","±104,462"
"    5 to 17 years:","2,682,842","±27,146"
"        Speak only English","198,401","±4,402"
"        Speak Spanish","1,870,555","±22,352"
"        Speak other Indo-European languages","198,955","±4,734"
"        Speak Asian and Pacific Island languages","306,108","±5,262"
"        Speak other languages","108,823","±3,839"
"    18 years and over:","10,498,938","±80,090"
"        Speak Spanish","6,434,004","±59,095"
"        Speak other Indo-European languages","1,418,773","±16,603"
"        Speak Asian and Pacific Island languages","2,229,195","±16,359"
"        Speak other languages","416,966","±8,418"
