"GEO_ID","NAME","B16001_001E","B16001_001M","B16001_002E","B16001_002M","B16001_003E","B16001_003M","B16001_004E","B16001_004M","B16001_005E","B16001_005M","B16001_006E","B16001_006M","B16001_007E","B16001_007M","B16001_008E","B16001_008M","B16001_009E","B16001_009M","B16001_010E","B16001_010M","B16001_011E","B16001_011M","B16001_012E","B16001_012M","B16001_013E","B16001_013M","B16001_014E","B16001_014M","B16001_015E","B16001_015M","B16001_016E","B16001_016M","B16001_017E","B16001_017M","B16001_018E","B16001_018M","B16001_019E","B16001_019M","B16001_020E","B16001_020M","B16001_021E","B16001_021M","B16001_022E","B16001_022M","B16001_023E","B16001_023M","B16001_024E","B16001_024M","B16001_025E","B16001_025M","B16001_026E","B16001_026M","B16001_027E","B16001_027M","B16001_028E","B16001_028M","B16001_029E","B16001_029M","B16001_030E","B16001_030M","B16001_031E","B16001_031M","B16001_032E","B16001_032M","B16001_033E","B16001_033M","B16001_034E","B16001_034M","B16001_035E","B16001_035M","B16001_036E","B16001_036M","B16001_037E","B16001_037M","B16001_038E","B16001_038M","B16001_039E","B16001_039M","B16001_040E","B16001_040M","B16001_041E","B16001_041M","B16001_042E","B16001_042M","B16001_043E","B16001_043M","B16001_044E","B16001_044M","B16001_045E","B16001_045M","B16001_046E","B16001_046M","B16001_047E","B16001_047M","B16001_048E","B16001_048M","B16001_049E","B16001_049M","B16001_050E","B16001_050M","B16001_051E","B16001_051M","B16001_052E","B16001_052M","B16001_053E","B16001_053M","B16001_054E","B16001_054M","B16001_055E","B16001_055M","B16001_056E","B16001_056M","B16001_057E","B16001_057M","B16001_058E","B16001_058M","B16001_059E","B16001_059M","B16001_060E","B16001_060M","B16001_061E","B16001_061M","B16001_062E","B16001_062M","B16001_063E","B16001_063M","B16001_064E","B16001_064M","B16001_065E","B16001_065M","B16001_066E","B16001_066M","B16001_067E","B16001_067M","B16001_068E","B16001_068M","B16001_069E","B16001_069M","B16001_070E","B16001_070M","B16001_071E","B16001_071M","B16001_072E","B16001_072M","B16001_073E","B16001_073M","B16001_074E","B16001_074M","B16001_075E","B16001_075M","B16001_076E","B16001_076M","B16001_077E","B16001_077M","B16001_078E","B16001_078M","B16001_079E","B16001_079M","B16001_080E","B16001_080M","B16001_081E","B16001_081M","B16001_082E","B16001_082M","B16001_083E","B16001_083M","B16001_084E","B16001_084M","B16001_085E","B16001_085M","B16001_086E","B16001_086M","B16001_087E","B16001_087M","B16001_088E","B16001_088M","B16001_089E","B16001_089M","B16001_090E","B16001_090M","B16001_091E","B16001_091M","B16001_092E","B16001_092M","B16001_093E","B16001_093M","B16001_094E","B16001_094M","B16001_095E","B16001_095M","B16001_096E","B16001_096M","B16001_097E","B16001_097M","B16001_098E","B16001_098M","B16001_099E","B16001_099M","B16001_100E","B16001_100M","B16001_101E","B16001_101M","B16001_102E","B16001_102M","B16001_103E","B16001_103M","B16001_104E","B16001_104M","B16001_105E","B16001_105M","B16001_106E","B16001_106M","B16001_107E","B16001_107M","B16001_108E","B16001_108M","B16001_109E","B16001_109M","B16001_110E","B16001_110M","B16001_111E","B16001_111M","B16001_112E","B16001_112M","B16001_113E","B16001_113M","B16001_114E","B16001_114M","B16001_115E","B16001_115M","B16001_116E","B16001_116M","B16001_117E","B16001_117M","B16001_118E","B16001_118M","B16001_119E","B16001_119M","B16001_120E","B16001_120M","B16001_121E","B16001_121M","B16001_122E","B16001_122M","B16001_123E","B16001_123M","B16001_124E","B16001_124M","B16001_125E","B16001_125M","B16001_126E","B16001_126M","B16001_127E","B16001_127M","B16001_128E","B16001_128M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Speak only English","Margin of Error!!Total!!Speak only English","Estimate!!Total!!Spanish","Margin of Error!!Total!!Spanish","Estimate!!Total!!Spanish!!Speak English "very well"","Margin of Error!!Total!!Spanish!!Speak English "very well"","Estimate!!Total!!Spanish!!Speak English less than "very well"","Margin of Error!!Total!!Spanish!!Speak English less than "very well"","Estimate!!Total!!French (incl. Cajun)","Margin of Error!!Total!!French (incl. Cajun)","Estimate!!Total!!French (incl. Cajun)!!Speak English "very well"","Margin of Error!!Total!!French (incl. Cajun)!!Speak English "very well"","Estimate!!Total!!French (incl. Cajun)!!Speak English less than "very well"","Margin of Error!!Total!!French (incl. Cajun)!!Speak English less than "very well"","Estimate!!Total!!Haitian","Margin of Error!!Total!!Haitian","Estimate!!Total!!Haitian!!Speak English "very well"","Margin of Error!!Total!!Haitian!!Speak English "very well"","Estimate!!Total!!Haitian!!Speak English less than "very well"","Margin of Error!!Total!!Haitian!!Speak English less than "very well"","Estimate!!Total!!Italian","Margin of Error!!Total!!Italian","Estimate!!Total!!Italian!!Speak English "very well"","Margin of Error!!Total!!Italian!!Speak English "very well"","Estimate!!Total!!Italian!!Speak English less than "very well"","Margin of Error!!Total!!Italian!!Speak English less than "very well"","Estimate!!Total!!Portuguese","Margin of Error!!Total!!Portuguese","Estimate!!Total!!Portuguese!!Speak English "very well"","Margin of Error!!Total!!Portuguese!!Speak English "very well"","Estimate!!Total!!Portuguese!!Speak English less than "very well"","Margin of Error!!Total!!Portuguese!!Speak English less than "very well"","Estimate!!Total!!German","Margin of Error!!Total!!German","Estimate!!Total!!German!!Speak English "very well"","Margin of Error!!Total!!German!!Speak English "very well"","Estimate!!Total!!German!!Speak English less than "very well"","Margin of Error!!Total!!German!!Speak English less than "very well"","Estimate!!Total!!Yiddish, Pennsylvania Dutch or other West Germanic languages","Margin of Error!!Total!!Yiddish, Pennsylvania Dutch or other West Germanic languages","Estimate!!Total!!Yiddish, Pennsylvania Dutch or other West Germanic languages!!Speak English "very well"","Margin of Error!!Total!!Yiddish, Pennsylvania Dutch or other West Germanic languages!!Speak English "very well"","Estimate!!Total!!Yiddish, Pennsylvania Dutch or other West Germanic languages!!Speak English less than "very well"","Margin of Error!!Total!!Yiddish, Pennsylvania Dutch or other West Germanic languages!!Speak English less than "very well"","Estimate!!Total!!Greek","Margin of Error!!Total!!Greek","Estimate!!Total!!Greek!!Speak English "very well"","Margin of Error!!Total!!Greek!!Speak English "very well"","Estimate!!Total!!Greek!!Speak English less than "very well"","Margin of Error!!Total!!Greek!!Speak English less than "very well"","Estimate!!Total!!Russian","Margin of Error!!Total!!Russian","Estimate!!Total!!Russian!!Speak English "very well"","Margin of Error!!Total!!Russian!!Speak English "very well"","Estimate!!Total!!Russian!!Speak English less than "very well"","Margin of Error!!Total!!Russian!!Speak English less than "very well"","Estimate!!Total!!Polish","Margin of Error!!Total!!Polish","Estimate!!Total!!Polish!!Speak English "very well"","Margin of Error!!Total!!Polish!!Speak English "very well"","Estimate!!Total!!Polish!!Speak English less than "very well"","Margin of Error!!Total!!Polish!!Speak English less than "very well"","Estimate!!Total!!Serbo-Croatian","Margin of Error!!Total!!Serbo-Croatian","Estimate!!Total!!Serbo-Croatian!!Speak English "very well"","Margin of Error!!Total!!Serbo-Croatian!!Speak English "very well"","Estimate!!Total!!Serbo-Croatian!!Speak English less than "very well"","Margin of Error!!Total!!Serbo-Croatian!!Speak English less than "very well"","Estimate!!Total!!Ukrainian or other Slavic languages","Margin of Error!!Total!!Ukrainian or other Slavic languages","Estimate!!Total!!Ukrainian or other Slavic languages!!Speak English "very well"","Margin of Error!!Total!!Ukrainian or other Slavic languages!!Speak English "very well"","Estimate!!Total!!Ukrainian or other Slavic languages!!Speak English less than "very well"","Margin of Error!!Total!!Ukrainian or other Slavic languages!!Speak English less than "very well"","Estimate!!Total!!Armenian","Margin of Error!!Total!!Armenian","Estimate!!Total!!Armenian!!Speak English "very well"","Margin of Error!!Total!!Armenian!!Speak English "very well"","Estimate!!Total!!Armenian!!Speak English less than "very well"","Margin of Error!!Total!!Armenian!!Speak English less than "very well"","Estimate!!Total!!Persian (incl. Farsi, Dari)","Margin of Error!!Total!!Persian (incl. Farsi, Dari)","Estimate!!Total!!Persian (incl. Farsi, Dari)!!Speak English "very well"","Margin of Error!!Total!!Persian (incl. Farsi, Dari)!!Speak English "very well"","Estimate!!Total!!Persian (incl. Farsi, Dari)!!Speak English less than "very well"","Margin of Error!!Total!!Persian (incl. Farsi, Dari)!!Speak English less than "very well"","Estimate!!Total!!Gujarati","Margin of Error!!Total!!Gujarati","Estimate!!Total!!Gujarati!!Speak English "very well"","Margin of Error!!Total!!Gujarati!!Speak English "very well"","Estimate!!Total!!Gujarati!!Speak English less than "very well"","Margin of Error!!Total!!Gujarati!!Speak English less than "very well"","Estimate!!Total!!Hindi","Margin of Error!!Total!!Hindi","Estimate!!Total!!Hindi!!Speak English "very well"","Margin of Error!!Total!!Hindi!!Speak English "very well"","Estimate!!Total!!Hindi!!Speak English less than "very well"","Margin of Error!!Total!!Hindi!!Speak English less than "very well"","Estimate!!Total!!Urdu","Margin of Error!!Total!!Urdu","Estimate!!Total!!Urdu!!Speak English "very well"","Margin of Error!!Total!!Urdu!!Speak English "very well"","Estimate!!Total!!Urdu!!Speak English less than "very well"","Margin of Error!!Total!!Urdu!!Speak English less than "very well"","Estimate!!Total!!Punjabi","Margin of Error!!Total!!Punjabi","Estimate!!Total!!Punjabi!!Speak English "very well"","Margin of Error!!Total!!Punjabi!!Speak English "very well"","Estimate!!Total!!Punjabi!!Speak English less than "very well"","Margin of Error!!Total!!Punjabi!!Speak English less than "very well"","Estimate!!Total!!Bengali","Margin of Error!!Total!!Bengali","Estimate!!Total!!Bengali!!Speak English "very well"","Margin of Error!!Total!!Bengali!!Speak English "very well"","Estimate!!Total!!Bengali!!Speak English less than "very well"","Margin of Error!!Total!!Bengali!!Speak English less than "very well"","Estimate!!Total!!Nepali, Marathi, or other Indic languages","Margin of Error!!Total!!Nepali, Marathi, or other Indic languages","Estimate!!Total!!Nepali, Marathi, or other Indic languages!!Speak English "very well"","Margin of Error!!Total!!Nepali, Marathi, or other Indic languages!!Speak English "very well"","Estimate!!Total!!Nepali, Marathi, or other Indic languages!!Speak English less than "very well"","Margin of Error!!Total!!Nepali, Marathi, or other Indic languages!!Speak English less than "very well"","Estimate!!Total!!Other Indo-European languages","Margin of Error!!Total!!Other Indo-European languages","Estimate!!Total!!Other Indo-European languages!!Speak English "very well"","Margin of Error!!Total!!Other Indo-European languages!!Speak English "very well"","Estimate!!Total!!Other Indo-European languages!!Speak English less than "very well"","Margin of Error!!Total!!Other Indo-European languages!!Speak English less than "very well"","Estimate!!Total!!Telugu","Margin of Error!!Total!!Telugu","Estimate!!Total!!Telugu!!Speak English "very well"","Margin of Error!!Total!!Telugu!!Speak English "very well"","Estimate!!Total!!Telugu!!Speak English less than "very well"","Margin of Error!!Total!!Telugu!!Speak English less than "very well"","Estimate!!Total!!Tamil","Margin of Error!!Total!!Tamil","Estimate!!Total!!Tamil!!Speak English "very well"","Margin of Error!!Total!!Tamil!!Speak English "very well"","Estimate!!Total!!Tamil!!Speak English less than "very well"","Margin of Error!!Total!!Tamil!!Speak English less than "very well"","Estimate!!Total!!Malayalam, Kannada, or other Dravidian languages","Margin of Error!!Total!!Malayalam, Kannada, or other Dravidian languages","Estimate!!Total!!Malayalam, Kannada, or other Dravidian languages!!Speak English "very well"","Margin of Error!!Total!!Malayalam, Kannada, or other Dravidian languages!!Speak English "very well"","Estimate!!Total!!Malayalam, Kannada, or other Dravidian languages!!Speak English less than "very well"","Margin of Error!!Total!!Malayalam, Kannada, or other Dravidian languages!!Speak English less than "very well"","Estimate!!Total!!Chinese (incl. Mandarin, Cantonese)","Margin of Error!!Total!!Chinese (incl. Mandarin, Cantonese)","Estimate!!Total!!Chinese (incl. Mandarin, Cantonese)!!Speak English "very well"","Margin of Error!!Total!!Chinese (incl. Mandarin, Cantonese)!!Speak English "very well"","Estimate!!Total!!Chinese (incl. Mandarin, Cantonese)!!Speak English less than "very well"","Margin of Error!!Total!!Chinese (incl. Mandarin, Cantonese)!!Speak English less than "very well"","Estimate!!Total!!Japanese","Margin of Error!!Total!!Japanese","Estimate!!Total!!Japanese!!Speak English "very well"","Margin of Error!!Total!!Japanese!!Speak English "very well"","Estimate!!Total!!Japanese!!Speak English less than "very well"","Margin of Error!!Total!!Japanese!!Speak English less than "very well"","Estimate!!Total!!Korean","Margin of Error!!Total!!Korean","Estimate!!Total!!Korean!!Speak English "very well"","Margin of Error!!Total!!Korean!!Speak English "very well"","Estimate!!Total!!Korean!!Speak English less than "very well"","Margin of Error!!Total!!Korean!!Speak English less than "very well"","Estimate!!Total!!Hmong","Margin of Error!!Total!!Hmong","Estimate!!Total!!Hmong!!Speak English "very well"","Margin of Error!!Total!!Hmong!!Speak English "very well"","Estimate!!Total!!Hmong!!Speak English less than "very well"","Margin of Error!!Total!!Hmong!!Speak English less than "very well"","Estimate!!Total!!Vietnamese","Margin of Error!!Total!!Vietnamese","Estimate!!Total!!Vietnamese!!Speak English "very well"","Margin of Error!!Total!!Vietnamese!!Speak English "very well"","Estimate!!Total!!Vietnamese!!Speak English less than "very well"","Margin of Error!!Total!!Vietnamese!!Speak English less than "very well"","Estimate!!Total!!Khmer","Margin of Error!!Total!!Khmer","Estimate!!Total!!Khmer!!Speak English "very well"","Margin of Error!!Total!!Khmer!!Speak English "very well"","Estimate!!Total!!Khmer!!Speak English less than "very well"","Margin of Error!!Total!!Khmer!!Speak English less than "very well"","Estimate!!Total!!Thai, Lao, or other Tai-Kadai languages","Margin of Error!!Total!!Thai, Lao, or other Tai-Kadai languages","Estimate!!Total!!Thai, Lao, or other Tai-Kadai languages!!Speak English "very well"","Margin of Error!!Total!!Thai, Lao, or other Tai-Kadai languages!!Speak English "very well"","Estimate!!Total!!Thai, Lao, or other Tai-Kadai languages!!Speak English less than "very well"","Margin of Error!!Total!!Thai, Lao, or other Tai-Kadai languages!!Speak English less than "very well"","Estimate!!Total!!Other languages of Asia","Margin of Error!!Total!!Other languages of Asia","Estimate!!Total!!Other languages of Asia!!Speak English "very well"","Margin of Error!!Total!!Other languages of Asia!!Speak English "very well"","Estimate!!Total!!Other languages of Asia!!Speak English less than "very well"","Margin of Error!!Total!!Other languages of Asia!!Speak English less than "very well"","Estimate!!Total!!Tagalog (incl. Filipino)","Margin of Error!!Total!!Tagalog (incl. Filipino)","Estimate!!Total!!Tagalog (incl. Filipino)!!Speak English "very well"","Margin of Error!!Total!!Tagalog (incl. Filipino)!!Speak English "very well"","Estimate!!Total!!Tagalog (incl. Filipino)!!Speak English less than "very well"","Margin of Error!!Total!!Tagalog (incl. Filipino)!!Speak English less than "very well"","Estimate!!Total!!Ilocano, Samoan, Hawaiian, or other Austronesian languages","Margin of Error!!Total!!Ilocano, Samoan, Hawaiian, or other Austronesian languages","Estimate!!Total!!Ilocano, Samoan, Hawaiian, or other Austronesian languages!!Speak English "very well"","Margin of Error!!Total!!Ilocano, Samoan, Hawaiian, or other Austronesian languages!!Speak English "very well"","Estimate!!Total!!Ilocano, Samoan, Hawaiian, or other Austronesian languages!!Speak English less than "very well"","Margin of Error!!Total!!Ilocano, Samoan, Hawaiian, or other Austronesian languages!!Speak English less than "very well"","Estimate!!Total!!Arabic","Margin of Error!!Total!!Arabic","Estimate!!Total!!Arabic!!Speak English "very well"","Margin of Error!!Total!!Arabic!!Speak English "very well"","Estimate!!Total!!Arabic!!Speak English less than "very well"","Margin of Error!!Total!!Arabic!!Speak English less than "very well"","Estimate!!Total!!Hebrew","Margin of Error!!Total!!Hebrew","Estimate!!Total!!Hebrew!!Speak English "very well"","Margin of Error!!Total!!Hebrew!!Speak English "very well"","Estimate!!Total!!Hebrew!!Speak English less than "very well"","Margin of Error!!Total!!Hebrew!!Speak English less than "very well"","Estimate!!Total!!Amharic, Somali, or other Afro-Asiatic languages","Margin of Error!!Total!!Amharic, Somali, or other Afro-Asiatic languages","Estimate!!Total!!Amharic, Somali, or other Afro-Asiatic languages!!Speak English "very well"","Margin of Error!!Total!!Amharic, Somali, or other Afro-Asiatic languages!!Speak English "very well"","Estimate!!Total!!Amharic, Somali, or other Afro-Asiatic languages!!Speak English less than "very well"","Margin of Error!!Total!!Amharic, Somali, or other Afro-Asiatic languages!!Speak English less than "very well"","Estimate!!Total!!Yoruba, Twi, Igbo, or other languages of Western Africa","Margin of Error!!Total!!Yoruba, Twi, Igbo, or other languages of Western Africa","Estimate!!Total!!Yoruba, Twi, Igbo, or other languages of Western Africa!!Speak English "very well"","Margin of Error!!Total!!Yoruba, Twi, Igbo, or other languages of Western Africa!!Speak English "very well"","Estimate!!Total!!Yoruba, Twi, Igbo, or other languages of Western Africa!!Speak English less than "very well"","Margin of Error!!Total!!Yoruba, Twi, Igbo, or other languages of Western Africa!!Speak English less than "very well"","Estimate!!Total!!Swahili or other languages of Central, Eastern, and Southern Africa","Margin of Error!!Total!!Swahili or other languages of Central, Eastern, and Southern Africa","Estimate!!Total!!Swahili or other languages of Central, Eastern, and Southern Africa!!Speak English "very well"","Margin of Error!!Total!!Swahili or other languages of Central, Eastern, and Southern Africa!!Speak English "very well"","Estimate!!Total!!Swahili or other languages of Central, Eastern, and Southern Africa!!Speak English less than "very well"","Margin of Error!!Total!!Swahili or other languages of Central, Eastern, and Southern Africa!!Speak English less than "very well"","Estimate!!Total!!Navajo","Margin of Error!!Total!!Navajo","Estimate!!Total!!Navajo!!Speak English "very well"","Margin of Error!!Total!!Navajo!!Speak English "very well"","Estimate!!Total!!Navajo!!Speak English less than "very well"","Margin of Error!!Total!!Navajo!!Speak English less than "very well"","Estimate!!Total!!Other Native languages of North America","Margin of Error!!Total!!Other Native languages of North America","Estimate!!Total!!Other Native languages of North America!!Speak English "very well"","Margin of Error!!Total!!Other Native languages of North America!!Speak English "very well"","Estimate!!Total!!Other Native languages of North America!!Speak English less than "very well"","Margin of Error!!Total!!Other Native languages of North America!!Speak English less than "very well"","Estimate!!Total!!Other and unspecified languages","Margin of Error!!Total!!Other and unspecified languages","Estimate!!Total!!Other and unspecified languages!!Speak English "very well"","Margin of Error!!Total!!Other and unspecified languages!!Speak English "very well"","Estimate!!Total!!Other and unspecified languages!!Speak English less than "very well"","Margin of Error!!Total!!Other and unspecified languages!!Speak English less than "very well"",
"0100000US","United States","303066180","4092","237956495","196881","40256297","121016","23946676","65624","16309621","69268","1206725","9396","956729","8341","249996","4707","834451","12869","503411","9355","331040","6586","590849","6646","436524","5740","154325","2691","747283","9318","482820","6341","264463","5722","913869","8905","777394","8308","136475","2989","493169","6660","350622","5590","142547","2987","275760","5283","207234","4451","68526","2113","910989","10757","514455","7161","396534","6208","525441","7494","324874","5655","200567","3693","246213","5966","160345","4282","85868","2809","328413","5900","208954","4320","119459","2910","234502","4489","133804","3506","100698","2550","427025","8009","266541","5601","160484","4131","408340","7457","269734","5400","138606","4043","818715","11272","654342","9319","164373","4576","475987","9985","337545","7753","138442","4280","294800","7703","175384","4990","119416","4178","322507","7115","188832","4622","133675","4080","403878","8825","249181","6302","154697","5335","555463","8581","389884","6575","165579","4421","373782","6815","299358","5628","74424","2629","274744","6061","226642","5220","48102","2167","248238","4825","191177","4031","57061","2280","3347300","16982","1520471","10779","1826829","12346","456210","6163","266034","4396","190176","3741","1094248","10328","510513","6467","583735","5786","229505","4679","135135","3438","94370","2755","1488512","16614","618981","9494","869531","10367","203924","5305","99716","3461","104208","3157","304342","6211","152060","3565","152282","4087","380317","8550","177378","4439","202939","5469","1716359","11648","1181607","10705","534752","6440","453200","7216","283301","5092","169899","4433","1172841","20973","737505","14431","435336","9346","214920","5978","182078","5492","32842","1587","518612","9731","293754","6622","224858","5465","512287","8541","400403","7037","111884","3584","229834","7097","162383","5490","67451","2859","167795","2578","135017","2756","32778","1133","190021","2942","162722","2877","27299","1084","262018","5719","190384","4744","71634","2830",
