"Label (Grouping)","Gainesville CCD, Alachua County, Florida!!Estimate","Gainesville CCD, Alachua County, Florida!!Margin of Error"
"Total:","199,444","±2,065"
"    Native","173,178","±2,797"
"    Foreign-born","26,266","±1,929"
