"GEO_ID","NAME","S1602_C01_001E","S1602_C01_001M","S1602_C01_002E","S1602_C01_002M","S1602_C01_003E","S1602_C01_003M","S1602_C01_004E","S1602_C01_004M","S1602_C01_005E","S1602_C01_005M","S1602_C01_006E","S1602_C01_006M","S1602_C01_007E","S1602_C01_007M","S1602_C01_008E","S1602_C01_008M",
"Geography","Geographic Area Name","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!All households","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!All households","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!Households speaking!!Spanish","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!Households speaking!!Spanish","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!Households speaking!!Other Indo-European languages","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!Households speaking!!Other Indo-European languages","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!Households speaking!!Asian and Pacific Island languages","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!Households speaking!!Asian and Pacific Island languages","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!Households speaking!!Other languages","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!Households speaking!!Other languages","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!PERCENT IMPUTED!!Language status","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!PERCENT IMPUTED!!Language status","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!PERCENT IMPUTED!!Language status (speak a language other than English)","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!PERCENT IMPUTED!!Language status (speak a language other than English)","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!PERCENT IMPUTED!!Ability to speak English","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!PERCENT IMPUTED!!Ability to speak English",
"0600000US1200191248","Gainesville CCD, Alachua County, Florida","2.6","0.4","7.7","2.5","7.3","3.1","34.7","4.6","28.3","16.1","4.0","(X)","3.3","(X)","4.4","(X)",
