"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B16005_001E","Estimate!!Total"
"B16005_001M","Margin of Error!!Total"
"B16005_002E","Estimate!!Total!!Native"
"B16005_002M","Margin of Error!!Total!!Native"
"B16005_003E","Estimate!!Total!!Native!!Speak only English"
"B16005_003M","Margin of Error!!Total!!Native!!Speak only English"
"B16005_004E","Estimate!!Total!!Native!!Speak Spanish"
"B16005_004M","Margin of Error!!Total!!Native!!Speak Spanish"
"B16005_005E","Estimate!!Total!!Native!!Speak Spanish!!Speak English "very well""
"B16005_005M","Margin of Error!!Total!!Native!!Speak Spanish!!Speak English "very well""
"B16005_006E","Estimate!!Total!!Native!!Speak Spanish!!Speak English "well""
"B16005_006M","Margin of Error!!Total!!Native!!Speak Spanish!!Speak English "well""
"B16005_007E","Estimate!!Total!!Native!!Speak Spanish!!Speak English "not well""
"B16005_007M","Margin of Error!!Total!!Native!!Speak Spanish!!Speak English "not well""
"B16005_008E","Estimate!!Total!!Native!!Speak Spanish!!Speak English "not at all""
"B16005_008M","Margin of Error!!Total!!Native!!Speak Spanish!!Speak English "not at all""
"B16005_009E","Estimate!!Total!!Native!!Speak other Indo-European languages"
"B16005_009M","Margin of Error!!Total!!Native!!Speak other Indo-European languages"
"B16005_010E","Estimate!!Total!!Native!!Speak other Indo-European languages!!Speak English "very well""
"B16005_010M","Margin of Error!!Total!!Native!!Speak other Indo-European languages!!Speak English "very well""
"B16005_011E","Estimate!!Total!!Native!!Speak other Indo-European languages!!Speak English "well""
"B16005_011M","Margin of Error!!Total!!Native!!Speak other Indo-European languages!!Speak English "well""
"B16005_012E","Estimate!!Total!!Native!!Speak other Indo-European languages!!Speak English "not well""
"B16005_012M","Margin of Error!!Total!!Native!!Speak other Indo-European languages!!Speak English "not well""
"B16005_013E","Estimate!!Total!!Native!!Speak other Indo-European languages!!Speak English "not at all""
"B16005_013M","Margin of Error!!Total!!Native!!Speak other Indo-European languages!!Speak English "not at all""
"B16005_014E","Estimate!!Total!!Native!!Speak Asian and Pacific Island languages"
"B16005_014M","Margin of Error!!Total!!Native!!Speak Asian and Pacific Island languages"
"B16005_015E","Estimate!!Total!!Native!!Speak Asian and Pacific Island languages!!Speak English "very well""
"B16005_015M","Margin of Error!!Total!!Native!!Speak Asian and Pacific Island languages!!Speak English "very well""
"B16005_016E","Estimate!!Total!!Native!!Speak Asian and Pacific Island languages!!Speak English "well""
"B16005_016M","Margin of Error!!Total!!Native!!Speak Asian and Pacific Island languages!!Speak English "well""
"B16005_017E","Estimate!!Total!!Native!!Speak Asian and Pacific Island languages!!Speak English "not well""
"B16005_017M","Margin of Error!!Total!!Native!!Speak Asian and Pacific Island languages!!Speak English "not well""
"B16005_018E","Estimate!!Total!!Native!!Speak Asian and Pacific Island languages!!Speak English "not at all""
"B16005_018M","Margin of Error!!Total!!Native!!Speak Asian and Pacific Island languages!!Speak English "not at all""
"B16005_019E","Estimate!!Total!!Native!!Speak other languages"
"B16005_019M","Margin of Error!!Total!!Native!!Speak other languages"
"B16005_020E","Estimate!!Total!!Native!!Speak other languages!!Speak English "very well""
"B16005_020M","Margin of Error!!Total!!Native!!Speak other languages!!Speak English "very well""
"B16005_021E","Estimate!!Total!!Native!!Speak other languages!!Speak English "well""
"B16005_021M","Margin of Error!!Total!!Native!!Speak other languages!!Speak English "well""
"B16005_022E","Estimate!!Total!!Native!!Speak other languages!!Speak English "not well""
"B16005_022M","Margin of Error!!Total!!Native!!Speak other languages!!Speak English "not well""
"B16005_023E","Estimate!!Total!!Native!!Speak other languages!!Speak English "not at all""
"B16005_023M","Margin of Error!!Total!!Native!!Speak other languages!!Speak English "not at all""
"B16005_024E","Estimate!!Total!!Foreign born"
"B16005_024M","Margin of Error!!Total!!Foreign born"
"B16005_025E","Estimate!!Total!!Foreign born!!Speak only English"
"B16005_025M","Margin of Error!!Total!!Foreign born!!Speak only English"
"B16005_026E","Estimate!!Total!!Foreign born!!Speak Spanish"
"B16005_026M","Margin of Error!!Total!!Foreign born!!Speak Spanish"
"B16005_027E","Estimate!!Total!!Foreign born!!Speak Spanish!!Speak English "very well""
"B16005_027M","Margin of Error!!Total!!Foreign born!!Speak Spanish!!Speak English "very well""
