"GEO_ID","NAME","B05013_001E","B05013_001M","B05013_002E","B05013_002M","B05013_003E","B05013_003M","B05013_004E","B05013_004M","B05013_005E","B05013_005M","B05013_006E","B05013_006M","B05013_007E","B05013_007M","B05013_008E","B05013_008M","B05013_009E","B05013_009M","B05013_010E","B05013_010M","B05013_011E","B05013_011M","B05013_012E","B05013_012M","B05013_013E","B05013_013M","B05013_014E","B05013_014M","B05013_015E","B05013_015M","B05013_016E","B05013_016M","B05013_017E","B05013_017M","B05013_018E","B05013_018M","B05013_019E","B05013_019M","B05013_020E","B05013_020M","B05013_021E","B05013_021M","B05013_022E","B05013_022M","B05013_023E","B05013_023M","B05013_024E","B05013_024M","B05013_025E","B05013_025M","B05013_026E","B05013_026M","B05013_027E","B05013_027M","B05013_028E","B05013_028M","B05013_029E","B05013_029M","B05013_030E","B05013_030M","B05013_031E","B05013_031M","B05013_032E","B05013_032M","B05013_033E","B05013_033M","B05013_034E","B05013_034M","B05013_035E","B05013_035M","B05013_036E","B05013_036M","B05013_037E","B05013_037M","B05013_038E","B05013_038M","B05013_039E","B05013_039M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 5 years","Margin of Error!!Total!!Male!!Under 5 years","Estimate!!Total!!Male!!5 to 9 years","Margin of Error!!Total!!Male!!5 to 9 years","Estimate!!Total!!Male!!10 to 14 years","Margin of Error!!Total!!Male!!10 to 14 years","Estimate!!Total!!Male!!15 to 19 years","Margin of Error!!Total!!Male!!15 to 19 years","Estimate!!Total!!Male!!20 to 24 years","Margin of Error!!Total!!Male!!20 to 24 years","Estimate!!Total!!Male!!25 to 29 years","Margin of Error!!Total!!Male!!25 to 29 years","Estimate!!Total!!Male!!30 to 34 years","Margin of Error!!Total!!Male!!30 to 34 years","Estimate!!Total!!Male!!35 to 39 years","Margin of Error!!Total!!Male!!35 to 39 years","Estimate!!Total!!Male!!40 to 44 years","Margin of Error!!Total!!Male!!40 to 44 years","Estimate!!Total!!Male!!45 to 49 years","Margin of Error!!Total!!Male!!45 to 49 years","Estimate!!Total!!Male!!50 to 54 years","Margin of Error!!Total!!Male!!50 to 54 years","Estimate!!Total!!Male!!55 to 59 years","Margin of Error!!Total!!Male!!55 to 59 years","Estimate!!Total!!Male!!60 to 64 years","Margin of Error!!Total!!Male!!60 to 64 years","Estimate!!Total!!Male!!65 to 69 years","Margin of Error!!Total!!Male!!65 to 69 years","Estimate!!Total!!Male!!70 to 74 years","Margin of Error!!Total!!Male!!70 to 74 years","Estimate!!Total!!Male!!75 to 79 years","Margin of Error!!Total!!Male!!75 to 79 years","Estimate!!Total!!Male!!80 to 84 years","Margin of Error!!Total!!Male!!80 to 84 years","Estimate!!Total!!Male!!85 years and over","Margin of Error!!Total!!Male!!85 years and over","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 5 years","Margin of Error!!Total!!Female!!Under 5 years","Estimate!!Total!!Female!!5 to 9 years","Margin of Error!!Total!!Female!!5 to 9 years","Estimate!!Total!!Female!!10 to 14 years","Margin of Error!!Total!!Female!!10 to 14 years","Estimate!!Total!!Female!!15 to 19 years","Margin of Error!!Total!!Female!!15 to 19 years","Estimate!!Total!!Female!!20 to 24 years","Margin of Error!!Total!!Female!!20 to 24 years","Estimate!!Total!!Female!!25 to 29 years","Margin of Error!!Total!!Female!!25 to 29 years","Estimate!!Total!!Female!!30 to 34 years","Margin of Error!!Total!!Female!!30 to 34 years","Estimate!!Total!!Female!!35 to 39 years","Margin of Error!!Total!!Female!!35 to 39 years","Estimate!!Total!!Female!!40 to 44 years","Margin of Error!!Total!!Female!!40 to 44 years","Estimate!!Total!!Female!!45 to 49 years","Margin of Error!!Total!!Female!!45 to 49 years","Estimate!!Total!!Female!!50 to 54 years","Margin of Error!!Total!!Female!!50 to 54 years","Estimate!!Total!!Female!!55 to 59 years","Margin of Error!!Total!!Female!!55 to 59 years","Estimate!!Total!!Female!!60 to 64 years","Margin of Error!!Total!!Female!!60 to 64 years","Estimate!!Total!!Female!!65 to 69 years","Margin of Error!!Total!!Female!!65 to 69 years","Estimate!!Total!!Female!!70 to 74 years","Margin of Error!!Total!!Female!!70 to 74 years","Estimate!!Total!!Female!!75 to 79 years","Margin of Error!!Total!!Female!!75 to 79 years","Estimate!!Total!!Female!!80 to 84 years","Margin of Error!!Total!!Female!!80 to 84 years","Estimate!!Total!!Female!!85 years and over","Margin of Error!!Total!!Female!!85 years and over",
"0600000US1200191248","Gainesville CCD, Alachua County, Florida","20427","1249","9491","780","45","50","161","112","190","156","649","163","1616","339","1582","292","794","239","833","208","739","226","618","127","507","129","543","165","456","141","199","93","226","70","167","73","103","66","63","48","10936","746","37","41","199","148","51","40","669","163","2064","488","1311","244","1047","250","768","170","907","226","555","129","798","155","704","147","579","135","509","160","209","104","340","129","121","71","68","46",
