"Label (Grouping)","Gainesville CCD, Alachua County, Florida!!Estimate","Gainesville CCD, Alachua County, Florida!!Margin of Error"
"Total:","38,503","±1,563"
"    Has a computer:","37,517","±1,553"
"        With dial-up Internet subscription alone","0","±35"
"        With a broadband Internet subscription","31,219","±1,900"
"        Without an Internet subscription","6,298","±1,183"
"    No Computer","986","±352"
