"","Spanish","Indo_Euro","Asian_Pacific","Other"
"teen",0.0609270629512179,0.0838404327248141,0.129634605051048,0.123249299719888
"pov",0.291883138789555,0.243182330403426,0.204056958624395,0.376470588235294
