"GEO_ID","NAME","B16009_001E","B16009_001M","B16009_002E","B16009_002M","B16009_003E","B16009_003M","B16009_004E","B16009_004M","B16009_005E","B16009_005M","B16009_006E","B16009_006M","B16009_007E","B16009_007M","B16009_008E","B16009_008M","B16009_009E","B16009_009M","B16009_010E","B16009_010M","B16009_011E","B16009_011M","B16009_012E","B16009_012M","B16009_013E","B16009_013M","B16009_014E","B16009_014M","B16009_015E","B16009_015M","B16009_016E","B16009_016M","B16009_017E","B16009_017M","B16009_018E","B16009_018M","B16009_019E","B16009_019M","B16009_020E","B16009_020M","B16009_021E","B16009_021M","B16009_022E","B16009_022M","B16009_023E","B16009_023M","B16009_024E","B16009_024M","B16009_025E","B16009_025M","B16009_026E","B16009_026M","B16009_027E","B16009_027M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Income in the past 12 months below poverty level:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!5 to 17 years:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!5 to 17 years:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!5 to 17 years:!!Speak only English","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!5 to 17 years:!!Speak only English","Estimate!!Total:!!Income in the past 12 months below poverty level:!!5 to 17 years:!!Speak Spanish","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!5 to 17 years:!!Speak Spanish","Estimate!!Total:!!Income in the past 12 months below poverty level:!!5 to 17 years:!!Speak other Indo-European languages","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!5 to 17 years:!!Speak other Indo-European languages","Estimate!!Total:!!Income in the past 12 months below poverty level:!!5 to 17 years:!!Speak Asian and Pacific Island languages","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!5 to 17 years:!!Speak Asian and Pacific Island languages","Estimate!!Total:!!Income in the past 12 months below poverty level:!!5 to 17 years:!!Speak other languages","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!5 to 17 years:!!Speak other languages","Estimate!!Total:!!Income in the past 12 months below poverty level:!!18 years and over:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!18 years and over:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!18 years and over:!!Speak only English","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!18 years and over:!!Speak only English","Estimate!!Total:!!Income in the past 12 months below poverty level:!!18 years and over:!!Speak Spanish","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!18 years and over:!!Speak Spanish","Estimate!!Total:!!Income in the past 12 months below poverty level:!!18 years and over:!!Speak other Indo-European languages","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!18 years and over:!!Speak other Indo-European languages","Estimate!!Total:!!Income in the past 12 months below poverty level:!!18 years and over:!!Speak Asian and Pacific Island languages","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!18 years and over:!!Speak Asian and Pacific Island languages","Estimate!!Total:!!Income in the past 12 months below poverty level:!!18 years and over:!!Speak other languages","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!18 years and over:!!Speak other languages","Estimate!!Total:!!Income in the past 12 months at or above poverty level:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!5 to 17 years:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!5 to 17 years:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!5 to 17 years:!!Speak only English","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!5 to 17 years:!!Speak only English","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!5 to 17 years:!!Speak Spanish","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!5 to 17 years:!!Speak Spanish","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!5 to 17 years:!!Speak other Indo-European languages","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!5 to 17 years:!!Speak other Indo-European languages","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!5 to 17 years:!!Speak Asian and Pacific Island languages","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!5 to 17 years:!!Speak Asian and Pacific Island languages","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!5 to 17 years:!!Speak other languages","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!5 to 17 years:!!Speak other languages","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!18 years and over:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!18 years and over:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!18 years and over:!!Speak only English","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!18 years and over:!!Speak only English","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!18 years and over:!!Speak Spanish","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!18 years and over:!!Speak Spanish","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!18 years and over:!!Speak other Indo-European languages","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!18 years and over:!!Speak other Indo-European languages","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!18 years and over:!!Speak Asian and Pacific Island languages","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!18 years and over:!!Speak Asian and Pacific Island languages","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!18 years and over:!!Speak other languages","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!18 years and over:!!Speak other languages",
"0600000US1200191248","Gainesville CCD, Alachua County, Florida","174016","2060","45915","2780","4706","951","4215","941","190","153","146","129","35","46","120","131","41209","2256","33025","2143","4136","801","2012","572","1484","328","552","310","128101","3391","17219","1120","14878","1085","713","326","598","268","930","265","100","91","110882","2806","88974","3031","9782","991","6118","932","4995","616","1013","350",
