"GEO_ID","NAME","B16002_001E","B16002_001M","B16002_002E","B16002_002M","B16002_003E","B16002_003M","B16002_004E","B16002_004M","B16002_005E","B16002_005M","B16002_006E","B16002_006M","B16002_007E","B16002_007M","B16002_008E","B16002_008M","B16002_009E","B16002_009M","B16002_010E","B16002_010M","B16002_011E","B16002_011M","B16002_012E","B16002_012M","B16002_013E","B16002_013M","B16002_014E","B16002_014M","B16002_015E","B16002_015M","B16002_016E","B16002_016M","B16002_017E","B16002_017M","B16002_018E","B16002_018M","B16002_019E","B16002_019M","B16002_020E","B16002_020M","B16002_021E","B16002_021M","B16002_022E","B16002_022M","B16002_023E","B16002_023M","B16002_024E","B16002_024M","B16002_025E","B16002_025M","B16002_026E","B16002_026M","B16002_027E","B16002_027M","B16002_028E","B16002_028M","B16002_029E","B16002_029M","B16002_030E","B16002_030M","B16002_031E","B16002_031M","B16002_032E","B16002_032M","B16002_033E","B16002_033M","B16002_034E","B16002_034M","B16002_035E","B16002_035M","B16002_036E","B16002_036M","B16002_037E","B16002_037M","B16002_038E","B16002_038M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!English only","Margin of Error!!Total:!!English only","Estimate!!Total:!!Spanish:","Margin of Error!!Total:!!Spanish:","Estimate!!Total:!!Spanish:!!Limited English speaking household","Margin of Error!!Total:!!Spanish:!!Limited English speaking household","Estimate!!Total:!!Spanish:!!Not a limited English speaking household","Margin of Error!!Total:!!Spanish:!!Not a limited English speaking household","Estimate!!Total:!!French, Haitian, or Cajun:","Margin of Error!!Total:!!French, Haitian, or Cajun:","Estimate!!Total:!!French, Haitian, or Cajun:!!Limited English speaking household","Margin of Error!!Total:!!French, Haitian, or Cajun:!!Limited English speaking household","Estimate!!Total:!!French, Haitian, or Cajun:!!Not a limited English speaking household","Margin of Error!!Total:!!French, Haitian, or Cajun:!!Not a limited English speaking household","Estimate!!Total:!!German or other West Germanic languages:","Margin of Error!!Total:!!German or other West Germanic languages:","Estimate!!Total:!!German or other West Germanic languages:!!Limited English speaking household","Margin of Error!!Total:!!German or other West Germanic languages:!!Limited English speaking household","Estimate!!Total:!!German or other West Germanic languages:!!Not a limited English speaking household","Margin of Error!!Total:!!German or other West Germanic languages:!!Not a limited English speaking household","Estimate!!Total:!!Russian, Polish, or other Slavic languages:","Margin of Error!!Total:!!Russian, Polish, or other Slavic languages:","Estimate!!Total:!!Russian, Polish, or other Slavic languages:!!Limited English speaking household","Margin of Error!!Total:!!Russian, Polish, or other Slavic languages:!!Limited English speaking household","Estimate!!Total:!!Russian, Polish, or other Slavic languages:!!Not a limited English speaking household","Margin of Error!!Total:!!Russian, Polish, or other Slavic languages:!!Not a limited English speaking household","Estimate!!Total:!!Other Indo-European languages:","Margin of Error!!Total:!!Other Indo-European languages:","Estimate!!Total:!!Other Indo-European languages:!!Limited English speaking household","Margin of Error!!Total:!!Other Indo-European languages:!!Limited English speaking household","Estimate!!Total:!!Other Indo-European languages:!!Not a limited English speaking household","Margin of Error!!Total:!!Other Indo-European languages:!!Not a limited English speaking household","Estimate!!Total:!!Korean:","Margin of Error!!Total:!!Korean:","Estimate!!Total:!!Korean:!!Limited English speaking household","Margin of Error!!Total:!!Korean:!!Limited English speaking household","Estimate!!Total:!!Korean:!!Not a limited English speaking household","Margin of Error!!Total:!!Korean:!!Not a limited English speaking household","Estimate!!Total:!!Chinese (incl. Mandarin, Cantonese):","Margin of Error!!Total:!!Chinese (incl. Mandarin, Cantonese):","Estimate!!Total:!!Chinese (incl. Mandarin, Cantonese):!!Limited English speaking household","Margin of Error!!Total:!!Chinese (incl. Mandarin, Cantonese):!!Limited English speaking household","Estimate!!Total:!!Chinese (incl. Mandarin, Cantonese):!!Not a limited English speaking household","Margin of Error!!Total:!!Chinese (incl. Mandarin, Cantonese):!!Not a limited English speaking household","Estimate!!Total:!!Vietnamese:","Margin of Error!!Total:!!Vietnamese:","Estimate!!Total:!!Vietnamese:!!Limited English speaking household","Margin of Error!!Total:!!Vietnamese:!!Limited English speaking household","Estimate!!Total:!!Vietnamese:!!Not a limited English speaking household","Margin of Error!!Total:!!Vietnamese:!!Not a limited English speaking household","Estimate!!Total:!!Tagalog (incl. Filipino):","Margin of Error!!Total:!!Tagalog (incl. Filipino):","Estimate!!Total:!!Tagalog (incl. Filipino):!!Limited English speaking household","Margin of Error!!Total:!!Tagalog (incl. Filipino):!!Limited English speaking household","Estimate!!Total:!!Tagalog (incl. Filipino):!!Not a limited English speaking household","Margin of Error!!Total:!!Tagalog (incl. Filipino):!!Not a limited English speaking household","Estimate!!Total:!!Other Asian and Pacific Island languages:","Margin of Error!!Total:!!Other Asian and Pacific Island languages:","Estimate!!Total:!!Other Asian and Pacific Island languages:!!Limited English speaking household","Margin of Error!!Total:!!Other Asian and Pacific Island languages:!!Limited English speaking household","Estimate!!Total:!!Other Asian and Pacific Island languages:!!Not a limited English speaking household","Margin of Error!!Total:!!Other Asian and Pacific Island languages:!!Not a limited English speaking household","Estimate!!Total:!!Arabic:","Margin of Error!!Total:!!Arabic:","Estimate!!Total:!!Arabic:!!Limited English speaking household","Margin of Error!!Total:!!Arabic:!!Limited English speaking household","Estimate!!Total:!!Arabic:!!Not a limited English speaking household","Margin of Error!!Total:!!Arabic:!!Not a limited English speaking household","Estimate!!Total:!!Other and unspecified languages:","Margin of Error!!Total:!!Other and unspecified languages:","Estimate!!Total:!!Other and unspecified languages:!!Limited English speaking household","Margin of Error!!Total:!!Other and unspecified languages:!!Limited English speaking household","Estimate!!Total:!!Other and unspecified languages:!!Not a limited English speaking household","Margin of Error!!Total:!!Other and unspecified languages:!!Not a limited English speaking household",
"0600000US1200191248","Gainesville CCD, Alachua County, Florida","74667","1185","58351","1327","8104","745","489","211","7615","752","764","304","26","21","738","304","319","119","45","52","274","120","646","246","29","46","617","241","2587","513","290","157","2297","484","485","150","136","75","349","135","1231","251","299","126","932","219","315","130","150","99","165","96","367","173","15","24","352","172","751","280","20","30","731","274","382","167","16","26","366","169","365","179","11","17","354","178",
