"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B16008_001E","Estimate!!Total"
"B16008_001M","Margin of Error!!Total"
"B16008_002E","Estimate!!Total!!Native population"
"B16008_002M","Margin of Error!!Total!!Native population"
"B16008_003E","Estimate!!Total!!Native population!!5 to 17 years"
"B16008_003M","Margin of Error!!Total!!Native population!!5 to 17 years"
"B16008_004E","Estimate!!Total!!Native population!!5 to 17 years!!Speak only English"
"B16008_004M","Margin of Error!!Total!!Native population!!5 to 17 years!!Speak only English"
"B16008_005E","Estimate!!Total!!Native population!!5 to 17 years!!Speak Spanish"
"B16008_005M","Margin of Error!!Total!!Native population!!5 to 17 years!!Speak Spanish"
"B16008_006E","Estimate!!Total!!Native population!!5 to 17 years!!Speak Spanish!!Speak English "very well""
"B16008_006M","Margin of Error!!Total!!Native population!!5 to 17 years!!Speak Spanish!!Speak English "very well""
"B16008_007E","Estimate!!Total!!Native population!!5 to 17 years!!Speak Spanish!!Speak English less than "very well""
"B16008_007M","Margin of Error!!Total!!Native population!!5 to 17 years!!Speak Spanish!!Speak English less than "very well""
"B16008_008E","Estimate!!Total!!Native population!!5 to 17 years!!Speak other languages"
"B16008_008M","Margin of Error!!Total!!Native population!!5 to 17 years!!Speak other languages"
"B16008_009E","Estimate!!Total!!Native population!!5 to 17 years!!Speak other languages!!Speak English "very well""
"B16008_009M","Margin of Error!!Total!!Native population!!5 to 17 years!!Speak other languages!!Speak English "very well""
"B16008_010E","Estimate!!Total!!Native population!!5 to 17 years!!Speak other languages!!Speak English less than "very well""
"B16008_010M","Margin of Error!!Total!!Native population!!5 to 17 years!!Speak other languages!!Speak English less than "very well""
"B16008_011E","Estimate!!Total!!Native population!!18 years and over"
"B16008_011M","Margin of Error!!Total!!Native population!!18 years and over"
"B16008_012E","Estimate!!Total!!Native population!!18 years and over!!Speak only English"
"B16008_012M","Margin of Error!!Total!!Native population!!18 years and over!!Speak only English"
"B16008_013E","Estimate!!Total!!Native population!!18 years and over!!Speak Spanish"
"B16008_013M","Margin of Error!!Total!!Native population!!18 years and over!!Speak Spanish"
"B16008_014E","Estimate!!Total!!Native population!!18 years and over!!Speak Spanish!!Speak English "very well""
"B16008_014M","Margin of Error!!Total!!Native population!!18 years and over!!Speak Spanish!!Speak English "very well""
"B16008_015E","Estimate!!Total!!Native population!!18 years and over!!Speak Spanish!!Speak English less than "very well""
"B16008_015M","Margin of Error!!Total!!Native population!!18 years and over!!Speak Spanish!!Speak English less than "very well""
"B16008_016E","Estimate!!Total!!Native population!!18 years and over!!Speak other languages"
"B16008_016M","Margin of Error!!Total!!Native population!!18 years and over!!Speak other languages"
"B16008_017E","Estimate!!Total!!Native population!!18 years and over!!Speak other languages!!Speak English "very well""
"B16008_017M","Margin of Error!!Total!!Native population!!18 years and over!!Speak other languages!!Speak English "very well""
"B16008_018E","Estimate!!Total!!Native population!!18 years and over!!Speak other languages!!Speak English less than "very well""
"B16008_018M","Margin of Error!!Total!!Native population!!18 years and over!!Speak other languages!!Speak English less than "very well""
"B16008_019E","Estimate!!Total!!Foreign-born population"
"B16008_019M","Margin of Error!!Total!!Foreign-born population"
"B16008_020E","Estimate!!Total!!Foreign-born population!!Naturalized U.S. citizen"
"B16008_020M","Margin of Error!!Total!!Foreign-born population!!Naturalized U.S. citizen"
"B16008_021E","Estimate!!Total!!Foreign-born population!!Naturalized U.S. citizen!!5 to 17 years"
"B16008_021M","Margin of Error!!Total!!Foreign-born population!!Naturalized U.S. citizen!!5 to 17 years"
"B16008_022E","Estimate!!Total!!Foreign-born population!!Naturalized U.S. citizen!!5 to 17 years!!Speak only English"
"B16008_022M","Margin of Error!!Total!!Foreign-born population!!Naturalized U.S. citizen!!5 to 17 years!!Speak only English"
"B16008_023E","Estimate!!Total!!Foreign-born population!!Naturalized U.S. citizen!!5 to 17 years!!Speak Spanish"
"B16008_023M","Margin of Error!!Total!!Foreign-born population!!Naturalized U.S. citizen!!5 to 17 years!!Speak Spanish"
"B16008_024E","Estimate!!Total!!Foreign-born population!!Naturalized U.S. citizen!!5 to 17 years!!Speak Spanish!!Speak English "very well""
