"GEO_ID","NAME","B16005_001E","B16005_001M","B16005_002E","B16005_002M","B16005_003E","B16005_003M","B16005_004E","B16005_004M","B16005_005E","B16005_005M","B16005_006E","B16005_006M","B16005_007E","B16005_007M","B16005_008E","B16005_008M","B16005_009E","B16005_009M","B16005_010E","B16005_010M","B16005_011E","B16005_011M","B16005_012E","B16005_012M","B16005_013E","B16005_013M","B16005_014E","B16005_014M","B16005_015E","B16005_015M","B16005_016E","B16005_016M","B16005_017E","B16005_017M","B16005_018E","B16005_018M","B16005_019E","B16005_019M","B16005_020E","B16005_020M","B16005_021E","B16005_021M","B16005_022E","B16005_022M","B16005_023E","B16005_023M","B16005_024E","B16005_024M","B16005_025E","B16005_025M","B16005_026E","B16005_026M","B16005_027E","B16005_027M","B16005_028E","B16005_028M","B16005_029E","B16005_029M","B16005_030E","B16005_030M","B16005_031E","B16005_031M","B16005_032E","B16005_032M","B16005_033E","B16005_033M","B16005_034E","B16005_034M","B16005_035E","B16005_035M","B16005_036E","B16005_036M","B16005_037E","B16005_037M","B16005_038E","B16005_038M","B16005_039E","B16005_039M","B16005_040E","B16005_040M","B16005_041E","B16005_041M","B16005_042E","B16005_042M","B16005_043E","B16005_043M","B16005_044E","B16005_044M","B16005_045E","B16005_045M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Native","Margin of Error!!Total!!Native","Estimate!!Total!!Native!!Speak only English","Margin of Error!!Total!!Native!!Speak only English","Estimate!!Total!!Native!!Speak Spanish","Margin of Error!!Total!!Native!!Speak Spanish","Estimate!!Total!!Native!!Speak Spanish!!Speak English "very well"","Margin of Error!!Total!!Native!!Speak Spanish!!Speak English "very well"","Estimate!!Total!!Native!!Speak Spanish!!Speak English "well"","Margin of Error!!Total!!Native!!Speak Spanish!!Speak English "well"","Estimate!!Total!!Native!!Speak Spanish!!Speak English "not well"","Margin of Error!!Total!!Native!!Speak Spanish!!Speak English "not well"","Estimate!!Total!!Native!!Speak Spanish!!Speak English "not at all"","Margin of Error!!Total!!Native!!Speak Spanish!!Speak English "not at all"","Estimate!!Total!!Native!!Speak other Indo-European languages","Margin of Error!!Total!!Native!!Speak other Indo-European languages","Estimate!!Total!!Native!!Speak other Indo-European languages!!Speak English "very well"","Margin of Error!!Total!!Native!!Speak other Indo-European languages!!Speak English "very well"","Estimate!!Total!!Native!!Speak other Indo-European languages!!Speak English "well"","Margin of Error!!Total!!Native!!Speak other Indo-European languages!!Speak English "well"","Estimate!!Total!!Native!!Speak other Indo-European languages!!Speak English "not well"","Margin of Error!!Total!!Native!!Speak other Indo-European languages!!Speak English "not well"","Estimate!!Total!!Native!!Speak other Indo-European languages!!Speak English "not at all"","Margin of Error!!Total!!Native!!Speak other Indo-European languages!!Speak English "not at all"","Estimate!!Total!!Native!!Speak Asian and Pacific Island languages","Margin of Error!!Total!!Native!!Speak Asian and Pacific Island languages","Estimate!!Total!!Native!!Speak Asian and Pacific Island languages!!Speak English "very well"","Margin of Error!!Total!!Native!!Speak Asian and Pacific Island languages!!Speak English "very well"","Estimate!!Total!!Native!!Speak Asian and Pacific Island languages!!Speak English "well"","Margin of Error!!Total!!Native!!Speak Asian and Pacific Island languages!!Speak English "well"","Estimate!!Total!!Native!!Speak Asian and Pacific Island languages!!Speak English "not well"","Margin of Error!!Total!!Native!!Speak Asian and Pacific Island languages!!Speak English "not well"","Estimate!!Total!!Native!!Speak Asian and Pacific Island languages!!Speak English "not at all"","Margin of Error!!Total!!Native!!Speak Asian and Pacific Island languages!!Speak English "not at all"","Estimate!!Total!!Native!!Speak other languages","Margin of Error!!Total!!Native!!Speak other languages","Estimate!!Total!!Native!!Speak other languages!!Speak English "very well"","Margin of Error!!Total!!Native!!Speak other languages!!Speak English "very well"","Estimate!!Total!!Native!!Speak other languages!!Speak English "well"","Margin of Error!!Total!!Native!!Speak other languages!!Speak English "well"","Estimate!!Total!!Native!!Speak other languages!!Speak English "not well"","Margin of Error!!Total!!Native!!Speak other languages!!Speak English "not well"","Estimate!!Total!!Native!!Speak other languages!!Speak English "not at all"","Margin of Error!!Total!!Native!!Speak other languages!!Speak English "not at all"","Estimate!!Total!!Foreign born","Margin of Error!!Total!!Foreign born","Estimate!!Total!!Foreign born!!Speak only English","Margin of Error!!Total!!Foreign born!!Speak only English","Estimate!!Total!!Foreign born!!Speak Spanish","Margin of Error!!Total!!Foreign born!!Speak Spanish","Estimate!!Total!!Foreign born!!Speak Spanish!!Speak English "very well"","Margin of Error!!Total!!Foreign born!!Speak Spanish!!Speak English "very well"","Estimate!!Total!!Foreign born!!Speak Spanish!!Speak English "well"","Margin of Error!!Total!!Foreign born!!Speak Spanish!!Speak English "well"","Estimate!!Total!!Foreign born!!Speak Spanish!!Speak English "not well"","Margin of Error!!Total!!Foreign born!!Speak Spanish!!Speak English "not well"","Estimate!!Total!!Foreign born!!Speak Spanish!!Speak English "not at all"","Margin of Error!!Total!!Foreign born!!Speak Spanish!!Speak English "not at all"","Estimate!!Total!!Foreign born!!Speak other Indo-European languages","Margin of Error!!Total!!Foreign born!!Speak other Indo-European languages","Estimate!!Total!!Foreign born!!Speak other Indo-European languages!!Speak English "very well"","Margin of Error!!Total!!Foreign born!!Speak other Indo-European languages!!Speak English "very well"","Estimate!!Total!!Foreign born!!Speak other Indo-European languages!!Speak English "well"","Margin of Error!!Total!!Foreign born!!Speak other Indo-European languages!!Speak English "well"","Estimate!!Total!!Foreign born!!Speak other Indo-European languages!!Speak English "not well"","Margin of Error!!Total!!Foreign born!!Speak other Indo-European languages!!Speak English "not well"","Estimate!!Total!!Foreign born!!Speak other Indo-European languages!!Speak English "not at all"","Margin of Error!!Total!!Foreign born!!Speak other Indo-European languages!!Speak English "not at all"","Estimate!!Total!!Foreign born!!Speak Asian and Pacific Island languages","Margin of Error!!Total!!Foreign born!!Speak Asian and Pacific Island languages","Estimate!!Total!!Foreign born!!Speak Asian and Pacific Island languages!!Speak English "very well"","Margin of Error!!Total!!Foreign born!!Speak Asian and Pacific Island languages!!Speak English "very well"","Estimate!!Total!!Foreign born!!Speak Asian and Pacific Island languages!!Speak English "well"","Margin of Error!!Total!!Foreign born!!Speak Asian and Pacific Island languages!!Speak English "well"","Estimate!!Total!!Foreign born!!Speak Asian and Pacific Island languages!!Speak English "not well"","Margin of Error!!Total!!Foreign born!!Speak Asian and Pacific Island languages!!Speak English "not well"","Estimate!!Total!!Foreign born!!Speak Asian and Pacific Island languages!!Speak English "not at all"","Margin of Error!!Total!!Foreign born!!Speak Asian and Pacific Island languages!!Speak English "not at all"","Estimate!!Total!!Foreign born!!Speak other languages","Margin of Error!!Total!!Foreign born!!Speak other languages","Estimate!!Total!!Foreign born!!Speak other languages!!Speak English "very well"","Margin of Error!!Total!!Foreign born!!Speak other languages!!Speak English "very well"","Estimate!!Total!!Foreign born!!Speak other languages!!Speak English "well"","Margin of Error!!Total!!Foreign born!!Speak other languages!!Speak English "well"","Estimate!!Total!!Foreign born!!Speak other languages!!Speak English "not well"","Margin of Error!!Total!!Foreign born!!Speak other languages!!Speak English "not well"","Estimate!!Total!!Foreign born!!Speak other languages!!Speak English "not at all"","Margin of Error!!Total!!Foreign born!!Speak other languages!!Speak English "not at all"",
"0100000US","United States","303066180","4092","259823019","132493","230962165","185458","21617461","47913","17926026","55561","2493363","19416","961680","8044","236392","5572","3790420","17614","3282091","17606","352375","5141","135028","2552","20926","1039","2351055","14024","1947605","13649","287977","4191","104161","2537","11312","850","1101918","12689","953129","12379","102410","2534","38976","1364","7403","697","43243161","130126","6994330","22928","18638836","85188","6020650","22084","4412377","17250","5217210","44396","2988599","36403","7223959","42449","4306518","23931","1752417","12418","889541","12067","275483","7034","8219626","21126","3714768","15787","2388335","11426","1590725","11696","525798","9084","2166410","21875","1311117","13204","535655","8091","237975","5220","81663","3216",
