"GEO_ID","NAME","B05002_001E","B05002_001M","B05002_002E","B05002_002M","B05002_003E","B05002_003M","B05002_004E","B05002_004M","B05002_005E","B05002_005M","B05002_006E","B05002_006M","B05002_007E","B05002_007M","B05002_008E","B05002_008M","B05002_009E","B05002_009M","B05002_010E","B05002_010M","B05002_011E","B05002_011M","B05002_012E","B05002_012M","B05002_013E","B05002_013M","B05002_014E","B05002_014M","B05002_015E","B05002_015M","B05002_016E","B05002_016M","B05002_017E","B05002_017M","B05002_018E","B05002_018M","B05002_019E","B05002_019M","B05002_020E","B05002_020M","B05002_021E","B05002_021M","B05002_022E","B05002_022M","B05002_023E","B05002_023M","B05002_024E","B05002_024M","B05002_025E","B05002_025M","B05002_026E","B05002_026M","B05002_027E","B05002_027M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Native:","Margin of Error!!Total:!!Native:","Estimate!!Total:!!Native:!!Born in state of residence","Margin of Error!!Total:!!Native:!!Born in state of residence","Estimate!!Total:!!Native:!!Born in other state in the United States:","Margin of Error!!Total:!!Native:!!Born in other state in the United States:","Estimate!!Total:!!Native:!!Born in other state in the United States:!!Northeast","Margin of Error!!Total:!!Native:!!Born in other state in the United States:!!Northeast","Estimate!!Total:!!Native:!!Born in other state in the United States:!!Midwest","Margin of Error!!Total:!!Native:!!Born in other state in the United States:!!Midwest","Estimate!!Total:!!Native:!!Born in other state in the United States:!!South","Margin of Error!!Total:!!Native:!!Born in other state in the United States:!!South","Estimate!!Total:!!Native:!!Born in other state in the United States:!!West","Margin of Error!!Total:!!Native:!!Born in other state in the United States:!!West","Estimate!!Total:!!Native:!!Born outside the United States:","Margin of Error!!Total:!!Native:!!Born outside the United States:","Estimate!!Total:!!Native:!!Born outside the United States:!!Puerto Rico","Margin of Error!!Total:!!Native:!!Born outside the United States:!!Puerto Rico","Estimate!!Total:!!Native:!!Born outside the United States:!!U.S. Island Areas","Margin of Error!!Total:!!Native:!!Born outside the United States:!!U.S. Island Areas","Estimate!!Total:!!Native:!!Born outside the United States:!!Born abroad of American parent(s)","Margin of Error!!Total:!!Native:!!Born outside the United States:!!Born abroad of American parent(s)","Estimate!!Total:!!Foreign-born:","Margin of Error!!Total:!!Foreign-born:","Estimate!!Total:!!Foreign-born:!!Naturalized U.S. citizen","Margin of Error!!Total:!!Foreign-born:!!Naturalized U.S. citizen","Estimate!!Total:!!Foreign-born:!!Naturalized U.S. citizen!!Europe","Margin of Error!!Total:!!Foreign-born:!!Naturalized U.S. citizen!!Europe","Estimate!!Total:!!Foreign-born:!!Naturalized U.S. citizen!!Asia","Margin of Error!!Total:!!Foreign-born:!!Naturalized U.S. citizen!!Asia","Estimate!!Total:!!Foreign-born:!!Naturalized U.S. citizen!!Africa","Margin of Error!!Total:!!Foreign-born:!!Naturalized U.S. citizen!!Africa","Estimate!!Total:!!Foreign-born:!!Naturalized U.S. citizen!!Oceania","Margin of Error!!Total:!!Foreign-born:!!Naturalized U.S. citizen!!Oceania","Estimate!!Total:!!Foreign-born:!!Naturalized U.S. citizen!!Latin America","Margin of Error!!Total:!!Foreign-born:!!Naturalized U.S. citizen!!Latin America","Estimate!!Total:!!Foreign-born:!!Naturalized U.S. citizen!!Northern America","Margin of Error!!Total:!!Foreign-born:!!Naturalized U.S. citizen!!Northern America","Estimate!!Total:!!Foreign-born:!!Not a U.S. citizen","Margin of Error!!Total:!!Foreign-born:!!Not a U.S. citizen","Estimate!!Total:!!Foreign-born:!!Not a U.S. citizen!!Europe","Margin of Error!!Total:!!Foreign-born:!!Not a U.S. citizen!!Europe","Estimate!!Total:!!Foreign-born:!!Not a U.S. citizen!!Asia","Margin of Error!!Total:!!Foreign-born:!!Not a U.S. citizen!!Asia","Estimate!!Total:!!Foreign-born:!!Not a U.S. citizen!!Africa","Margin of Error!!Total:!!Foreign-born:!!Not a U.S. citizen!!Africa","Estimate!!Total:!!Foreign-born:!!Not a U.S. citizen!!Oceania","Margin of Error!!Total:!!Foreign-born:!!Not a U.S. citizen!!Oceania","Estimate!!Total:!!Foreign-born:!!Not a U.S. citizen!!Latin America","Margin of Error!!Total:!!Foreign-born:!!Not a U.S. citizen!!Latin America","Estimate!!Total:!!Foreign-born:!!Not a U.S. citizen!!Northern America","Margin of Error!!Total:!!Foreign-born:!!Not a U.S. citizen!!Northern America",
"0600000US1200191248","Gainesville CCD, Alachua County, Florida","195627","2254","170746","2945","98158","2988","66353","2537","20271","1292","17099","1492","21876","1660","7107","928","6235","1171","2743","650","628","724","2864","501","24881","1777","13039","1249","2101","547","4783","630","544","232","44","38","5136","780","431","264","11842","1467","1506","420","5444","833","962","594","30","40","3455","736","445","278",
