"GEO_ID","NAME","S1602_C01_001E","S1602_C01_001M","S1602_C02_001E","S1602_C02_001M","S1602_C03_001E","S1602_C03_001M","S1602_C04_001E","S1602_C04_001M","S1602_C01_002E","S1602_C01_002M","S1602_C02_002E","S1602_C02_002M","S1602_C03_002E","S1602_C03_002M","S1602_C04_002E","S1602_C04_002M","S1602_C01_003E","S1602_C01_003M","S1602_C02_003E","S1602_C02_003M","S1602_C03_003E","S1602_C03_003M","S1602_C04_003E","S1602_C04_003M","S1602_C01_004E","S1602_C01_004M","S1602_C02_004E","S1602_C02_004M","S1602_C03_004E","S1602_C03_004M","S1602_C04_004E","S1602_C04_004M","S1602_C01_005E","S1602_C01_005M","S1602_C02_005E","S1602_C02_005M","S1602_C03_005E","S1602_C03_005M","S1602_C04_005E","S1602_C04_005M",
"Geography","Geographic Area Name","Total!!Estimate!!All households","Total!!Margin of Error!!All households","Percent!!Estimate!!All households","Percent!!Margin of Error!!All households","Limited English-speaking households!!Estimate!!All households","Limited English-speaking households!!Margin of Error!!All households","Percent limited English-speaking households!!Estimate!!All households","Percent limited English-speaking households!!Margin of Error!!All households","Total!!Estimate!!Households speaking!!Spanish","Total!!Margin of Error!!Households speaking!!Spanish","Percent!!Estimate!!Households speaking!!Spanish","Percent!!Margin of Error!!Households speaking!!Spanish","Limited English-speaking households!!Estimate!!Households speaking!!Spanish","Limited English-speaking households!!Margin of Error!!Households speaking!!Spanish","Percent limited English-speaking households!!Estimate!!Households speaking!!Spanish","Percent limited English-speaking households!!Margin of Error!!Households speaking!!Spanish","Total!!Estimate!!Households speaking!!Other Indo-European languages","Total!!Margin of Error!!Households speaking!!Other Indo-European languages","Percent!!Estimate!!Households speaking!!Other Indo-European languages","Percent!!Margin of Error!!Households speaking!!Other Indo-European languages","Limited English-speaking households!!Estimate!!Households speaking!!Other Indo-European languages","Limited English-speaking households!!Margin of Error!!Households speaking!!Other Indo-European languages","Percent limited English-speaking households!!Estimate!!Households speaking!!Other Indo-European languages","Percent limited English-speaking households!!Margin of Error!!Households speaking!!Other Indo-European languages","Total!!Estimate!!Households speaking!!Asian and Pacific Island languages","Total!!Margin of Error!!Households speaking!!Asian and Pacific Island languages","Percent!!Estimate!!Households speaking!!Asian and Pacific Island languages","Percent!!Margin of Error!!Households speaking!!Asian and Pacific Island languages","Limited English-speaking households!!Estimate!!Households speaking!!Asian and Pacific Island languages","Limited English-speaking households!!Margin of Error!!Households speaking!!Asian and Pacific Island languages","Percent limited English-speaking households!!Estimate!!Households speaking!!Asian and Pacific Island languages","Percent limited English-speaking households!!Margin of Error!!Households speaking!!Asian and Pacific Island languages","Total!!Estimate!!Households speaking!!Other languages","Total!!Margin of Error!!Households speaking!!Other languages","Percent!!Estimate!!Households speaking!!Other languages","Percent!!Margin of Error!!Households speaking!!Other languages","Limited English-speaking households!!Estimate!!Households speaking!!Other languages","Limited English-speaking households!!Margin of Error!!Households speaking!!Other languages","Percent limited English-speaking households!!Estimate!!Households speaking!!Other languages","Percent limited English-speaking households!!Margin of Error!!Households speaking!!Other languages",
"0600000US1200191248","Gainesville CCD, Alachua County, Florida","65439","1056","(X)","(X)","1734","301","2.6","0.5","5697","446","8.7","0.7","585","192","10.3","3.3","3022","360","4.6","0.5","328","118","10.9","3.6","2786","305","4.3","0.4","721","160","25.9","5.3","468","197","0.7","0.3","100","104","21.4","16.4",
