"GEO_ID","NAME","B16003_001E","B16003_001M","B16003_002E","B16003_002M","B16003_003E","B16003_003M","B16003_004E","B16003_004M","B16003_005E","B16003_005M","B16003_006E","B16003_006M","B16003_007E","B16003_007M","B16003_008E","B16003_008M","B16003_009E","B16003_009M","B16003_010E","B16003_010M","B16003_011E","B16003_011M","B16003_012E","B16003_012M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!5 to 17 years:","Margin of Error!!Total:!!5 to 17 years:","Estimate!!Total:!!5 to 17 years:!!Speak only English","Margin of Error!!Total:!!5 to 17 years:!!Speak only English","Estimate!!Total:!!5 to 17 years:!!Speak Spanish","Margin of Error!!Total:!!5 to 17 years:!!Speak Spanish","Estimate!!Total:!!5 to 17 years:!!Speak other Indo-European languages","Margin of Error!!Total:!!5 to 17 years:!!Speak other Indo-European languages","Estimate!!Total:!!5 to 17 years:!!Speak Asian and Pacific Island languages","Margin of Error!!Total:!!5 to 17 years:!!Speak Asian and Pacific Island languages","Estimate!!Total:!!5 to 17 years:!!Speak other languages","Margin of Error!!Total:!!5 to 17 years:!!Speak other languages","Estimate!!Total:!!18 years and over:","Margin of Error!!Total:!!18 years and over:","Estimate!!Total:!!18 years and over:!!Speak Spanish","Margin of Error!!Total:!!18 years and over:!!Speak Spanish","Estimate!!Total:!!18 years and over:!!Speak other Indo-European languages","Margin of Error!!Total:!!18 years and over:!!Speak other Indo-European languages","Estimate!!Total:!!18 years and over:!!Speak Asian and Pacific Island languages","Margin of Error!!Total:!!18 years and over:!!Speak Asian and Pacific Island languages","Estimate!!Total:!!18 years and over:!!Speak other languages","Margin of Error!!Total:!!18 years and over:!!Speak other languages",
"0600000US1200191248","Gainesville CCD, Alachua County, Florida","3183","553","337","156","45","54","68","59","39","58","185","127","0","34","2846","479","824","281","506","233","1470","385","46","45",
