"GEO_ID","NAME","B16008_001E","B16008_001M","B16008_002E","B16008_002M","B16008_003E","B16008_003M","B16008_004E","B16008_004M","B16008_005E","B16008_005M","B16008_006E","B16008_006M","B16008_007E","B16008_007M","B16008_008E","B16008_008M","B16008_009E","B16008_009M","B16008_010E","B16008_010M","B16008_011E","B16008_011M","B16008_012E","B16008_012M","B16008_013E","B16008_013M","B16008_014E","B16008_014M","B16008_015E","B16008_015M","B16008_016E","B16008_016M","B16008_017E","B16008_017M","B16008_018E","B16008_018M","B16008_019E","B16008_019M","B16008_020E","B16008_020M","B16008_021E","B16008_021M","B16008_022E","B16008_022M","B16008_023E","B16008_023M","B16008_024E","B16008_024M","B16008_025E","B16008_025M","B16008_026E","B16008_026M","B16008_027E","B16008_027M","B16008_028E","B16008_028M","B16008_029E","B16008_029M","B16008_030E","B16008_030M","B16008_031E","B16008_031M","B16008_032E","B16008_032M","B16008_033E","B16008_033M","B16008_034E","B16008_034M","B16008_035E","B16008_035M","B16008_036E","B16008_036M","B16008_037E","B16008_037M","B16008_038E","B16008_038M","B16008_039E","B16008_039M","B16008_040E","B16008_040M","B16008_041E","B16008_041M","B16008_042E","B16008_042M","B16008_043E","B16008_043M","B16008_044E","B16008_044M","B16008_045E","B16008_045M","B16008_046E","B16008_046M","B16008_047E","B16008_047M","B16008_048E","B16008_048M","B16008_049E","B16008_049M","B16008_050E","B16008_050M","B16008_051E","B16008_051M","B16008_052E","B16008_052M","B16008_053E","B16008_053M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Native population:","Margin of Error!!Total:!!Native population:","Estimate!!Total:!!Native population:!!5 to 17 years:","Margin of Error!!Total:!!Native population:!!5 to 17 years:","Estimate!!Total:!!Native population:!!5 to 17 years:!!Speak only English","Margin of Error!!Total:!!Native population:!!5 to 17 years:!!Speak only English","Estimate!!Total:!!Native population:!!5 to 17 years:!!Speak Spanish:","Margin of Error!!Total:!!Native population:!!5 to 17 years:!!Speak Spanish:","Estimate!!Total:!!Native population:!!5 to 17 years:!!Speak Spanish:!!Speak English "very well"","Margin of Error!!Total:!!Native population:!!5 to 17 years:!!Speak Spanish:!!Speak English "very well"","Estimate!!Total:!!Native population:!!5 to 17 years:!!Speak Spanish:!!Speak English less than "very well"","Margin of Error!!Total:!!Native population:!!5 to 17 years:!!Speak Spanish:!!Speak English less than "very well"","Estimate!!Total:!!Native population:!!5 to 17 years:!!Speak other languages:","Margin of Error!!Total:!!Native population:!!5 to 17 years:!!Speak other languages:","Estimate!!Total:!!Native population:!!5 to 17 years:!!Speak other languages:!!Speak English "very well"","Margin of Error!!Total:!!Native population:!!5 to 17 years:!!Speak other languages:!!Speak English "very well"","Estimate!!Total:!!Native population:!!5 to 17 years:!!Speak other languages:!!Speak English less than "very well"","Margin of Error!!Total:!!Native population:!!5 to 17 years:!!Speak other languages:!!Speak English less than "very well"","Estimate!!Total:!!Native population:!!18 years and over:","Margin of Error!!Total:!!Native population:!!18 years and over:","Estimate!!Total:!!Native population:!!18 years and over:!!Speak only English","Margin of Error!!Total:!!Native population:!!18 years and over:!!Speak only English","Estimate!!Total:!!Native population:!!18 years and over:!!Speak Spanish:","Margin of Error!!Total:!!Native population:!!18 years and over:!!Speak Spanish:","Estimate!!Total:!!Native population:!!18 years and over:!!Speak Spanish:!!Speak English "very well"","Margin of Error!!Total:!!Native population:!!18 years and over:!!Speak Spanish:!!Speak English "very well"","Estimate!!Total:!!Native population:!!18 years and over:!!Speak Spanish:!!Speak English less than "very well"","Margin of Error!!Total:!!Native population:!!18 years and over:!!Speak Spanish:!!Speak English less than "very well"","Estimate!!Total:!!Native population:!!18 years and over:!!Speak other languages:","Margin of Error!!Total:!!Native population:!!18 years and over:!!Speak other languages:","Estimate!!Total:!!Native population:!!18 years and over:!!Speak other languages:!!Speak English "very well"","Margin of Error!!Total:!!Native population:!!18 years and over:!!Speak other languages:!!Speak English "very well"","Estimate!!Total:!!Native population:!!18 years and over:!!Speak other languages:!!Speak English less than "very well"","Margin of Error!!Total:!!Native population:!!18 years and over:!!Speak other languages:!!Speak English less than "very well"","Estimate!!Total:!!Foreign-born population:","Margin of Error!!Total:!!Foreign-born population:","Estimate!!Total:!!Foreign-born population:!!Naturalized U.S. citizen:","Margin of Error!!Total:!!Foreign-born population:!!Naturalized U.S. citizen:","Estimate!!Total:!!Foreign-born population:!!Naturalized U.S. citizen:!!5 to 17 years:","Margin of Error!!Total:!!Foreign-born population:!!Naturalized U.S. citizen:!!5 to 17 years:","Estimate!!Total:!!Foreign-born population:!!Naturalized U.S. citizen:!!5 to 17 years:!!Speak only English","Margin of Error!!Total:!!Foreign-born population:!!Naturalized U.S. citizen:!!5 to 17 years:!!Speak only English","Estimate!!Total:!!Foreign-born population:!!Naturalized U.S. citizen:!!5 to 17 years:!!Speak Spanish:","Margin of Error!!Total:!!Foreign-born population:!!Naturalized U.S. citizen:!!5 to 17 years:!!Speak Spanish:","Estimate!!Total:!!Foreign-born population:!!Naturalized U.S. citizen:!!5 to 17 years:!!Speak Spanish:!!Speak English "very well"","Margin of Error!!Total:!!Foreign-born population:!!Naturalized U.S. citizen:!!5 to 17 years:!!Speak Spanish:!!Speak English "very well"","Estimate!!Total:!!Foreign-born population:!!Naturalized U.S. citizen:!!5 to 17 years:!!Speak Spanish:!!Speak English less than "very well"","Margin of Error!!Total:!!Foreign-born population:!!Naturalized U.S. citizen:!!5 to 17 years:!!Speak Spanish:!!Speak English less than "very well"","Estimate!!Total:!!Foreign-born population:!!Naturalized U.S. citizen:!!5 to 17 years:!!Speak other languages:","Margin of Error!!Total:!!Foreign-born population:!!Naturalized U.S. citizen:!!5 to 17 years:!!Speak other languages:","Estimate!!Total:!!Foreign-born population:!!Naturalized U.S. citizen:!!5 to 17 years:!!Speak other languages:!!Speak English "very well"","Margin of Error!!Total:!!Foreign-born population:!!Naturalized U.S. citizen:!!5 to 17 years:!!Speak other languages:!!Speak English "very well"","Estimate!!Total:!!Foreign-born population:!!Naturalized U.S. citizen:!!5 to 17 years:!!Speak other languages:!!Speak English less than "very well"","Margin of Error!!Total:!!Foreign-born population:!!Naturalized U.S. citizen:!!5 to 17 years:!!Speak other languages:!!Speak English less than "very well"","Estimate!!Total:!!Foreign-born population:!!Naturalized U.S. citizen:!!18 years and over:","Margin of Error!!Total:!!Foreign-born population:!!Naturalized U.S. citizen:!!18 years and over:","Estimate!!Total:!!Foreign-born population:!!Naturalized U.S. citizen:!!18 years and over:!!Speak only English","Margin of Error!!Total:!!Foreign-born population:!!Naturalized U.S. citizen:!!18 years and over:!!Speak only English","Estimate!!Total:!!Foreign-born population:!!Naturalized U.S. citizen:!!18 years and over:!!Speak Spanish:","Margin of Error!!Total:!!Foreign-born population:!!Naturalized U.S. citizen:!!18 years and over:!!Speak Spanish:","Estimate!!Total:!!Foreign-born population:!!Naturalized U.S. citizen:!!18 years and over:!!Speak Spanish:!!Speak English "very well"","Margin of Error!!Total:!!Foreign-born population:!!Naturalized U.S. citizen:!!18 years and over:!!Speak Spanish:!!Speak English "very well"","Estimate!!Total:!!Foreign-born population:!!Naturalized U.S. citizen:!!18 years and over:!!Speak Spanish:!!Speak English less than "very well"","Margin of Error!!Total:!!Foreign-born population:!!Naturalized U.S. citizen:!!18 years and over:!!Speak Spanish:!!Speak English less than "very well"","Estimate!!Total:!!Foreign-born population:!!Naturalized U.S. citizen:!!18 years and over:!!Speak other languages:","Margin of Error!!Total:!!Foreign-born population:!!Naturalized U.S. citizen:!!18 years and over:!!Speak other languages:","Estimate!!Total:!!Foreign-born population:!!Naturalized U.S. citizen:!!18 years and over:!!Speak other languages:!!Speak English "very well"","Margin of Error!!Total:!!Foreign-born population:!!Naturalized U.S. citizen:!!18 years and over:!!Speak other languages:!!Speak English "very well"","Estimate!!Total:!!Foreign-born population:!!Naturalized U.S. citizen:!!18 years and over:!!Speak other languages:!!Speak English less than "very well"","Margin of Error!!Total:!!Foreign-born population:!!Naturalized U.S. citizen:!!18 years and over:!!Speak other languages:!!Speak English less than "very well"","Estimate!!Total:!!Foreign-born population:!!Not a U.S. citizen:","Margin of Error!!Total:!!Foreign-born population:!!Not a U.S. citizen:","Estimate!!Total:!!Foreign-born population:!!Not a U.S. citizen:!!5 to 17 years:","Margin of Error!!Total:!!Foreign-born population:!!Not a U.S. citizen:!!5 to 17 years:","Estimate!!Total:!!Foreign-born population:!!Not a U.S. citizen:!!5 to 17 years:!!Speak only English","Margin of Error!!Total:!!Foreign-born population:!!Not a U.S. citizen:!!5 to 17 years:!!Speak only English","Estimate!!Total:!!Foreign-born population:!!Not a U.S. citizen:!!5 to 17 years:!!Speak Spanish:","Margin of Error!!Total:!!Foreign-born population:!!Not a U.S. citizen:!!5 to 17 years:!!Speak Spanish:","Estimate!!Total:!!Foreign-born population:!!Not a U.S. citizen:!!5 to 17 years:!!Speak Spanish:!!Speak English "very well"","Margin of Error!!Total:!!Foreign-born population:!!Not a U.S. citizen:!!5 to 17 years:!!Speak Spanish:!!Speak English "very well"","Estimate!!Total:!!Foreign-born population:!!Not a U.S. citizen:!!5 to 17 years:!!Speak Spanish:!!Speak English less than "very well"","Margin of Error!!Total:!!Foreign-born population:!!Not a U.S. citizen:!!5 to 17 years:!!Speak Spanish:!!Speak English less than "very well"","Estimate!!Total:!!Foreign-born population:!!Not a U.S. citizen:!!5 to 17 years:!!Speak other languages:","Margin of Error!!Total:!!Foreign-born population:!!Not a U.S. citizen:!!5 to 17 years:!!Speak other languages:","Estimate!!Total:!!Foreign-born population:!!Not a U.S. citizen:!!5 to 17 years:!!Speak other languages:!!Speak English "very well"","Margin of Error!!Total:!!Foreign-born population:!!Not a U.S. citizen:!!5 to 17 years:!!Speak other languages:!!Speak English "very well"","Estimate!!Total:!!Foreign-born population:!!Not a U.S. citizen:!!5 to 17 years:!!Speak other languages:!!Speak English less than "very well"","Margin of Error!!Total:!!Foreign-born population:!!Not a U.S. citizen:!!5 to 17 years:!!Speak other languages:!!Speak English less than "very well"","Estimate!!Total:!!Foreign-born population:!!Not a U.S. citizen:!!18 years and over:","Margin of Error!!Total:!!Foreign-born population:!!Not a U.S. citizen:!!18 years and over:","Estimate!!Total:!!Foreign-born population:!!Not a U.S. citizen:!!18 years and over:!!Speak only English","Margin of Error!!Total:!!Foreign-born population:!!Not a U.S. citizen:!!18 years and over:!!Speak only English","Estimate!!Total:!!Foreign-born population:!!Not a U.S. citizen:!!18 years and over:!!Speak Spanish:","Margin of Error!!Total:!!Foreign-born population:!!Not a U.S. citizen:!!18 years and over:!!Speak Spanish:","Estimate!!Total:!!Foreign-born population:!!Not a U.S. citizen:!!18 years and over:!!Speak Spanish:!!Speak English "very well"","Margin of Error!!Total:!!Foreign-born population:!!Not a U.S. citizen:!!18 years and over:!!Speak Spanish:!!Speak English "very well"","Estimate!!Total:!!Foreign-born population:!!Not a U.S. citizen:!!18 years and over:!!Speak Spanish:!!Speak English less than "very well"","Margin of Error!!Total:!!Foreign-born population:!!Not a U.S. citizen:!!18 years and over:!!Speak Spanish:!!Speak English less than "very well"","Estimate!!Total:!!Foreign-born population:!!Not a U.S. citizen:!!18 years and over:!!Speak other languages:","Margin of Error!!Total:!!Foreign-born population:!!Not a U.S. citizen:!!18 years and over:!!Speak other languages:","Estimate!!Total:!!Foreign-born population:!!Not a U.S. citizen:!!18 years and over:!!Speak other languages:!!Speak English "very well"","Margin of Error!!Total:!!Foreign-born population:!!Not a U.S. citizen:!!18 years and over:!!Speak other languages:!!Speak English "very well"","Estimate!!Total:!!Foreign-born population:!!Not a U.S. citizen:!!18 years and over:!!Speak other languages:!!Speak English less than "very well"","Margin of Error!!Total:!!Foreign-born population:!!Not a U.S. citizen:!!18 years and over:!!Speak other languages:!!Speak English less than "very well"",
"0600000US1200191248","Gainesville CCD, Alachua County, Florida","181271","2544","158512","2786","20807","1065","18920","1083","732","302","607","266","125","129","1155","341","1142","333","13","21","137705","2402","125302","2466","8918","712","7957","720","961","285","3485","498","3103","493","382","155","22759","1553","11395","1122","96","62","54","53","30","19","30","19","0","34","12","21","12","21","0","34","11299","1119","3143","604","2729","532","2148","476","581","247","5427","740","3842","626","1585","331","11364","1140","764","284","171","177","177","128","164","120","13","21","416","177","217","106","199","140","10600","1026","1649","366","2040","499","914","257","1126","420","6911","744","4425","623","2486","461",
