"GEO_ID","NAME","B05013_001E","B05013_001M","B05013_002E","B05013_002M","B05013_003E","B05013_003M","B05013_004E","B05013_004M","B05013_005E","B05013_005M","B05013_006E","B05013_006M","B05013_007E","B05013_007M","B05013_008E","B05013_008M","B05013_009E","B05013_009M","B05013_010E","B05013_010M","B05013_011E","B05013_011M","B05013_012E","B05013_012M","B05013_013E","B05013_013M","B05013_014E","B05013_014M","B05013_015E","B05013_015M","B05013_016E","B05013_016M","B05013_017E","B05013_017M","B05013_018E","B05013_018M","B05013_019E","B05013_019M","B05013_020E","B05013_020M","B05013_021E","B05013_021M","B05013_022E","B05013_022M","B05013_023E","B05013_023M","B05013_024E","B05013_024M","B05013_025E","B05013_025M","B05013_026E","B05013_026M","B05013_027E","B05013_027M","B05013_028E","B05013_028M","B05013_029E","B05013_029M","B05013_030E","B05013_030M","B05013_031E","B05013_031M","B05013_032E","B05013_032M","B05013_033E","B05013_033M","B05013_034E","B05013_034M","B05013_035E","B05013_035M","B05013_036E","B05013_036M","B05013_037E","B05013_037M","B05013_038E","B05013_038M","B05013_039E","B05013_039M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 5 years","Margin of Error!!Total:!!Male:!!Under 5 years","Estimate!!Total:!!Male:!!5 to 9 years","Margin of Error!!Total:!!Male:!!5 to 9 years","Estimate!!Total:!!Male:!!10 to 14 years","Margin of Error!!Total:!!Male:!!10 to 14 years","Estimate!!Total:!!Male:!!15 to 19 years","Margin of Error!!Total:!!Male:!!15 to 19 years","Estimate!!Total:!!Male:!!20 to 24 years","Margin of Error!!Total:!!Male:!!20 to 24 years","Estimate!!Total:!!Male:!!25 to 29 years","Margin of Error!!Total:!!Male:!!25 to 29 years","Estimate!!Total:!!Male:!!30 to 34 years","Margin of Error!!Total:!!Male:!!30 to 34 years","Estimate!!Total:!!Male:!!35 to 39 years","Margin of Error!!Total:!!Male:!!35 to 39 years","Estimate!!Total:!!Male:!!40 to 44 years","Margin of Error!!Total:!!Male:!!40 to 44 years","Estimate!!Total:!!Male:!!45 to 49 years","Margin of Error!!Total:!!Male:!!45 to 49 years","Estimate!!Total:!!Male:!!50 to 54 years","Margin of Error!!Total:!!Male:!!50 to 54 years","Estimate!!Total:!!Male:!!55 to 59 years","Margin of Error!!Total:!!Male:!!55 to 59 years","Estimate!!Total:!!Male:!!60 to 64 years","Margin of Error!!Total:!!Male:!!60 to 64 years","Estimate!!Total:!!Male:!!65 to 69 years","Margin of Error!!Total:!!Male:!!65 to 69 years","Estimate!!Total:!!Male:!!70 to 74 years","Margin of Error!!Total:!!Male:!!70 to 74 years","Estimate!!Total:!!Male:!!75 to 79 years","Margin of Error!!Total:!!Male:!!75 to 79 years","Estimate!!Total:!!Male:!!80 to 84 years","Margin of Error!!Total:!!Male:!!80 to 84 years","Estimate!!Total:!!Male:!!85 years and over","Margin of Error!!Total:!!Male:!!85 years and over","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 5 years","Margin of Error!!Total:!!Female:!!Under 5 years","Estimate!!Total:!!Female:!!5 to 9 years","Margin of Error!!Total:!!Female:!!5 to 9 years","Estimate!!Total:!!Female:!!10 to 14 years","Margin of Error!!Total:!!Female:!!10 to 14 years","Estimate!!Total:!!Female:!!15 to 19 years","Margin of Error!!Total:!!Female:!!15 to 19 years","Estimate!!Total:!!Female:!!20 to 24 years","Margin of Error!!Total:!!Female:!!20 to 24 years","Estimate!!Total:!!Female:!!25 to 29 years","Margin of Error!!Total:!!Female:!!25 to 29 years","Estimate!!Total:!!Female:!!30 to 34 years","Margin of Error!!Total:!!Female:!!30 to 34 years","Estimate!!Total:!!Female:!!35 to 39 years","Margin of Error!!Total:!!Female:!!35 to 39 years","Estimate!!Total:!!Female:!!40 to 44 years","Margin of Error!!Total:!!Female:!!40 to 44 years","Estimate!!Total:!!Female:!!45 to 49 years","Margin of Error!!Total:!!Female:!!45 to 49 years","Estimate!!Total:!!Female:!!50 to 54 years","Margin of Error!!Total:!!Female:!!50 to 54 years","Estimate!!Total:!!Female:!!55 to 59 years","Margin of Error!!Total:!!Female:!!55 to 59 years","Estimate!!Total:!!Female:!!60 to 64 years","Margin of Error!!Total:!!Female:!!60 to 64 years","Estimate!!Total:!!Female:!!65 to 69 years","Margin of Error!!Total:!!Female:!!65 to 69 years","Estimate!!Total:!!Female:!!70 to 74 years","Margin of Error!!Total:!!Female:!!70 to 74 years","Estimate!!Total:!!Female:!!75 to 79 years","Margin of Error!!Total:!!Female:!!75 to 79 years","Estimate!!Total:!!Female:!!80 to 84 years","Margin of Error!!Total:!!Female:!!80 to 84 years","Estimate!!Total:!!Female:!!85 years and over","Margin of Error!!Total:!!Female:!!85 years and over",
"0600000US1200191248","Gainesville CCD, Alachua County, Florida","22948","1580","11205","943","82","79","224","161","247","155","598","168","2114","473","1229","223","1115","199","1320","343","850","340","671","194","607","164","599","193","338","142","401","196","301","150","212","128","78","53","219","158","11743","939","107","127","103","72","111","121","668","176","1717","378","1183","275","1382","333","1227","320","1067","251","867","213","618","183","891","228","294","98","541","170","280","138","426","175","203","133","58","43",
