Employed by this Industry,Code,Occupation,Projected Growth (2024-2034),Projected Job Openings (2024-2034)
27%,19-4012.00,Agricultural Technicians,Average,2900
27%,19-4012.01,Precision Agriculture Technicians,Average,2900
26%,19-2011.00,Astronomers,Slower than average,100
24%,13-1131.00,Fundraisers,Average,10200
23%,19-4021.00,Biological Technicians,Average,9100
22%,41-9012.00,Models,Little or no change,1200
22%,19-3022.00,Survey Researchers,Decline,700
22%,15-2021.00,Mathematicians,Decline,100
21%,43-4199.00,"Information and Record Clerks, All Other",Little or no change,17800
21%,43-9111.00,Statistical Assistants,Decline,800
21%,19-1099.00,"Life Scientists, All Other",Average,400
20%,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Decline,202800
19%,39-9041.00,Residential Advisors,Average,17400
19%,19-1042.00,"Medical Scientists, Except Epidemiologists",Much faster than average,9600
19%,25-4011.00,Archivists,Average,1100
17%,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",Slower than average,351300
17%,21-1021.00,"Child, Family, and School Social Workers",Average,35100
17%,27-3091.00,Interpreters and Translators,Slower than average,6900
17%,19-2021.00,Atmospheric and Space Scientists,Slower than average,700
16%,25-2011.00,"Preschool Teachers, Except Special Education",Average,65500
16%,43-6011.00,Executive Secretaries and Executive Administrative Assistants,Decline,50000
16%,51-8021.00,Stationary Engineers and Boiler Operators,Slower than average,3800
16%,13-2031.00,Budget Analysts,Slower than average,3100
15%,21-1091.00,Health Education Specialists,Faster than average,7900
15%,15-2041.00,Statisticians,Much faster than average,2000
15%,15-2041.01,Biostatisticians,Much faster than average,2000
15%,19-2099.00,"Physical Scientists, All Other",Slower than average,2000
15%,19-2099.01,Remote Sensing Scientists and Technologists,Slower than average,2000
15%,25-4012.00,Curators,Much faster than average,1800
15%,19-1013.00,Soil and Plant Scientists,Faster than average,1700
15%,19-2012.00,Physicists,Average,1700
15%,17-2021.00,Agricultural Engineers,Faster than average,100
14%,27-3031.00,Public Relations Specialists,Faster than average,27600
14%,11-3013.00,Facilities Managers,Average,13200
14%,11-3013.01,Security Managers,Average,13200
14%,21-1099.00,"Community and Social Service Specialists, All Other",Faster than average,13100
14%,19-3099.00,"Social Scientists and Related Workers, All Other",Decline,3200
14%,19-3099.01,Transportation Planners,Decline,3200
13%,43-9061.00,"Office Clerks, General",Decline,282400
13%,29-1122.00,Occupational Therapists,Much faster than average,10200
13%,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",Much faster than average,10200
13%,15-1231.00,Computer Network Support Specialists,Slower than average,9600
13%,11-2032.00,Public Relations Managers,Faster than average,6600
13%,33-3041.00,Parking Enforcement Workers,Decline,700
12%,39-9011.00,Childcare Workers,Decline,160200
12%,39-9011.01,Nannies,Decline,160200
12%,15-1232.00,Computer User Support Specialists,Decline,40800
12%,31-9099.00,"Healthcare Support Workers, All Other",Average,14400
12%,31-9099.01,Speech-Language Pathology Assistants,Average,14400
12%,31-9099.02,Endoscopy Technicians,Average,14400
12%,15-1244.00,Network and Computer Systems Administrators,Decline,14300
12%,29-9099.00,"Healthcare Practitioners and Technical Workers, All Other",Average,2600
12%,29-9099.01,Midwives,Average,2600
12%,19-3092.00,Geographers,Decline,100
11%,13-1151.00,Training and Development Specialists,Much faster than average,43900
11%,11-3012.00,Administrative Services Managers,Faster than average,23200
11%,43-4111.00,"Interviewers, Except Eligibility and Loan",Decline,15800
11%,53-2012.00,Commercial Pilots,Faster than average,6600
11%,19-1029.00,"Biological Scientists, All Other",Slower than average,4800
11%,19-1029.01,Bioinformatics Scientists,Slower than average,4800
11%,19-1029.02,Molecular and Cellular Biologists,Slower than average,4800
11%,19-1029.03,Geneticists,Slower than average,4800
11%,19-1029.04,Biologists,Slower than average,4800
11%,15-1242.00,Database Administrators,Decline,3800
11%,39-3099.00,"Entertainment Attendants and Related Workers, All Other",Average,2200
11%,25-4013.00,Museum Technicians and Conservators,Faster than average,1900
11%,39-3092.00,Costume Attendants,Faster than average,1800
11%,49-9094.00,Locksmiths and Safe Repairers,Decline,1700
10%,39-9032.00,Recreation Workers,Average,68100
10%,13-1121.00,"Meeting, Convention, and Event Planners",Faster than average,15500
10%,27-4011.00,Audio and Video Technicians,Average,7300
10%,11-3131.00,Training and Development Managers,Faster than average,3800
