Employed by this Industry,Code,Occupation,Projected Growth (2024-2034),Projected Job Openings (2024-2034)
64%,29-1011.00,Chiropractors,Much faster than average,2800
63%,21-1093.00,Social and Human Service Assistants,Faster than average,50600
60%,29-2043.00,Paramedics,Faster than average,4900
58%,31-9094.00,Medical Transcriptionists,Decline,7400
58%,29-1031.00,Dietitians and Nutritionists,Faster than average,6200
57%,11-9151.00,Social and Community Service Managers,Faster than average,18600
56%,31-9099.00,"Healthcare Support Workers, All Other",Average,14400
56%,31-9099.01,Speech-Language Pathology Assistants,Average,14400
56%,31-9099.02,Endoscopy Technicians,Average,14400
55%,29-2081.00,"Opticians, Dispensing",Average,6800
55%,29-9099.00,"Healthcare Practitioners and Technical Workers, All Other",Average,2600
55%,29-9099.01,Midwives,Average,2600
55%,43-2021.00,Telephone Operators,Decline,300
54%,21-1094.00,Community Health Workers,Much faster than average,7800
53%,29-1029.00,"Dentists, All Other Specialists",Little or no change,200
52%,29-1127.00,Speech-Language Pathologists,Much faster than average,13300
50%,43-2011.00,"Switchboard Operators, Including Answering Service",Decline,2800
49%,29-1291.00,Acupuncturists,Much faster than average,900
45%,43-4171.00,Receptionists and Information Clerks,Little or no change,128500
43%,43-3021.00,Billing and Posting Clerks,Little or no change,42200
42%,29-9091.00,Athletic Trainers,Much faster than average,2400
40%,21-1091.00,Health Education Specialists,Faster than average,7900
40%,29-2091.00,Orthotists and Prosthetists,Much faster than average,900
39%,21-1021.00,"Child, Family, and School Social Workers",Average,35100
38%,35-2012.00,"Cooks, Institution and Cafeteria",Slower than average,69700
37%,25-2051.00,"Special Education Teachers, Preschool",Slower than average,2100
36%,29-1051.00,Pharmacists,Faster than average,14200
35%,39-9011.00,Childcare Workers,Decline,160200
35%,39-9011.01,Nannies,Decline,160200
33%,21-1099.00,"Community and Social Service Specialists, All Other",Faster than average,13100
33%,19-1042.00,"Medical Scientists, Except Epidemiologists",Much faster than average,9600
32%,29-2092.00,Hearing Aid Specialists,Much faster than average,1000
31%,39-9099.00,"Personal Care and Service Workers, All Other",Faster than average,16100
31%,29-1128.00,Exercise Physiologists,Much faster than average,1700
30%,21-1019.00,"Counselors, All Other",Much faster than average,7400
29%,29-1129.00,"Therapists, All Other",Much faster than average,4100
29%,29-1129.01,Art Therapists,Much faster than average,4100
29%,29-1129.02,Music Therapists,Much faster than average,4100
28%,39-9032.00,Recreation Workers,Average,68100
25%,39-1022.00,First-Line Supervisors of Personal Service Workers,Much faster than average,16300
25%,51-9083.00,Ophthalmic Laboratory Technicians,Slower than average,2400
24%,39-6012.00,Concierges,Slower than average,6800
22%,29-2052.00,Pharmacy Technicians,Faster than average,49000
