"Label (Grouping)","Gainesville CCD, Alachua County, Florida!!Estimate","Gainesville CCD, Alachua County, Florida!!Margin of Error"
"Total:","5,894","±1,013"
"    Has a computer:","5,805","±1,007"
"        With dial-up Internet subscription alone","0","±35"
"        With a broadband Internet subscription","5,269","±959"
"        Without an Internet subscription","536","±278"
"    No Computer","89","±114"
