"Label (Grouping)","Gainesville CCD, Alachua County, Florida!!Estimate","Gainesville CCD, Alachua County, Florida!!Margin of Error"
"Total:","102,444","±2,216"
"    Has a computer:","101,109","±2,252"
"        With dial-up Internet subscription alone","43","±46"
"        With a broadband Internet subscription","90,643","±2,851"
"        Without an Internet subscription","10,423","±2,021"
"    No Computer","1,335","±423"
