"Label (Grouping)","Gainesville CCD, Alachua County, Florida!!Estimate","Gainesville CCD, Alachua County, Florida!!Margin of Error"
"Total:","12,964","±818"
"    Has a computer:","12,922","±815"
"        With dial-up Internet subscription alone","0","±35"
"        With a broadband Internet subscription","12,216","±833"
"        Without an Internet subscription","706","±298"
"    No Computer","42","±51"
