Employed by this Industry,Code,Occupation,Projected Growth (2024-2034),Projected Job Openings (2024-2034)
37%,13-1041.00,Compliance Officers,Average,33300
37%,13-1041.01,Environmental Compliance Inspectors,Average,33300
37%,13-1041.03,Equal Opportunity Representatives and Officers,Average,33300
37%,13-1041.04,Government Property Inspectors and Investigators,Average,33300
37%,13-1041.06,Coroners,Average,33300
37%,13-1041.07,Regulatory Affairs Specialists,Average,33300
37%,13-1041.08,Customs Brokers,Average,33300
35%,39-9032.00,Recreation Workers,Average,68100
35%,37-3019.00,"Grounds Maintenance Workers, All Other",Slower than average,1900
35%,11-9071.00,Gambling Managers,Slower than average,600
34%,25-4022.00,Librarians and Media Collections Specialists,Slower than average,13500
34%,19-2021.00,Atmospheric and Space Scientists,Slower than average,700
32%,17-2081.00,Environmental Engineers,Average,3000
32%,27-4099.00,"Media and Communication Equipment Workers, All Other",Slower than average,1100
32%,23-1022.00,"Arbitrators, Mediators, and Conciliators",Average,300
31%,53-7081.00,Refuse and Recyclable Material Collectors,Slower than average,16900
31%,21-1099.00,"Community and Social Service Specialists, All Other",Faster than average,13100
30%,17-3029.00,"Engineering Technologists and Technicians, Except Drafters, All Other",Slower than average,5700
30%,17-3029.01,Non-Destructive Testing Specialists,Slower than average,5700
30%,17-3029.08,Photonics Technicians,Slower than average,5700
30%,19-2011.00,Astronomers,Slower than average,100
29%,33-9099.00,"Protective Service Workers, All Other",Average,23300
29%,33-9099.02,Retail Loss Prevention Specialists,Average,23300
29%,15-1221.00,Computer and Information Research Scientists,Much faster than average,3200
29%,19-3091.00,Anthropologists and Archeologists,Average,800
29%,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",Faster than average,600
28%,17-2199.00,"Engineers, All Other",Slower than average,9300
28%,17-2199.03,"Energy Engineers, Except Wind and Solar",Slower than average,9300
28%,17-2199.05,Mechatronics Engineers,Slower than average,9300
28%,17-2199.06,Microsystems Engineers,Slower than average,9300
28%,17-2199.07,Photonics Engineers,Slower than average,9300
28%,17-2199.08,Robotics Engineers,Slower than average,9300
28%,17-2199.09,Nanosystems Engineers,Slower than average,9300
28%,17-2199.10,Wind Energy Engineers,Slower than average,9300
28%,17-2199.11,Solar Energy Systems Engineers,Slower than average,9300
28%,27-2023.00,"Umpires, Referees, and Other Sports Officials",Faster than average,4600
28%,39-1013.00,First-Line Supervisors of Gambling Services Workers,Slower than average,3300
27%,39-3011.00,Gambling Dealers,Decline,14100
27%,53-2022.00,Airfield Operations Specialists,Average,1600
27%,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators,Slower than average,1100
26%,13-1199.00,"Business Operations Specialists, All Other",Average,108200
26%,13-1199.04,Business Continuity Planners,Average,108200
26%,13-1199.05,Sustainability Specialists,Average,108200
26%,13-1199.06,Online Merchants,Average,108200
26%,13-1199.07,Security Management Specialists,Average,108200
26%,29-2042.00,Emergency Medical Technicians,Faster than average,14100
26%,13-2099.00,"Financial Specialists, All Other",Average,10300
