"GEO_ID","NAME","C16001_001E","C16001_001M","C16001_002E","C16001_002M","C16001_003E","C16001_003M","C16001_004E","C16001_004M","C16001_005E","C16001_005M","C16001_006E","C16001_006M","C16001_007E","C16001_007M","C16001_008E","C16001_008M","C16001_009E","C16001_009M","C16001_010E","C16001_010M","C16001_011E","C16001_011M","C16001_012E","C16001_012M","C16001_013E","C16001_013M","C16001_014E","C16001_014M","C16001_015E","C16001_015M","C16001_016E","C16001_016M","C16001_017E","C16001_017M","C16001_018E","C16001_018M","C16001_019E","C16001_019M","C16001_020E","C16001_020M","C16001_021E","C16001_021M","C16001_022E","C16001_022M","C16001_023E","C16001_023M","C16001_024E","C16001_024M","C16001_025E","C16001_025M","C16001_026E","C16001_026M","C16001_027E","C16001_027M","C16001_028E","C16001_028M","C16001_029E","C16001_029M","C16001_030E","C16001_030M","C16001_031E","C16001_031M","C16001_032E","C16001_032M","C16001_033E","C16001_033M","C16001_034E","C16001_034M","C16001_035E","C16001_035M","C16001_036E","C16001_036M","C16001_037E","C16001_037M","C16001_038E","C16001_038M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Speak only English","Margin of Error!!Total:!!Speak only English","Estimate!!Total:!!Spanish:","Margin of Error!!Total:!!Spanish:","Estimate!!Total:!!Spanish:!!Speak English "very well"","Margin of Error!!Total:!!Spanish:!!Speak English "very well"","Estimate!!Total:!!Spanish:!!Speak English less than "very well"","Margin of Error!!Total:!!Spanish:!!Speak English less than "very well"","Estimate!!Total:!!French, Haitian, or Cajun:","Margin of Error!!Total:!!French, Haitian, or Cajun:","Estimate!!Total:!!French, Haitian, or Cajun:!!Speak English "very well"","Margin of Error!!Total:!!French, Haitian, or Cajun:!!Speak English "very well"","Estimate!!Total:!!French, Haitian, or Cajun:!!Speak English less than "very well"","Margin of Error!!Total:!!French, Haitian, or Cajun:!!Speak English less than "very well"","Estimate!!Total:!!German or other West Germanic languages:","Margin of Error!!Total:!!German or other West Germanic languages:","Estimate!!Total:!!German or other West Germanic languages:!!Speak English "very well"","Margin of Error!!Total:!!German or other West Germanic languages:!!Speak English "very well"","Estimate!!Total:!!German or other West Germanic languages:!!Speak English less than "very well"","Margin of Error!!Total:!!German or other West Germanic languages:!!Speak English less than "very well"","Estimate!!Total:!!Russian, Polish, or other Slavic languages:","Margin of Error!!Total:!!Russian, Polish, or other Slavic languages:","Estimate!!Total:!!Russian, Polish, or other Slavic languages:!!Speak English "very well"","Margin of Error!!Total:!!Russian, Polish, or other Slavic languages:!!Speak English "very well"","Estimate!!Total:!!Russian, Polish, or other Slavic languages:!!Speak English less than "very well"","Margin of Error!!Total:!!Russian, Polish, or other Slavic languages:!!Speak English less than "very well"","Estimate!!Total:!!Other Indo-European languages:","Margin of Error!!Total:!!Other Indo-European languages:","Estimate!!Total:!!Other Indo-European languages:!!Speak English "very well"","Margin of Error!!Total:!!Other Indo-European languages:!!Speak English "very well"","Estimate!!Total:!!Other Indo-European languages:!!Speak English less than "very well"","Margin of Error!!Total:!!Other Indo-European languages:!!Speak English less than "very well"","Estimate!!Total:!!Korean:","Margin of Error!!Total:!!Korean:","Estimate!!Total:!!Korean:!!Speak English "very well"","Margin of Error!!Total:!!Korean:!!Speak English "very well"","Estimate!!Total:!!Korean:!!Speak English less than "very well"","Margin of Error!!Total:!!Korean:!!Speak English less than "very well"","Estimate!!Total:!!Chinese (incl. Mandarin, Cantonese):","Margin of Error!!Total:!!Chinese (incl. Mandarin, Cantonese):","Estimate!!Total:!!Chinese (incl. Mandarin, Cantonese):!!Speak English "very well"","Margin of Error!!Total:!!Chinese (incl. Mandarin, Cantonese):!!Speak English "very well"","Estimate!!Total:!!Chinese (incl. Mandarin, Cantonese):!!Speak English less than "very well"","Margin of Error!!Total:!!Chinese (incl. Mandarin, Cantonese):!!Speak English less than "very well"","Estimate!!Total:!!Vietnamese:","Margin of Error!!Total:!!Vietnamese:","Estimate!!Total:!!Vietnamese:!!Speak English "very well"","Margin of Error!!Total:!!Vietnamese:!!Speak English "very well"","Estimate!!Total:!!Vietnamese:!!Speak English less than "very well"","Margin of Error!!Total:!!Vietnamese:!!Speak English less than "very well"","Estimate!!Total:!!Tagalog (incl. Filipino):","Margin of Error!!Total:!!Tagalog (incl. Filipino):","Estimate!!Total:!!Tagalog (incl. Filipino):!!Speak English "very well"","Margin of Error!!Total:!!Tagalog (incl. Filipino):!!Speak English "very well"","Estimate!!Total:!!Tagalog (incl. Filipino):!!Speak English less than "very well"","Margin of Error!!Total:!!Tagalog (incl. Filipino):!!Speak English less than "very well"","Estimate!!Total:!!Other Asian and Pacific Island languages:","Margin of Error!!Total:!!Other Asian and Pacific Island languages:","Estimate!!Total:!!Other Asian and Pacific Island languages:!!Speak English "very well"","Margin of Error!!Total:!!Other Asian and Pacific Island languages:!!Speak English "very well"","Estimate!!Total:!!Other Asian and Pacific Island languages:!!Speak English less than "very well"","Margin of Error!!Total:!!Other Asian and Pacific Island languages:!!Speak English less than "very well"","Estimate!!Total:!!Arabic:","Margin of Error!!Total:!!Arabic:","Estimate!!Total:!!Arabic:!!Speak English "very well"","Margin of Error!!Total:!!Arabic:!!Speak English "very well"","Estimate!!Total:!!Arabic:!!Speak English less than "very well"","Margin of Error!!Total:!!Arabic:!!Speak English less than "very well"","Estimate!!Total:!!Other and unspecified languages:","Margin of Error!!Total:!!Other and unspecified languages:","Estimate!!Total:!!Other and unspecified languages:!!Speak English "very well"","Margin of Error!!Total:!!Other and unspecified languages:!!Speak English "very well"","Estimate!!Total:!!Other and unspecified languages:!!Speak English less than "very well"","Margin of Error!!Total:!!Other and unspecified languages:!!Speak English less than "very well"",
"0600000US1200191248","Gainesville CCD, Alachua County, Florida","190930","2011","154341","2713","16741","1343","13980","1241","2761","603","1696","583","1309","518","387","259","1096","477","916","432","180","125","1108","416","1031","395","77","91","5822","1022","4928","944","894","277","1006","432","536","280","470","305","2716","639","1789","520","927","299","683","341","546","260","137","114","1605","608","1441","586","164","91","2330","554","2022","496","308","143","722","338","705","330","17","22","1064","482","1012","469","52","73",
