"GEO_ID","NAME","B16002_001E","B16002_001M","B16002_002E","B16002_002M","B16002_003E","B16002_003M","B16002_004E","B16002_004M","B16002_005E","B16002_005M","B16002_006E","B16002_006M","B16002_007E","B16002_007M","B16002_008E","B16002_008M","B16002_009E","B16002_009M","B16002_010E","B16002_010M","B16002_011E","B16002_011M","B16002_012E","B16002_012M","B16002_013E","B16002_013M","B16002_014E","B16002_014M","B16002_015E","B16002_015M","B16002_016E","B16002_016M","B16002_017E","B16002_017M","B16002_018E","B16002_018M","B16002_019E","B16002_019M","B16002_020E","B16002_020M","B16002_021E","B16002_021M","B16002_022E","B16002_022M","B16002_023E","B16002_023M","B16002_024E","B16002_024M","B16002_025E","B16002_025M","B16002_026E","B16002_026M","B16002_027E","B16002_027M","B16002_028E","B16002_028M","B16002_029E","B16002_029M","B16002_030E","B16002_030M","B16002_031E","B16002_031M","B16002_032E","B16002_032M","B16002_033E","B16002_033M","B16002_034E","B16002_034M","B16002_035E","B16002_035M","B16002_036E","B16002_036M","B16002_037E","B16002_037M","B16002_038E","B16002_038M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!English only","Margin of Error!!Total:!!English only","Estimate!!Total:!!Spanish:","Margin of Error!!Total:!!Spanish:","Estimate!!Total:!!Spanish:!!Limited English speaking household","Margin of Error!!Total:!!Spanish:!!Limited English speaking household","Estimate!!Total:!!Spanish:!!Not a limited English speaking household","Margin of Error!!Total:!!Spanish:!!Not a limited English speaking household","Estimate!!Total:!!French, Haitian, or Cajun:","Margin of Error!!Total:!!French, Haitian, or Cajun:","Estimate!!Total:!!French, Haitian, or Cajun:!!Limited English speaking household","Margin of Error!!Total:!!French, Haitian, or Cajun:!!Limited English speaking household","Estimate!!Total:!!French, Haitian, or Cajun:!!Not a limited English speaking household","Margin of Error!!Total:!!French, Haitian, or Cajun:!!Not a limited English speaking household","Estimate!!Total:!!German or other West Germanic languages:","Margin of Error!!Total:!!German or other West Germanic languages:","Estimate!!Total:!!German or other West Germanic languages:!!Limited English speaking household","Margin of Error!!Total:!!German or other West Germanic languages:!!Limited English speaking household","Estimate!!Total:!!German or other West Germanic languages:!!Not a limited English speaking household","Margin of Error!!Total:!!German or other West Germanic languages:!!Not a limited English speaking household","Estimate!!Total:!!Russian, Polish, or other Slavic languages:","Margin of Error!!Total:!!Russian, Polish, or other Slavic languages:","Estimate!!Total:!!Russian, Polish, or other Slavic languages:!!Limited English speaking household","Margin of Error!!Total:!!Russian, Polish, or other Slavic languages:!!Limited English speaking household","Estimate!!Total:!!Russian, Polish, or other Slavic languages:!!Not a limited English speaking household","Margin of Error!!Total:!!Russian, Polish, or other Slavic languages:!!Not a limited English speaking household","Estimate!!Total:!!Other Indo-European languages:","Margin of Error!!Total:!!Other Indo-European languages:","Estimate!!Total:!!Other Indo-European languages:!!Limited English speaking household","Margin of Error!!Total:!!Other Indo-European languages:!!Limited English speaking household","Estimate!!Total:!!Other Indo-European languages:!!Not a limited English speaking household","Margin of Error!!Total:!!Other Indo-European languages:!!Not a limited English speaking household","Estimate!!Total:!!Korean:","Margin of Error!!Total:!!Korean:","Estimate!!Total:!!Korean:!!Limited English speaking household","Margin of Error!!Total:!!Korean:!!Limited English speaking household","Estimate!!Total:!!Korean:!!Not a limited English speaking household","Margin of Error!!Total:!!Korean:!!Not a limited English speaking household","Estimate!!Total:!!Chinese (incl. Mandarin, Cantonese):","Margin of Error!!Total:!!Chinese (incl. Mandarin, Cantonese):","Estimate!!Total:!!Chinese (incl. Mandarin, Cantonese):!!Limited English speaking household","Margin of Error!!Total:!!Chinese (incl. Mandarin, Cantonese):!!Limited English speaking household","Estimate!!Total:!!Chinese (incl. Mandarin, Cantonese):!!Not a limited English speaking household","Margin of Error!!Total:!!Chinese (incl. Mandarin, Cantonese):!!Not a limited English speaking household","Estimate!!Total:!!Vietnamese:","Margin of Error!!Total:!!Vietnamese:","Estimate!!Total:!!Vietnamese:!!Limited English speaking household","Margin of Error!!Total:!!Vietnamese:!!Limited English speaking household","Estimate!!Total:!!Vietnamese:!!Not a limited English speaking household","Margin of Error!!Total:!!Vietnamese:!!Not a limited English speaking household","Estimate!!Total:!!Tagalog (incl. Filipino):","Margin of Error!!Total:!!Tagalog (incl. Filipino):","Estimate!!Total:!!Tagalog (incl. Filipino):!!Limited English speaking household","Margin of Error!!Total:!!Tagalog (incl. Filipino):!!Limited English speaking household","Estimate!!Total:!!Tagalog (incl. Filipino):!!Not a limited English speaking household","Margin of Error!!Total:!!Tagalog (incl. Filipino):!!Not a limited English speaking household","Estimate!!Total:!!Other Asian and Pacific Island languages:","Margin of Error!!Total:!!Other Asian and Pacific Island languages:","Estimate!!Total:!!Other Asian and Pacific Island languages:!!Limited English speaking household","Margin of Error!!Total:!!Other Asian and Pacific Island languages:!!Limited English speaking household","Estimate!!Total:!!Other Asian and Pacific Island languages:!!Not a limited English speaking household","Margin of Error!!Total:!!Other Asian and Pacific Island languages:!!Not a limited English speaking household","Estimate!!Total:!!Arabic:","Margin of Error!!Total:!!Arabic:","Estimate!!Total:!!Arabic:!!Limited English speaking household","Margin of Error!!Total:!!Arabic:!!Limited English speaking household","Estimate!!Total:!!Arabic:!!Not a limited English speaking household","Margin of Error!!Total:!!Arabic:!!Not a limited English speaking household","Estimate!!Total:!!Other and unspecified languages:","Margin of Error!!Total:!!Other and unspecified languages:","Estimate!!Total:!!Other and unspecified languages:!!Limited English speaking household","Margin of Error!!Total:!!Other and unspecified languages:!!Limited English speaking household","Estimate!!Total:!!Other and unspecified languages:!!Not a limited English speaking household","Margin of Error!!Total:!!Other and unspecified languages:!!Not a limited English speaking household",
"0600000US1200191248","Gainesville CCD, Alachua County, Florida","81748","1001","62402","1502","9716","983","798","265","8918","923","944","406","24","29","920","405","500","182","23","27","477","186","688","289","46","63","642","287","2785","455","193","121","2592","442","534","203","220","139","314","135","1286","281","239","126","1047","245","250","127","3","5","247","126","678","266","64","55","614","259","1013","325","56","49","957","306","330","138","0","35","330","138","622","273","0","35","622","273",
