"GEO_ID","NAME","B16002_001E","B16002_001M","B16002_002E","B16002_002M","B16002_003E","B16002_003M","B16002_004E","B16002_004M","B16002_005E","B16002_005M","B16002_006E","B16002_006M","B16002_007E","B16002_007M","B16002_008E","B16002_008M","B16002_009E","B16002_009M","B16002_010E","B16002_010M","B16002_011E","B16002_011M","B16002_012E","B16002_012M","B16002_013E","B16002_013M","B16002_014E","B16002_014M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!English only","Margin of Error!!Total!!English only","Estimate!!Total!!Spanish","Margin of Error!!Total!!Spanish","Estimate!!Total!!Spanish!!Limited English speaking household","Margin of Error!!Total!!Spanish!!Limited English speaking household","Estimate!!Total!!Spanish!!Not a limited English speaking household","Margin of Error!!Total!!Spanish!!Not a limited English speaking household","Estimate!!Total!!Other Indo-European languages","Margin of Error!!Total!!Other Indo-European languages","Estimate!!Total!!Other Indo-European languages!!Limited English speaking household","Margin of Error!!Total!!Other Indo-European languages!!Limited English speaking household","Estimate!!Total!!Other Indo-European languages!!Not a limited English speaking household","Margin of Error!!Total!!Other Indo-European languages!!Not a limited English speaking household","Estimate!!Total!!Asian and Pacific Island languages","Margin of Error!!Total!!Asian and Pacific Island languages","Estimate!!Total!!Asian and Pacific Island languages!!Limited English speaking household","Margin of Error!!Total!!Asian and Pacific Island languages!!Limited English speaking household","Estimate!!Total!!Asian and Pacific Island languages!!Not a limited English speaking household","Margin of Error!!Total!!Asian and Pacific Island languages!!Not a limited English speaking household","Estimate!!Total!!Other languages","Margin of Error!!Total!!Other languages","Estimate!!Total!!Other languages!!Limited English speaking household","Margin of Error!!Total!!Other languages!!Limited English speaking household","Estimate!!Total!!Other languages!!Not a limited English speaking household","Margin of Error!!Total!!Other languages!!Not a limited English speaking household",
"0600000US1200191248","Gainesville CCD, Alachua County, Florida","65880","1328","53873","1373","5545","525","470","185","5075","492","3235","458","267","127","2968","422","2736","280","718","177","2018","292","491","187","138","118","353","142",
