"GEO_ID","NAME","B05002_001E","B05002_001M","B05002_002E","B05002_002M","B05002_003E","B05002_003M","B05002_004E","B05002_004M","B05002_005E","B05002_005M","B05002_006E","B05002_006M","B05002_007E","B05002_007M","B05002_008E","B05002_008M","B05002_009E","B05002_009M","B05002_010E","B05002_010M","B05002_011E","B05002_011M","B05002_012E","B05002_012M","B05002_013E","B05002_013M","B05002_014E","B05002_014M","B05002_015E","B05002_015M","B05002_016E","B05002_016M","B05002_017E","B05002_017M","B05002_018E","B05002_018M","B05002_019E","B05002_019M","B05002_020E","B05002_020M","B05002_021E","B05002_021M","B05002_022E","B05002_022M","B05002_023E","B05002_023M","B05002_024E","B05002_024M","B05002_025E","B05002_025M","B05002_026E","B05002_026M","B05002_027E","B05002_027M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Native:","Margin of Error!!Total:!!Native:","Estimate!!Total:!!Native:!!Born in state of residence","Margin of Error!!Total:!!Native:!!Born in state of residence","Estimate!!Total:!!Native:!!Born in other state in the United States:","Margin of Error!!Total:!!Native:!!Born in other state in the United States:","Estimate!!Total:!!Native:!!Born in other state in the United States:!!Northeast","Margin of Error!!Total:!!Native:!!Born in other state in the United States:!!Northeast","Estimate!!Total:!!Native:!!Born in other state in the United States:!!Midwest","Margin of Error!!Total:!!Native:!!Born in other state in the United States:!!Midwest","Estimate!!Total:!!Native:!!Born in other state in the United States:!!South","Margin of Error!!Total:!!Native:!!Born in other state in the United States:!!South","Estimate!!Total:!!Native:!!Born in other state in the United States:!!West","Margin of Error!!Total:!!Native:!!Born in other state in the United States:!!West","Estimate!!Total:!!Native:!!Born outside the United States:","Margin of Error!!Total:!!Native:!!Born outside the United States:","Estimate!!Total:!!Native:!!Born outside the United States:!!Puerto Rico","Margin of Error!!Total:!!Native:!!Born outside the United States:!!Puerto Rico","Estimate!!Total:!!Native:!!Born outside the United States:!!U.S. Island Areas","Margin of Error!!Total:!!Native:!!Born outside the United States:!!U.S. Island Areas","Estimate!!Total:!!Native:!!Born outside the United States:!!Born abroad of American parent(s)","Margin of Error!!Total:!!Native:!!Born outside the United States:!!Born abroad of American parent(s)","Estimate!!Total:!!Foreign born:","Margin of Error!!Total:!!Foreign born:","Estimate!!Total:!!Foreign born:!!Naturalized U.S. citizen","Margin of Error!!Total:!!Foreign born:!!Naturalized U.S. citizen","Estimate!!Total:!!Foreign born:!!Naturalized U.S. citizen!!Europe","Margin of Error!!Total:!!Foreign born:!!Naturalized U.S. citizen!!Europe","Estimate!!Total:!!Foreign born:!!Naturalized U.S. citizen!!Asia","Margin of Error!!Total:!!Foreign born:!!Naturalized U.S. citizen!!Asia","Estimate!!Total:!!Foreign born:!!Naturalized U.S. citizen!!Africa","Margin of Error!!Total:!!Foreign born:!!Naturalized U.S. citizen!!Africa","Estimate!!Total:!!Foreign born:!!Naturalized U.S. citizen!!Oceania","Margin of Error!!Total:!!Foreign born:!!Naturalized U.S. citizen!!Oceania","Estimate!!Total:!!Foreign born:!!Naturalized U.S. citizen!!Latin America","Margin of Error!!Total:!!Foreign born:!!Naturalized U.S. citizen!!Latin America","Estimate!!Total:!!Foreign born:!!Naturalized U.S. citizen!!Northern America","Margin of Error!!Total:!!Foreign born:!!Naturalized U.S. citizen!!Northern America","Estimate!!Total:!!Foreign born:!!Not a U.S. citizen","Margin of Error!!Total:!!Foreign born:!!Not a U.S. citizen","Estimate!!Total:!!Foreign born:!!Not a U.S. citizen!!Europe","Margin of Error!!Total:!!Foreign born:!!Not a U.S. citizen!!Europe","Estimate!!Total:!!Foreign born:!!Not a U.S. citizen!!Asia","Margin of Error!!Total:!!Foreign born:!!Not a U.S. citizen!!Asia","Estimate!!Total:!!Foreign born:!!Not a U.S. citizen!!Africa","Margin of Error!!Total:!!Foreign born:!!Not a U.S. citizen!!Africa","Estimate!!Total:!!Foreign born:!!Not a U.S. citizen!!Oceania","Margin of Error!!Total:!!Foreign born:!!Not a U.S. citizen!!Oceania","Estimate!!Total:!!Foreign born:!!Not a U.S. citizen!!Latin America","Margin of Error!!Total:!!Foreign born:!!Not a U.S. citizen!!Latin America","Estimate!!Total:!!Foreign born:!!Not a U.S. citizen!!Northern America","Margin of Error!!Total:!!Foreign born:!!Not a U.S. citizen!!Northern America",
"0600000US1200191248","Gainesville CCD, Alachua County, Florida","190066","2714","167118","2902","98227","2683","63444","2098","20060","1291","16814","1298","20193","1640","6377","757","5447","1193","2381","583","648","744","2418","499","22948","1580","11404","1126","1855","416","4141","731","627","243","27","23","4334","699","420","273","11544","1163","1212","311","6000","814","392","239","54","38","3549","784","337","212",
