"GEO_ID","NAME","B05012_001E","B05012_001M","B05012_002E","B05012_002M","B05012_003E","B05012_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Native","Margin of Error!!Total:!!Native","Estimate!!Total:!!Foreign-Born","Margin of Error!!Total:!!Foreign-Born",
"0600000US1200191248","Gainesville CCD, Alachua County, Florida","184166","2148","161281","2104","22885","1371",
